ID,GaiaDR2,CLHW,RA_ICRS,DE_ICRS,__B-V_0,Vmag,__V-Ks_0,Prot,e_Prot,P90,Class,Binary,_RA_icrs,_DE_icrs,dr2_source_id,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,M_G
107435.0,5338662667018417280,218261,166.22042,-58.704919999999994,0.806,14.41,1.975,7.6773,0.7911,0.0163,3,0,166.22042,-58.704919999999994,5338662667018417280,5338662667018417280,0.053287663,-0.013428688,166.22033674899922,-58.70487787335333,2.0913215345092135,0.015870538,131.77383,-10.614507492985084,5.146159866423872,0.97842026,3152.1519,14.1861515,632.46545,29301.935882728292,1004.2574,1.2173923,0,1,0,2,1.0486393,0.4431429,0.6054964,-1.5378191,11.48813,2,5.006415,-1,-1,289.4599930629151,1.351585121930331,204.16744764489425,-56.42956668489213,0,5220.0854,5208.738,5232.902,0.1783,0.1442,0.0765,5.788255551741912
618304.0,5339401878083600256,16803,167.33274999999998,-58.67396999999999,0.967,14.398,2.274,8.2312,0.1914,0.0213,2,1,167.33274999999998,-58.67396999999999,5339401878083600256,5339401878083600256,0.05094516,-0.016550064,167.33261254189978,-58.67393954138101,2.079894267010039,0.015313413,135.82173,-10.112299135510664,5.315684381101599,0.9578317,2641.4402,14.136347,468.72696,32911.10886631281,887.7663,1.2340351,1,1,0,0,1.2113667,0.52955914,0.6818075,2.2529776,16.819603,2,5.780498,-1,-1,289.97995255528986,1.6063086937830766,204.87472798138592,-56.00483301197952,0,4820.212,4811.2417,4832.413,0.2035,0.1603,0.0852,5.726553106202415
207670.0,5338656099962080896,228692,166.14828999999997,-58.80696999999999,0.54,12.435,1.378,1.8572,0.0552,0.028,0,1,166.14828999999997,-58.80696999999999,5338656099962080896,5338656099962080896,0.22449808,-0.0073099136,166.1482366999997,-58.806936030591835,2.086927890141388,0.01191866,175.09752,-10.807781796514073,5.177431486437545,0.96589535,2756.0417,12.34267,1052.0834,141161.05570152355,1232.5461,1.1968448,0,0,0,0,0.77238464,0.3033228,0.46906185,5.705061,13.759959,1,24.259607,-1,-1,289.46650106182625,1.2430858875695932,204.2483157434746,-56.528662715395605,0,6147.4443,6140.803,6154.6304,0.1868,0.159,0.0858,3.9402076561622668
