EPIC,Gaia,2MASS,RAdeg,DEdeg,Prot,C5Prot,C5Power,C5SProt,C5SPower,C5Clean,C5Q,C5Rvar,C5thresh,C5SNR,C16Prot,C16Power,C16SProt,C16SPower,C16Clean,C16Q,C16Rvar,C16thresh,C16SNR,C18Prot,C18Power,C18SProt,C18SPower,C18Clean,C18Q,C18Rvar,C18thresh,C18SNR,QFClean,Multi,Neigh,Harm,LCEvol,Previous,Bin,EPIC_t4,2MASS_t4,RAdeg_t4,DEdeg_t4,pmRA,pmDE,e_pmRA,e_pmDE,plx,e_plx,D,e_D,epsi,sepsi,RUWE,Bp-Rp,Gmag,Ksmag,RVel,e_RVel,Flag,dPM,dCMD-B-R,dCMD-grp,dRV,Multi_t4,AstBin,PhoBin,LitBin,WideBin,Binary,Tail,k2data,Teff,Mass,SpType,Prot_t4,QFClean_t4,Previous_t4,LCEvol_t4,dr3_source_id,source_id,dr2_source_id,angular_distance,magnitude_difference,proper_motion_propagation,abs_magnitude_difference,dr2_bp_rp,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,flag_bad_gaiamatch,Teff_Curtis20,nbhr_count,flag_nbhr_count,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
211982810,Gaia EDR3 663055818503513088,2MASS J08325223+1958359,128.21765,19.97665,11.26,11.38,0.5,5.64,0.31,0.0,0.0,0.008,0.008,339.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.14,0.41,6.01,0.02,1.0,0.0,0.026,0.012,334.0,1,0,0,1,1,11.23,0,211982810,2MASS J08325223+1958359,128.21765,19.97665,-34.524,-13.693,0.018,0.012,5.44,0.016,183.83,0.55,0.04,1.817,0.905,1.26,12.72,10.56,35.34,0.98,0,1.59,-0.031,0.02,0.34,0,0,0,0,0,0,0,1,4713,0.7,K3.5,11.26,1,11.23,1,663055818503513088,6.630558185035131e+17,6.630558185035131e+17,0.25335437,-0.012089729,True,0.012089729,1.2828369,128.21748174133958,19.976598924591812,5.439653629239161,0.016288243,333.96198,-34.523556316964914,-13.6931082409133,0.90547377,2905.0347,12.723922,799.84503,123204.91897867074,1173.5677,1.2364852,0,0,0,0,1.2638149,0.56121826,0.70259666,35.755463,0.8087368,1,31.971859,nan,nan,204.855304216112,30.930968135423313,125.558849566875,1.130417917339961,0,4742.6216,4737.42,4748.491,0.0722,0.0559,0.0292,False,4645.0815,0,False,6.401778009879312,False,False,False,False,True
211900414,Gaia EDR3 662633743477189632,2MASS J08325566+1843582,128.23193,18.73284,11.7,10.93,0.35,4.58,0.02,1.0,0.0,0.001,0.009,338.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.7,0.62,-9999.0,-9999.0,1.0,0.0,0.002,0.011,335.0,1,0,0,0,1,10.97,0,211900414,2MASS J08325566+1843582,128.23193,18.73284,-34.964,-12.905,0.021,0.014,5.412,0.025,184.76,0.85,0.088,6.898,1.122,1.27,12.75,10.6,35.93,1.37,0,0.94,-0.017,0.03,0.93,0,0,0,0,0,0,0,1,4693,0.7,K3.5,11.7,1,10.97,1,662633743477189632,6.626337434771896e+17,6.626337434771896e+17,0.17683537,-0.010895729,True,0.010895729,1.2932634,128.231758456435,18.732774222364338,5.412420476144746,0.024793733,218.29793,-34.96426262542338,-12.90533702133894,1.1221844,3434.0828,12.749789,1487.271,120724.89721985822,1800.8888,1.2369611,0,0,0,0,1.2734823,0.5670967,0.7063856,34.080994,0.8341181,1,22.515802,10.992384,11.398049,206.21429099190203,30.50394614714563,125.87807681493423,-0.07182486914649977,0,4733.9155,4715.6396,4743.27,0.1346,0.1042,0.0543,False,4626.5283,0,False,6.4167468799099865,False,False,False,False,True
211992423,Gaia EDR3 663070352672827136,2MASS J08330745+2007482,128.28108,20.13008,12.84,12.84,0.58,6.45,0.04,1.0,0.0,0.002,0.008,230.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.27,0.35,11.65,0.11,1.0,1.0,0.006,0.01,224.0,1,0,0,1,1,13.07,0,211992423,2MASS J08330745+2007482,128.28108,20.13008,-34.696,-13.487,0.019,0.015,5.484,0.017,182.34,0.57,0.0,0.0,1.023,1.59,13.56,10.93,nan,nan,0,1.34,0.016,-0.007,nan,0,0,0,0,0,0,0,1,4225,0.7,K6,12.84,1,13.07,1,663070352672827136,6.630703526728271e+17,6.630703526728271e+17,0.011450911,-0.013159752,True,0.013159752,1.5948524,128.28092039857805,20.130009573609197,5.484076758838533,0.017235324,318.1882,-34.69613210592395,-13.487165903840665,1.0234953,4960.0596,13.556682,1060.356,64895.39363592064,2171.6409,1.2760223,0,0,0,0,1.5873318,0.74801064,0.83932114,37.164803,1.2470833,2,19.65138,nan,nan,204.71159805567288,31.040092586062894,125.57882371319346,1.2937804517009996,0,4043.5596,4042.6228,4044.9272,0.0018,0.0014,0.0007,False,4197.3213,0,False,7.252199257188666,False,False,False,False,True
212069223,Gaia EDR3 665458595007014912,2MASS J08334697+2126276,128.44573,21.44102,14.73,14.73,0.78,7.23,0.02,1.0,0.0,0.004,0.01,181.0,13.48,0.42,7.46,0.2,1.0,0.0,0.003,0.008,176.0,15.73,0.61,7.43,0.02,1.0,0.0,0.02,0.011,179.0,1,0,0,0,0,14.66,0,212069223,2MASS J08334697+2126276,128.44573,21.44102,-34.587,-14.189,0.022,0.017,5.444,0.02,183.68,0.69,0.0,0.0,1.008,1.8,14.03,11.15,nan,nan,0,1.84,0.074,0.009,nan,0,0,0,0,0,0,0,1,3921,0.6,K9,14.73,1,14.66,0,665458595007014912,6.654585950070149e+17,6.654585950070149e+17,0.059052885,-0.014299393,True,0.014299393,1.8046074,128.44553115201748,21.440942550061983,5.444199888112784,0.020418188,266.63483,-34.58725820686801,-14.18944021359389,1.008153,4134.5806,14.033426,641.1941,45156.461820880366,1769.8119,1.3087782,0,1,0,0,1.7956638,0.873333,0.92233086,35.0139,2.1460392,2,12.716015,nan,nan,203.32938469324944,31.630389247028837,125.40400818858532,2.602101627768276,0,nan,nan,nan,nan,nan,nan,False,3970.1768,0,False,7.713096596240339,False,False,False,False,True
212019346,Gaia EDR3 664594585026149504,2MASS J08340436+2034303,128.51818,20.5751,10.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.55,0.88,5.52,0.03,1.0,0.0,0.01,0.008,370.0,nan,nan,nan,nan,nan,nan,0.022,nan,nan,1,0,0,0,0,10.74,0,212019346,2MASS J08340436+2034303,128.51818,20.5751,-35.573,-13.776,0.016,0.011,5.616,0.016,178.06,0.5,0.05,3.729,1.004,1.21,12.5,10.44,35.92,1.01,0,0.94,-0.032,0.016,0.92,0,0,0,0,0,0,0,1,4821,0.7,K3,10.55,1,10.74,0,664594585026149504,6.645945850261495e+17,6.645945850261495e+17,0.24778554,-0.01218605,True,0.01218605,1.2324057,128.51801170514395,20.57505366490945,5.616094424777042,0.01567934,358.18436,-35.57298206953025,-13.776253456533244,1.0039033,1984.7229,12.500189,541.0083,148252.54183949775,774.2143,1.2307682,0,0,0,0,1.2137775,0.53397846,0.6797991,35.40543,0.6870809,1,37.8468,5.6436768,6.009674,204.31229894700706,31.401859808026394,125.68425498743991,1.7799583507177956,0,4862.3237,4857.7827,4868.518,0.0677,0.0529,0.0277,False,4739.398,0,False,6.247360832930092,False,False,False,False,True
212049908,Gaia EDR3 664683130072400384,2MASS J08345963+2105492,128.74849,21.097,8.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.37,0.77,4.16,0.09,1.0,0.0,0.007,0.008,717.0,nan,nan,nan,nan,nan,nan,0.014,nan,nan,1,0,0,0,0,8.17,0,212049908,2MASS J08345963+2105492,128.74849,21.097,-36.071,-14.936,0.021,0.017,5.491,0.022,182.12,0.74,0.123,24.47,0.996,0.83,11.01,9.68,34.98,0.55,0,2.04,-0.005,-0.006,0.02,0,0,0,0,0,0,0,1,5746,1.0,G2,8.37,1,8.17,0,664683130072400384,6.646831300724004e+17,6.646831300700431e+17,0.20124906,0.0041894913,True,0.0041894913,0.8409519,128.74827111177757,21.096928368834647,5.490877896890874,0.022186676,247.48538,-36.07137497095299,-14.936495206708617,0.99633765,2548.6992,11.012841,1233.3229,494393.4795315463,1801.0769,1.2038169,0,0,0,0,0.82716274,0.32703495,0.5001278,35.474873,0.2942256,1,79.36881,nan,nan,203.821412089102,31.781102442418497,125.76306656896432,2.3389404750907237,0,5759.851,5756.526,5767.2046,0.0015,0.0013,0.0007,False,5759.957,0,False,4.711050155750417,False,False,False,False,True
211979237,Gaia EDR3 664353379662996224,2MASS J08360444+1955130,129.01852,19.9203,15.25,15.9,0.8,-9999.0,-9999.0,1.0,0.0,0.002,0.009,178.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.59,0.59,6.95,0.01,1.0,0.0,0.006,0.014,178.0,1,0,0,0,0,15.82,0,211979237,2MASS J08360444+1955130,129.01852,19.9203,-35.494,-13.812,0.026,0.018,5.382,0.026,185.82,0.9,0.02,0.158,1.08,1.8,14.08,11.16,nan,nan,0,1.0,0.077,0.11,nan,0,0,0,0,0,0,0,1,3911,0.6,K9,15.25,1,15.82,0,664353379662996224,6.643533796629962e+17,6.643533796629962e+17,0.02078752,-0.012543678,True,0.012543678,1.8054304,129.0182889480723,19.920223088864876,5.381557557874674,0.025979768,207.14417,-35.49368268442086,-13.812348883660452,1.080045,3161.8691,14.076538,614.46246,44182.629974529955,1319.3602,1.3298147,0,0,0,0,1.8042765,0.86250496,0.9417715,34.261906,2.4025698,2,8.6454115,nan,nan,205.222878376741,31.61735523152148,126.30219213402216,1.26272869690948,0,4252.917,4238.3174,4261.946,0.6948,0.5046,0.2713,False,3969.3174,0,False,7.731078033871292,False,False,False,False,True
211901402,Gaia EDR3 659714024708794240,2MASS J08360865+1844509,129.03605,18.74748,14.48,14.73,0.64,7.28,0.12,1.0,0.0,0.006,0.008,164.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.24,0.62,7.41,0.29,1.0,0.0,0.019,0.012,163.0,1,0,0,0,0,14.66,0,211901402,2MASS J08360865+1844509,129.03605,18.74748,-36.174,-12.944,0.025,0.019,5.492,0.024,182.08,0.78,0.0,0.0,1.056,1.86,14.24,11.29,nan,nan,0,0.28,0.014,-0.066,nan,0,0,0,0,0,0,0,1,3857,0.6,M0,14.48,1,14.66,0,659714024708794240,6.597140247087942e+17,6.597140247087942e+17,0.035287026,-0.015968323,True,0.015968323,1.8658371,129.03583296469802,18.747430488195064,5.49214193096484,0.023586527,232.85081,-36.173875563501824,-12.943997482052215,1.0557474,2337.2234,14.23812,409.8715,38225.1745834332,845.86035,1.3176692,0,1,0,2,1.8634634,0.9173651,0.9460983,37.820072,2.4207418,2,7.8853884,nan,nan,206.51609347821835,31.2201169360896,126.61202865124037,0.13147488408300442,0,4141.746,4139.148,4146.48,0.6205,0.4456,0.2436,False,3909.63,0,False,7.936828838978435,False,False,False,False,True
211976535,Gaia EDR3 664352245791631488,2MASS J08361143+1952403,129.04765,19.87787,18.32,18.32,0.54,8.42,0.06,1.0,0.0,0.004,0.008,127.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.13,0.19,8.45,0.15,0.0,1.0,0.009,0.01,121.0,1,0,0,0,1,18.55,0,211976535,2MASS J08361143+1952403,129.04765,19.87787,-35.757,-13.433,0.033,0.025,5.422,0.034,184.45,1.17,0.0,0.0,0.936,2.02,14.78,11.66,nan,nan,0,0.55,-0.13,-0.229,nan,0,0,0,0,0,0,0,1,3754,0.5,M0.5,18.32,1,18.55,1,664352245791631488,6.643522457916315e+17,6.643522457916315e+17,0.02260168,-0.018764496,True,0.018764496,2.022502,129.04744278498524,19.877797073188624,5.421608974384824,0.034272335,158.19199,-35.75654975773037,-13.432910753021241,0.9359843,2480.735,14.780492,406.30225,24367.767874967223,1224.277,1.3390707,0,1,0,0,2.0248308,1.0251951,0.9996357,35.659416,4.496763,2,5.9141235,nan,nan,205.2807722674674,31.62836377400239,126.33937011220603,1.2285248922473588,0,3534.0105,3529.7527,3542.0088,0.1763,0.1221,0.0687,False,3765.4043,0,False,8.45113278651775,False,False,False,False,True
212025985,Gaia EDR3 664605270904832768,2MASS J08361553+2041098,129.06472,20.68606,17.37,17.37,0.86,5.58,0.01,1.0,0.0,0.005,0.009,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.9,0.32,8.26,0.15,1.0,1.0,0.008,0.011,120.0,1,0,0,0,0,17.27,0,212025985,2MASS J08361553+2041098,129.06472,20.68606,-35.568,-14.337,0.03,0.022,5.296,0.03,188.84,1.08,0.041,0.478,1.038,2.06,14.81,11.63,nan,nan,0,1.47,-0.02,-0.074,nan,0,0,0,0,0,0,0,1,3721,0.5,M1,17.37,1,17.27,0,664605270904832768,6.646052709048328e+17,6.646052709048328e+17,0.065806195,-0.014620781,True,0.014620781,2.0637388,129.06453934166544,20.685984278866556,5.295501565067389,0.030427413,174.0372,-35.56771444697532,-14.336725509537116,1.038359,1869.3085,14.813782,372.98462,24035.29358722193,585.35925,1.3517458,0,0,0,0,2.0640488,1.0460386,1.0180101,36.68148,5.164155,2,4.98965,nan,nan,204.39421196636346,31.92056579445171,126.1521780912989,2.014916326279527,0,5302.5664,5292.0186,5333.3403,2.7282,2.0405,1.1343,False,3730.1348,0,False,8.433317241919905,False,False,False,False,True
