Seq,KIC,dr2_source_id,Gmag,BP-RP,Teff,Mass,SpT,Prot,e_Per,NQ,f_Seq,Simbad,_RA,_DE,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
1,9716563,2128134824634071424,13.313,0.569,6507,1.287,F5,1.11,0.338,15,Y,Simbad,294.41072,46.48686,0.56884766,2128134824634071424,0.07012036,-0.0140218735,294.4106989548505,46.48681658079182,0.8784306744808936,0.009439448,93.05954,-3.3765389741297045,-8.916900829854136,1.0035268,3087.8784,13.298725,1708.1992,52476.24455974867,2087.4888,1.1772727,0,0,0,0,0.5641041,0.21336746,0.35073662,nan,nan,-1,nan,-1,-1,79.32894063985091,12.004124923906472,314.7780718234078,66.17276529508526,0,7024.583,7015.1416,7034.667,0.2469,0.2187,0.1177,nan,0,False,0.0140218735,False,3.0172625920576763,False,False,False,False,True
2,9716076,2128122008451548672,13.35,0.57,6506,1.287,F5,2.5,0.004,15,Y,Simbad,294.22782,46.41767,0.569973,2128122008451548672,0.018766437,-0.0131073,294.2278002680421,46.417630217677996,0.8891264109236147,0.009503403,93.55874,-3.504494115623852,-8.848874858372211,1.030812,4143.721,13.337139,1529.8802,50785.844221575775,2052.4014,1.1781439,0,1,0,0,0.56817913,0.21457863,0.3536005,nan,nan,-1,nan,-1,-1,79.20757216264408,12.085219413070368,314.42358822133235,66.16060369838253,0,6986.7046,6950.06,7007.6436,0.2294,0.2029,0.1092,nan,0,False,0.0131073,False,3.0819566840045862,False,False,False,False,True
3,9718403,2080469827339292672,13.444,0.574,6504,1.286,F5,2.09,0.0067,15,Y,Simbad,295.07502,46.43191,0.57440376,2080469827339292672,0.057179064,-0.013019562,295.07499684167936,46.4318670177163,0.87524016276413,0.009850971,88.84811,-3.3872500320686196,-8.847293497959203,0.9578344,4074.23,13.431184,1696.4353,46649.972077971936,2169.693,1.1780885,0,0,0,0,0.5718794,0.21646214,0.35541725,11.297644,5.9403863,2,9.776477,-1,-1,79.49244322972548,11.571907664283417,315.7508064568029,65.93494238804224,0,6822.0967,6810.216,6833.54,0.1611,0.142,0.0766,nan,0,False,0.013019562,False,3.1418200061251564,False,False,False,False,True
4,9715923,2128125135187725696,13.337,0.58,6501,1.284,F5,0.92,0.0006,15,Y,Simbad,294.16389,46.45051,0.58035755,2128125135187725696,0.028314456,-0.01317215,294.16386896098794,46.45046624061956,0.8745587845690797,0.009299239,94.04627,-3.3083287927391902,-8.859300510671801,1.0265307,4856.694,13.324332,1497.6321,51621.410807726796,1808.6024,1.1792465,0,0,0,0,0.57590294,0.21739197,0.35851097,-2.9201353,9.395659,2,10.480158,-1,-1,79.21721873314479,12.13935438590472,314.3565928107683,66.20843393320766,0,6925.304,6914.0405,6936.921,0.2226,0.1966,0.1059,nan,0,False,0.01317215,False,3.0332772694728956,False,False,False,False,True
6,9777642,2128137229815871232,13.547,0.608,6476,1.27,F5,2.01,0.201,15,Y,Simbad,294.67087,46.50394,0.6077881,2128137229815871232,0.053640634,-0.012829781,294.67085206412764,46.50390257081766,0.8854695845131669,0.010209766,86.72771,-3.4595974392703934,-8.78231949534972,0.9784375,4220.716,13.534615,1209.8054,43072.65176931576,2088.534,1.1804918,0,0,0,0,0.60100937,0.22878647,0.3722229,4.8882155,6.658853,2,5.8688526,-1,-1,79.42767512172902,11.852354989410594,315.1995156141355,66.11520151173472,0,6714.7993,6699.791,6727.1895,0.1687,0.1479,0.0797,6460.551,0,False,0.012829781,False,3.2704828027872423,False,False,False,False,True
7,9716139,2128145506212004608,13.435,0.609,6474,1.269,F5,2.31,0.3108,14,Y,Simbad,294.24467,46.44965,0.6092911,2128145506212004608,0.031077154,-0.013156891,294.2446515336463,46.44961509145773,0.9026668805341022,0.009481806,95.19988,-3.305535344731905,-8.812448282042563,0.9941627,3612.1587,13.421414,1405.6621,47840.45946377049,2181.845,1.1795282,0,0,0,0,0.6043701,0.2313633,0.37300682,11.972063,5.997691,2,9.417667,-1,-1,79.24212103397352,12.089297033212233,314.4818860428901,66.18516506153094,0,nan,nan,nan,nan,nan,nan,6458.4624,0,False,0.013156891,False,3.1990519162559785,False,False,False,False,True
8,9898009,2128518829068874112,13.702,0.619,6462,1.263,F5,1.44,0.1338,15,Y,Simbad,294.69415,46.76665,0.61879444,2128518829068874112,0.03298899,-0.01210022,294.69412596958034,46.76661132842508,0.8862703126661229,0.012121854,73.11343,-3.3059829048275433,-8.880965001565936,0.9568245,5374.164,13.689767,1405.8175,37622.06131238485,2058.7063,1.181903,0,0,0,0,0.61503696,0.23455906,0.3804779,1.167896,6.4174957,2,7.3402843,-1,-1,79.67413297003455,11.957781423054781,315.50428660466554,66.34797430639034,0,6592.13,6575.529,6613.033,0.1369,0.1196,0.0645,6444.427,0,False,0.01210022,False,3.427597893932461,False,False,False,False,True
9,9654924,2128121561774912128,13.635,0.622,6458,1.26,F5,1.83,0.1558,15,Y,Simbad,294.17154,46.38597,0.62160873,2128121561774912128,0.030971892,-0.013077736,294.17151683899465,46.38593442807817,0.8913843818900963,0.0104860915,85.006355,-3.3231495119884844,-8.834922903467774,0.9670811,4674.729,13.621613,1570.9225,40120.18969259653,1660.7855,1.1828784,0,1,0,0,0.6165571,0.23443222,0.3821249,-0.33445624,10.709074,2,8.210306,-1,-1,79.16073401874156,12.105555950542389,314.3041176151182,66.14725437120104,0,6632.8413,6617.391,6648.2183,0.1585,0.1386,0.0748,6440.001,0,False,0.013077736,False,3.3719376511442576,False,False,False,False,True
10,9655708,2128131216861127680,13.665,0.631,6445,1.253,F5,2.38,0.3009,15,Y,Simbad,294.4423,46.30235,0.63100815,2128131216861127680,0.058304176,-0.013947487,294.44228348895456,46.302305973238525,0.8730798559271288,0.011312367,77.17924,-3.2614331485038903,-8.846555218876501,0.9094834,4245.054,13.650846,1142.0327,39168.93582021447,2120.4368,1.1814688,0,1,0,0,0.6256323,0.24032784,0.38530445,5.493577,8.459014,2,5.4225116,-1,-1,79.17095251144336,11.901027795098713,314.6425081902429,65.99528727001632,0,6640.172,6616.7847,6670.6323,0.186,0.1626,0.0877,6424.359,0,False,0.013947487,False,3.3561153681836995,False,False,False,False,True
11,9655437,2128132728689966720,13.812,0.652,6409,1.24,F5,1.38,0.0767,15,Y,Simbad,294.35443,46.39579,0.6519823,2128132728689966720,0.073068805,-0.013267517,294.3544072127803,46.3957459970131,0.8872935090527985,0.011789258,75.26288,-3.664453300334766,-8.867063793028372,1.0879991,3977.3157,13.799257,839.06995,34603.988341637254,1203.5636,1.1835417,0,1,0,0,0.6501055,0.25092793,0.39917755,19.220009,7.188275,2,6.0320907,-1,-1,79.22797109572959,11.997457310114518,314.5990431041351,66.10528314656261,0,6566.0205,6547.778,6597.405,0.1928,0.168,0.0907,6385.057,0,False,0.013267517,False,3.539593800807385,False,False,False,False,True
