Seq,n_Seq,TIC,Gmag,__G-K_0,Prot,n_Per,e_Per,Grade,Sect,_RA,_DE,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,Teff_Mamajek,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_pass_author_quality,flag_benchmark_period
16,  ,459220753,14.843,3.751,1.92, ,0.07,A,15/16/22      ,201.04513,58.97456,1566882139201970432,2.7445545,1566882139201970432,0.07816896,-0.027721405,201.0449306753306,58.97452485941417,13.30749661605745,0.020411247,651.9688,-23.058726550176083,-7.296910574146844,1.130452,1083.6733,14.815078,184.59227,28525.940230046515,468.6271,1.4523866,0,1,0,1,2.7488985,1.5436163,1.2052822,2.7268748,4.9040313,2,8.191848,,,115.0493653767062,57.649829034473335,160.42479337241704,59.29962148212534,0,,,,,,,3320.7656,3448.734304907416,0,False,0.027721405,False,10.435559603720947,False,False,False,False,True,True
17,*a,524500866,16.566,3.723,0.517, ,0.005,A,15            ,201.06196,57.49073,1565932436033063552,3.0786,1565932436033063552,0.58847797,0.04186821,201.06182105134468,57.490683641668156,10.320562969853222,0.09466016,109.02753,-17.324875099373152,-8.155800283530073,1.2755277,362.0874,16.5828,65.709885,11766.273786568134,116.83463,2.9537737,0,21,0,22,3.085907,1.0744057,2.0115013,,,,,,,114.34826689335699,59.08744177159614,162.4885110796829,58.270849972719,0,,,,,,,3123.2812,3431.117330254676,2,True,0.04186821,False,11.651316851458967,True,True,False,True,False,False
17,*a,524500866,16.566,3.723,0.405, ,0.004,A,              ,201.06196,57.49073,1565932436033063552,3.0786,1565932436033063552,0.58847797,0.04186821,201.06182105134468,57.490683641668156,10.320562969853222,0.09466016,109.02753,-17.324875099373152,-8.155800283530073,1.2755277,362.0874,16.5828,65.709885,11766.273786568134,116.83463,2.9537737,0,21,0,22,3.085907,1.0744057,2.0115013,,,,,,,114.34826689335699,59.08744177159614,162.4885110796829,58.270849972719,0,,,,,,,3123.2812,3431.117330254676,2,True,0.04186821,False,11.651316851458967,True,True,False,True,False,False
18,  ,459220751,15.652,3.957,1.1, ,0.02,A,15/16/22      ,201.10848,58.98195,1566881452007203328,2.985795,1566881452007203328,0.102246344,-0.037840843,201.1082774088319,58.98191996000806,13.265891539471909,0.028350327,467.92728,-23.150052651423785,-6.832008658438937,1.038353,1164.5183,15.614681,149.2532,14344.231120604634,525.6878,1.4869695,0,1,0,0,3.003007,1.7445278,1.2584791,-57.479675,5.7769365,2,4.3072257,,,114.99339856730776,57.63488672983131,160.45815881482173,59.32844082409103,0,,,,,,,3180.8125,3771.79106593322,0,False,0.037840843,False,11.228363455051777,False,False,False,False,True,True
20,  ,459221489,13.006,3.012,6.9, ,1.0,B,15/22         ,201.1511,54.92721,1563589892151844992,1.9089375,1563589892151844992,0.12604633,-0.011572838,201.15094938831788,54.92717997511625,10.90460714240388,0.012928749,843.43866,-19.19424423208003,-6.170496502179095,1.084968,2572.626,12.994538,437.96487,122121.96956357225,1228.7961,1.3263937,0,2,0,0,1.9079914,0.94436455,0.96362686,-4.552228,1.2201308,1,31.768526,,,112.9143513822002,61.551317861817886,165.82851422952766,56.44564597520992,0,,,,,,,3860.787,3823.2000582751734,0,False,0.011572838,False,8.182588427070964,False,False,False,False,False,False
21,  ,459221499,7.513,0.653,0.373, ,0.003,A,15/16/22      ,201.21605,54.89746,1563586799775391104,0.40335894,1563586799775391104,0.08598907,0.01357317,201.21589434810159,54.89743202215939,10.965028891532455,0.02806303,390.7286,-20.171272676056756,-5.330298920138407,1.3974257,4397.2456,7.526949,1743.9932,9815385.860029243,1536.2356,1.1743262,0,45,0,43,0.39440918,0.13558722,0.25882196,-3.4247434,0.34903088,1,418.65097,119.938835,2.2726092,112.82198345136304,61.569856173752484,165.91471001697522,56.44864290517711,0,7223.045,7219.156,7231.3926,0.0024,0.0022,0.0012,,7269.917720819372,0,False,0.01357317,False,2.7269978304769076,True,False,False,True,True,False
22,  ,165464384,14.846,3.609,4.09, ,0.35,A,15/16/22      ,201.34027,52.42245,1562901563513294208,2.5756655,1562901563513294208,0.038239483,-0.023375511,201.34013167835815,52.42242578807848,10.710013786732626,0.019845702,539.6642,-18.341189917669737,-6.705280449693269,1.1383433,1369.1586,14.8230715,268.76047,27301.172306466713,523.5285,1.429744,0,65,0,1,2.574255,1.4086256,1.1656294,-3.044177,4.8836536,2,11.194934,,,111.12682169833981,63.92135060120457,168.88066685124383,54.627512631756574,0,3455.5789,3441.6902,3464.0918,0.7991,0.5231,0.3275,3402.2188,3404.240442651021,0,False,0.023375511,False,9.972021629240512,False,False,False,False,True,True
23,  ,446174335,15.17,3.725,3.6, ,0.28,A,16/22/23      ,201.5165,44.15103,1549717869340250112,2.737566,1549717869340720000,0.11636703,-0.009720802,201.5163772684528,44.15099650682634,11.095139071758739,0.048958343,226.62408,-19.118463518387426,-7.368047384073762,1.0533545,1175.3711,15.145827,220.59976,21118.295270466984,429.49164,1.4605699,0,7,0,2,2.7340202,1.5244417,1.2095785,-5.626705,6.357485,2,7.0004826,,,102.91696606386675,71.60682566940916,176.94462306700842,48.052012454856595,0,,,,,,,3324.0156,3432.213166495849,0,False,0.009720802,False,10.371491044676365,False,False,False,False,True,True
26,  ,158460920,16.041,3.845,0.81, ,0.01,A,15            ,203.43226,62.51191,1665235447171350528,2.9021149,1665235447171350528,0.09965465,-0.028493881,203.43209167858637,62.51187839885181,10.054049347763248,0.030465098,330.01862,-17.380878598245523,-8.00842352204697,0.9733398,1085.1931,16.012785,82.7784,9789.807407015925,676.9494,1.4803209,0,7,0,1,2.8881207,1.6462955,1.2418251,,,,,,,114.66145318758862,53.932057891791686,156.46286533240428,62.48812295057808,0,3286.2512,3284.2383,3288.0195,0.8176,0.5138,0.3432,3232.9062,3548.6137376210236,0,False,0.028493881,False,11.024490020496351,False,False,False,False,True,True
27,* ,288454252,15.519,3.93,1.17, ,0.03,A,16/22/23      ,203.51969,46.64028,1551723103671639808,2.85213,1551723103671639808,0.13823837,-0.0138196945,203.51956691581566,46.64025541831046,11.12531993224885,0.038424537,289.53687,-19.537926092831455,-6.156297638945443,1.4722006,1406.0386,15.505052,213.87904,16138.007457622707,630.619,1.5331955,0,2,0,0,2.859189,1.582408,1.2767811,1.9512265,5.3059607,2,5.950485,,,102.41633956704774,68.75287341674257,176.56128317183968,50.90012370597107,0,,,,,,,3262.5938,3705.716686291332,2,True,0.0138196945,False,10.736614157326676,True,True,False,True,False,False
