dr2_source_id,dr2_bp_rp,dist,Seq,RAJ2000,DEJ2000,Prot,V0mag,__B-V_0,o_RVel,RVel,e_RVel,PRV,PPM,Mm,Rot,JP96,dr3_source_id,angular_distance,magnitude_difference,proper_motion_propagation,abs_magnitude_difference,Teff_Curtis20
337154146758992000,1.2973042,0.0003163363428622,86,40.524499999999996,42.781520833333325,8.27,14.34,0.99,9,-8.5,0.5,95,71,KM,i,1,337154146759802752,0.07934399,-0.010788918,True,0.010788918,4760.345387991656
337196031279989504,1.2952108,0.0003364744761609,87,40.509874999999994,43.02036666666666,8.4,14.73,0.98,15,-2.8,0.6,7,0,NM,i,1,337196031279989504,0.07128033,-0.009799004,True,0.009799004,4764.509494630632
337150332828106880,1.9549332,0.0002464983517708,88,40.43445416666666,42.59318166666666,8.55,17.26,1.38,0,,,0,0,PM,g,0,337150332828106880,0.06458396,-0.026071548,True,0.026071548,3896.5185914203175
337186788510344576,1.5006094,0.0002977292572839,89,40.76483333333333,43.05043416666666,8.55,15.61,,0,,,0,0,NM,g,0,337186788510344576,0.08862835,-0.010604858,True,0.010604858,4416.877256965253
337143701398638464,1.2235699,0.000277149205884,90,40.37787916666666,42.48150638888888,8.7,14.8,0.89,11,-7.7,0.6,95,0,KM,i,0,337143701398638464,0.10248796,-0.015929222,True,0.015929222,4916.059572248727
337189842231829632,1.2597857,0.000307655282701,91,40.511041666666664,42.864280833333325,8.7,15.02,0.95,12,-7.4,0.6,95,76,KM,i,1,337189846527930496,0.07548803,-0.015899658,True,0.015899658,4837.218568075946
337166688063501184,1.3691092,0.000334143272385,92,40.35133333333333,42.80515277777777,8.85,14.71,1.01,10,-6.9,0.6,92,0,KM,i,1,337166688063501184,0.10916816,-0.012326241,True,0.012326241,4625.9712290323405
337163973644196224,1.1233788,0.0003406259668213,93,40.36370833333333,42.72832499999999,8.85,14.89,0.83,9,-24.4,0.4,6,0,NM,i,1,337163973644196224,0.046914868,-0.013210297,True,0.013210297,5158.818395760827
337174796961953664,1.6624928,0.0002987071683685,94,40.83845833333333,42.815574722222216,8.85,15.74,1.18,13,-10.5,0.8,44,24,KM,i,1,337174796961953664,2.2610316,0.045104027,True,0.045104027,4206.618234493117
337150126669688192,1.4240627,0.0002475936665159,95,40.42912499999999,42.55368805555555,9.01,15.43,1.09,13,-9.3,0.5,89,5,KM,i,1,337150126669688192,0.09392414,-0.017829895,True,0.017829895,4533.345902686707
337146037860832256,1.7021179,0.0002461215973367,96,40.608,42.47890472222222,9.01,13.8,1.21,0,,,0,0,NM,i,1,337146037860832256,0.05238576,-0.013915062,True,0.013915062,4160.534307869712
337168436118149248,1.2051153,0.0003583995434889,97,40.30420833333333,42.83864222222222,9.35,15.71,0.89,0,,,0,0,NM,i,1,337168436118149248,0.084758095,-0.017806053,True,0.017806053,4958.037394693758
337099068098490624,1.5464344,0.0002652062942257,99,40.603629166666664,42.46099861111111,9.52,15.84,1.14,12,-8.1,0.7,96,0,KM,i,0,337099068098490624,0.12521027,-0.01911354,True,0.01911354,4353.051969440098
337194141494406016,1.390542,0.0003457260042743,100,40.40696249999999,42.955951666666664,9.71,15.45,1.05,0,,,0,0,PM,i,1,337194141494406016,0.20787399,-0.01894188,True,0.01894188,4588.862514087155
337178404734238976,1.9129725,0.0003360158951714,101,40.604208333333325,42.89050666666666,9.71,17.18,1.42,0,,,0,0,PM,g,0,337178404734238976,0.30656955,-0.021892548,True,0.021892548,3937.4128541106857
337157028681181184,1.7175417,0.0002680643684245,102,40.330504166666664,42.59115222222221,9.9,16.32,1.28,8,-8.0,1.1,96,0,KM,i,0,337157028681181184,0.21478707,-0.010276794,True,0.010276794,4143.028932360142
337101095323226240,1.4309702,0.000288828396527,103,40.74858333333333,42.553886388888884,9.9,15.45,1.06,14,-7.6,44.8,95,6,KM,i,1,337101095323226240,0.070521876,-0.014186859,True,0.014186859,4522.269012591791
337149916215255296,1.5957127,0.0002525326881908,104,40.44349999999999,42.5420836111111,10.31,16.12,1.2,0,,,0,0,PM,i,0,337149920512044416,0.13461293,-0.014849663,True,0.014849663,4288.504787678597
337173663090374272,1.4999552,0.0003348941076609,105,40.72995833333333,42.76395805555555,10.31,15.69,1.13,9,-7.2,0.8,94,27,KM,i,1,337173663090374272,0.09671915,-0.017772675,True,0.017772675,4417.817923116257
337193896681057408,1.2297649,0.0003290226756045,106,40.409749999999995,42.928573611111105,10.52,15.73,0.91,0,,,0,0,NM,i,1,337193896681057408,0.04513491,-0.010712624,True,0.010712624,4902.2428883386665
337147103012713856,1.7538977,0.000269066538665,107,40.54895416666666,42.5215111111111,10.52,16.7,1.31,0,,,0,0,PM,i,0,337147103012713856,0.08830847,-0.01471138,True,0.01471138,4102.625362342174
337175346717538304,1.6349115,0.0003148564059668,108,40.74854166666666,42.806507222222216,10.52,15.49,1.25,10,-6.7,0.9,90,43,KM,i,1,337175346717538304,0.09283293,-0.009390831,True,0.009390831,4239.741664271366
337163831909606784,1.9545183,0.0002437971004662,109,40.412212499999995,42.71693416666666,10.75,17.44,1.43,0,,,0,0,PM,i,0,337163831909606784,0.21189784,-0.02020073,True,0.02020073,3896.917744110742
337190804304554880,1.8486013,0.0003221358087437,110,40.43758333333333,42.8989486111111,10.75,16.12,1.37,0,,,0,0,PM,i,0,337190804304554880,0.11522653,-0.024635315,True,0.024635315,4002.2346139960955
337178920130314112,1.6037064,0.000336306944513,111,40.681458333333325,42.875007499999995,10.75,15.59,1.18,12,-10.4,0.8,49,19,KM,i,1,337178920130314112,0.2375276,-0.01017952,True,0.01017952,4278.387783881421
337177580100540544,1.6650114,0.0003173158233564,112,40.58504166666666,42.81819916666666,10.99,16.31,1.26,0,,,0,0,PM,i,0,337177580100540544,0.08872512,-0.020000458,True,0.020000458,4203.638333283743
337158166848456064,1.6145096,0.0002442384745527,113,40.25724999999999,42.62627027777777,11.23,16.23,1.22,0,,,0,0,PM,i,0,337158166848456064,0.070879154,-0.019366264,True,0.019366264,4264.859285391234
337163660110858240,2.1783676,0.0002369346963531,114,40.379999999999995,42.68720638888888,11.23,17.91,1.48,0,,,0,0,NM,i,0,337163660110858240,0.14381531,-0.03411293,True,0.03411293,3697.962111061337
337168646568597504,1.6809263,0.0003060415430646,115,40.20495833333333,42.80567555555555,11.49,16.39,1.28,0,,,0,0,PM,i,0,337168646568597504,0.09184865,-0.020425797,True,0.020425797,4184.972058703382
337162491879824256,0.970026,0.0001895630688278,116,40.16049999999999,42.72606277777777,12.98,18.5,0.5,0,,,0,0,NM,i,0,337162491879824256,0.25743648,-0.024700165,True,0.024700165,5595.191662027214
337191835101078784,1.0972557,0.0003288066267747,117,40.59607916666666,42.95800388888888,14.08,14.37,0.79,8,-28.0,1.4,6,0,NM,i,1,337191839392743680,0.33509928,-0.000102996826,True,0.000102996826,5228.0294816839005
337123562295932032,1.2683067,0.0002881042659874,118,40.80432916666666,42.54152666666666,15.37,16.79,0.93,0,,,0,0,NM,i,0,337123562295932032,0.06479415,-0.041360855,True,0.041360855,4819.337617895542
337144526032351232,1.2809191,0.0002620982570763,119,40.34925,42.51550305555555,18.85,14.62,0.94,5,6.0,0.2,8,0,NM,i,1,337144526032351232,0.043740027,-0.010588646,True,0.010588646,4793.32936748814
337174556443794304,1.5345602,0.000330175020481,120,40.78079166666666,42.79632555555555,23.22,12.36,1.25,1,-6.8,0.0,90,0,NM,i,1,337174556443794304,0.23907073,-0.00935173,True,0.00935173,4369.21399431077
