star_mass,initial_mass,log_Teff,log_L,log_R,EEP,phase,mass_conv_core,log_center_T,log_center_Rho,surface_he3,pp,age,Teff,L,R
1.915791342281059,1.9157990262534272,3.950570576885921,1.1845082223121146,0.2137901095663298,202,0.0,0.1997978078420794,7.323556888844885,1.8722358082479587,6.630504081263597e-05,0.9973909056132086,7.0,8924.226347690306,15.293547007646694,1.6360256545403604
1.8244400615241938,1.8244472813829828,3.9321442626890417,1.1018495515207676,0.20931340256441458,202,0.0,0.16132421946103379,7.311845911701793,1.8885690196748746,6.630301420590583e-05,0.9366274329441562,7.050000000000001,8553.50793660391,12.642982928473746,1.619248123983041
1.7329822400464003,1.7329889273025194,3.912082141414966,1.013343355618086,0.20518454716122442,202,0.0,0.11830229092540029,7.29722676934399,1.901384720867772,6.630013380123368e-05,0.8591455708710665,7.1000000000000005,8167.368323933022,10.312010715141684,1.603926811409406
1.646680348962446,1.6466864891773128,3.892725231881699,0.9200016745491528,0.197227525693292,202,0.0,0.07988618607877337,7.281275733012126,1.9083711769753413,6.629418444527966e-05,0.7712818631007803,7.15,7811.334430767934,8.317669782168792,1.5748076858333504
1.42550904507764,1.425513192613609,3.8247644707249973,0.5417178225124623,0.14400712198835103,202,0.0,0.19515730626153205,7.215409429181369,1.8004684167289517,6.627846997175001e-05,0.2665780201163773,7.200000000000001,6679.815554212448,3.481110606692957,1.3931796494890456
1.3591382446741074,1.3591421151573182,3.8165045488015346,0.4534942181931419,0.1164151636756158,202,0.0,0.18251430286703077,7.206711425153774,1.817519729885674,6.628569278712281e-05,0.2237890772324278,7.25,6553.971504289881,2.841150360206118,1.3074201187939547
1.3030075559604353,1.3030112209372198,3.8089385768485293,0.37452717382768125,0.09206358539889617,202,0.0,0.16529104998209554,7.198484883743804,1.8330318541191881,6.629344163854641e-05,0.1833304893372282,7.300000000000001,6440.781657887589,2.368793342666476,1.2361284027342598
1.245638949263653,1.245642393561564,3.800800701520285,0.2903154798581007,0.06623348907059348,202,0.0,0.15093742245359879,7.189319627548285,1.8478042210282826,6.63006903234477e-05,0.13716844373417902,7.3500000000000005,6321.217030770473,1.9512615189245575,1.164752064959342
1.1990938937343798,1.1990971897233627,3.793696746063041,0.21857109716464232,0.044569208638353564,202,0.0,0.13595427222533366,7.1809317941115625,1.8599759003837988,6.630346896525025e-05,0.09469339182913848,7.4,6218.659044716931,1.6541355566256624,1.1080751328053113
1.1443363205838972,1.1443394050671503,3.784943368044403,0.13074468860021354,0.01816276039341423,202,0.0,0.12187362070565219,7.170424179484003,1.8723534156399717,6.63067599530764e-05,0.0389819123654484,7.450000000000001,6094.574188738051,1.3512779454736246,1.0427081315444318
1.1015819912993485,1.1015849423430093,3.7773621958800763,0.05823678245154431,-0.0029288483522669924,202,0.0,0.1084305444141853,7.161074979973591,1.8813565898067857,6.630753433324672e-05,-0.011538618581044215,7.5,5989.108706177192,1.143501615373465,0.9932787666567326
1.058154978942267,1.0581577876437869,3.7690090466657944,-0.018538192919240994,-0.024610037609094974,202,0.0,0.09611006770291287,7.1508972857244855,1.889231775278993,6.630837090350628e-05,-0.0686485095582394,7.550000000000001,5875.015904821516,0.9582124450542323,0.9449089496219434
1.0207518638260848,1.020754565472328,3.7610680417834734,-0.08775943129774469,-0.04333864703370459,202,0.0,0.08588119973896943,7.141250988283487,1.8947254558004532,6.63084065090509e-05,-0.123756361052365,7.6000000000000005,5768.568336245422,0.8170348260586768,0.9050266188595082
0.9661582692490112,0.9661607536304191,3.7479639204134108,-0.19445671170686596,-0.07047904449814123,202,0.0,0.07734756283099195,7.126514339741449,1.9007249962642225,6.63109499483902e-05,-0.2153678604506726,7.65,5597.11100826049,0.6390624327080295,0.8501997158866418
0.920012839797612,0.9200151620945347,3.735150398616258,-0.29092559699734516,-0.09308644354907558,202,0.0,0.07207621383083648,7.112706923061959,1.9030162866784033,6.631272202447019e-05,-0.30361165891300673,7.700000000000001,5434.384947099515,0.5117695039953761,0.8070743712497883
0.8746145122284071,0.8746166812504144,3.7194314448258083,-0.3970043458771312,-0.11468791040806893,202,0.0,0.06844325037071962,7.097663035000058,1.903293287495487,6.631707559846635e-05,-0.40192510720339647,7.75,5241.208598398914,0.4008627062735856,0.7679131233644763
0.829788443347363,0.8297904658423332,3.701487013171283,-0.510443975598093,-0.13551886195949847,202,0.0,0.06606524340608684,7.081672045199941,1.9020274000534352,6.63234065260822e-05,-0.5079516194522753,7.800000000000001,5029.062270807708,0.30871378637235136,0.7319495330140414
0.7849623744663192,0.7849642504342526,3.6835425815167575,-0.6238836053190533,-0.15634981351092775,202,0.0,0.06368723644145408,7.065681055399822,1.9007615126113835,6.632973745369804e-05,-0.6139781317011526,7.8500000000000005,4825.502906216636,0.2377477385768826,0.6976702215117495
0.7401363055852758,0.7401380350261719,3.665598149862232,-0.7373232350400137,-0.17718076506235705,202,0.0,0.061309229476821325,7.049690065599705,1.899495625169332,6.633606838131389e-05,-0.72000464395003,7.9,4630.1829335204,0.18309511817605056,0.664996309212641
0.6970977857439371,0.6970993768769924,3.6483022147653275,-0.8473461964036479,-0.19760037555036458,202,0.0,0.05876143187013427,7.0341645482315025,1.8984029630166395,6.634400345019891e-05,-0.8233365493524023,7.950000000000001,4449.407830269113,0.142119543423899,0.6344532471404881
