NGTS_ID     Gaia_ID             RA             Dec     NGTS_mag G_mag BP_mag RP_mag Ks_mag   GmK   SpT  mult amp_data amp_GP   P_GP     P_GPue    P_GPle     P_LS     P_GACF  method  P_adopt 
   7217  2320978512620414080  00:04:00.799  -29:26:46.156  11.99  12.38  12.80  11.82  10.71   1.67  G9    --   30.34   27.61   5.63879   0.01830   0.01672   5.62827   5.61870  GP     5.63879 
   7314  2320989954413282304  00:03:29.616  -29:27:38.186  14.83  15.36  16.39  14.36  12.26   3.10  M0.5  --   31.97   29.42   7.63727   0.04892   0.06790   7.70706   7.67040  GP     7.63727 
   7654  2320895774370830464  00:03:11.565  -29:30:15.160  15.53  16.12  17.48  14.96  12.54   3.58  M3    c    52.70   39.02   2.72253   0.00175   0.00154   2.72297   2.71980  GP     2.72253 
   7670  2320933157765826560  00:05:18.358  -29:30:05.447  10.87  11.21  11.60  10.70   9.66   1.55  G7    c    25.17   24.95   0.85993   0.00389   0.00342   0.84780   5.85980  GP     0.85993 
   7757  2320932951607396992  00:05:20.308  -29:30:55.940  14.61  15.16  16.10  14.20  12.10   3.05  M0    --   26.78   23.86   5.83534   0.02838   0.02760   5.92758   5.91050  GP     5.83534 
   8007  2320973839695997824  00:04:05.699  -29:33:03.777  14.15  14.69  15.58  13.77  11.77   2.93  K9    c    22.43   29.45  10.41800   0.09497   0.11207  10.74492  10.42240  GP    10.41800 
   8116  2320927007372603648  00:04:58.600  -29:33:47.594  11.10  11.41  11.73  10.95  10.09   1.31  G0    --   22.13   18.41   2.89051   0.01685   0.01630   2.84410   2.89270  GP     2.89051 
   8299  2320927484113278976  00:04:39.506  -29:35:19.728  12.77  13.18  13.70  12.52  11.13   2.05  K3    --   26.30   27.29   7.45707   0.07862   0.07603   7.61707   7.54330  GP     7.45707 
   8749  2320916768170630912  00:05:59.016  -29:39:04.517  11.19  11.52  11.85  11.06  10.19   1.33  G1    --   27.39   25.26   3.07041   0.00818   0.00804   3.07290   3.07510  GP     3.07041 
   8811  2320881377640416640  00:02:51.079  -29:39:45.445  13.86  14.28  15.01  13.45  11.58   2.70  K6.5  --   74.71   81.08   1.18205   0.00073   0.00071   1.18279   1.18312  GP     1.18205 
   8947  2320875467765417984  00:02:47.165  -29:40:49.781  15.72  16.29  17.71  15.12  12.61   3.68  M3.5  c    57.34   35.08   0.33726   0.00055   0.00065   0.33850   4.55110  LS     0.33850 
   8989  2332876705901848704  00:00:52.967  -29:41:08.530  14.26  15.61  16.91  14.46  12.04   3.58  M3    c    18.28   12.62   5.26814   0.00872   0.00911   5.25983   5.23120  GP     5.26814 
   8993  2320924464751966720  00:04:43.509  -29:41:04.547  13.02  13.45  14.03  12.75  11.26   2.19  K3.5  --   49.54   39.75   5.61325   0.05060   0.03917   5.71842   5.64187  GP     5.61325 
   9063  2320924155514321536  00:04:38.583  -29:41:43.163  15.50  16.09  17.31  14.99  12.64   3.45  M2.5  --   63.76   54.74   0.72636   0.00010   0.00008   0.72625   0.72629  GP     0.72636 
   9188  2320886222363524992  00:02:11.661  -29:41:39.217  11.39  11.73  12.07  11.24  10.33   1.40  G2    --   19.92   18.68   3.90646   0.02472   0.02295   3.88382       ---  GP     3.90646 
   9443  2320874054720005248  00:03:06.827  -29:44:46.361  14.11  14.60  15.41  13.72  11.83   2.77  K7    --   36.09   36.67   5.86404   0.02035   0.02179   5.83817   5.85980  GP     5.86404 
   9539  2320829975471863168  00:04:21.686  -29:45:29.810  13.03  13.50  14.09  12.80  11.35   2.16  K3    --   18.07   16.47   8.33480   0.05205   0.05229   8.32707   8.37630  GP     8.33480 
   9681  2320862200611102848  00:01:46.446  -29:46:38.498  11.76  12.08  12.47  11.53  10.41   1.66  G9    c    28.14   33.26   2.34444   0.00701   0.00739   2.35688   2.34590  GP     2.34444 
   9731  2320908178235983360  00:05:17.520  -29:46:57.099  12.78  13.22  13.75  12.55  11.14   2.08  K3    --   49.02   47.05   7.44654   0.06765   0.06590   7.64343   7.62760  GP     7.44654 
   9739  2320873749778503552  00:02:48.191  -29:46:34.564  13.15  13.47  14.03  12.77  11.32   2.15  K3    --   50.20   37.08   7.78248   0.07446   0.04813   7.73373   7.93800  GP     7.78248 
   9825  2320863922893254656  00:00:49.984  -29:47:50.469  15.77  16.33  17.63  15.21  12.82   3.50  M3    --   50.68   29.17   1.62803   0.00091   0.00090   1.62863   1.62976  GP     1.62803 
   9986  2320872650266808192  00:02:14.667  -29:49:03.805  12.64  13.14  13.67  12.48  11.10   2.03  K2.5  --   35.93   30.75   4.44713   0.03196   0.03239   4.33175   4.44730  GP     4.44713 
   9992  2320734867715638144  00:09:08.023  -29:48:28.004  12.37  12.84  13.32  12.22  10.92   1.92  K2    r    27.59   29.48   6.71008   0.03959   0.03784   6.68471   6.72580  GP     6.71008 
  10020  2326879660246374272  23:58:28.447  -29:49:08.145  11.39  11.77  12.12  11.28  10.36   1.42  G2    --   17.10   19.80   4.00494   0.01851   0.01796   3.95148   3.99220  GP     4.00494 
  10029  2320869897192498432  00:03:20.576  -29:49:22.480  10.84  11.13  11.43  10.71   9.96   1.17  F8    --   11.63   10.99   2.52226   0.01479   0.01430   2.52023   2.52840  GP     2.52226 
  10182  2320860074602561408  00:01:22.805  -29:50:36.332  12.15  12.61  13.08  12.00  10.64   1.97  K2.5  c   152.92  137.48   0.40712   0.00007   0.00006   0.40734   0.40733  GP     0.40712 
  10246  2320872272309687808  00:02:18.527  -29:51:08.162  12.35  12.73  13.20  12.12  10.84   1.89  K2    --   35.82   32.95   6.73474   0.08649   0.08839   6.93400   6.86100  GP     6.73474 
  10294  2320906872565926528  00:05:26.825  -29:51:20.358  12.05  12.43  12.86  11.86  10.75   1.68  G9    --    7.64    6.29   6.93842   0.15901   0.15179   6.37794   7.11110  GP     6.93842 
  10348  2320903883268688896  00:05:34.766  -29:51:46.914  15.96  16.49  17.85  15.35  12.96   3.53  M3    --   47.52   22.15   1.77876   0.00465   0.00419   1.78043   1.78155  GP     1.77876 
  10446  2320871447675969664  00:02:25.864  -29:52:39.042  15.13  15.64  16.73  14.60  12.39   3.26  M1    --   30.21   20.48   2.18994   0.00382   0.00419   2.19500   2.18800  GP     2.18994 
  10520  2320707964040441856  00:07:45.142  -29:52:50.734  15.50  16.07  17.30  14.98  12.74   3.33  M2    --   32.20   14.20   3.66440   0.00770   0.00776   3.66738   3.69010  GP     3.66440 
  10537  2320903848908950656  00:05:30.898  -29:53:08.093  10.84  11.13  11.42  10.72   9.99   1.14  F7    --    6.54    4.79   3.24059   0.04192   0.04557   3.27455   3.26630  GP     3.24059 
  10659  2326864473241905152  23:59:30.614  -29:54:03.541  14.60  15.19  16.17  14.22  12.09   3.10  M0.5  --   48.34   41.66   2.69305   0.00192   0.00172   2.69304   2.69830  GP     2.69305 
  10702  2320812486365053696  00:05:14.362  -29:54:23.679  11.73  12.14  12.61  11.54  10.28   1.87  K1.5  cr   15.48   14.81   6.26562   0.06002   0.06111   6.18699   6.26300  GP     6.26562 
  10725  2320867633745079168  00:02:51.494  -29:54:49.251  15.44  15.99  17.21  14.92  12.62   3.37  M2    --   40.68   29.17   3.79459   0.00574   0.00672   3.80153   3.81380  GP     3.79459 
  10781  2320821797854098816  00:03:24.643  -29:55:14.590  13.27  13.76  14.38  13.02  11.48   2.28  K3.5  --   41.12   38.42   8.52955   0.08122   0.07984   8.74569   8.61410  GP     8.52955 
  10890  2320847533296914560  00:02:19.698  -29:56:07.271  13.29  14.05  14.54  12.92  11.05   3.00  M0    c    33.57   29.87   6.18315   0.12652   0.07528   6.36913   6.35040  GP     6.18315 
  10931  2320821694774884096  00:03:24.151  -29:56:22.811  13.94  14.46  15.25  13.60  11.73   2.73  K6.5  --   28.85   25.86   7.07960   0.02700   0.02558   7.09880   7.11110  GP     7.07960 
  11045  2320902234001248256  00:05:35.486  -29:57:06.272  11.79  12.41  12.84  11.75  10.26   2.15  K3    cr   26.61   22.07   5.98600   0.07934   0.07464   5.79797   6.01470  GP     5.98600 
  11156  2320822863006024832  00:04:12.505  -29:58:02.039  13.48  14.21  15.14  13.27  11.22   2.99  M0    c    19.86   19.51   0.25946   0.00001   0.00001   0.25944   0.25946  GP     0.25946 
