Unnamed: 0,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G
906,242363531343626112,3.454012,242363531344384128,0.13276125,-0.012161255,48.79507254418166,44.5606838440507,5.619202246623812,0.2205537,25.477707,18.69906166214882,-26.467565373565954,1.0208483,518.35254,18.642054,10.4921665,975.8984182859185,96.856094,1.6181605,0,3,0,2,3.1955185,1.8278484,1.36767,nan,nan,-1,nan,nan,nan,148.15903444972975,-11.156393105211507,58.665666186807556,25.501305120418525,0,3061.2983,3057.912,3066.1052,1.0051,0.5953,0.4311,nan,3,True,0.012161255,False,12.390426921756564
913,239867330709230336,1.954464,239867330709230336,0.7627064,-0.071660995,46.9175054167069,41.035996479995035,3.963040118818925,0.67220336,5.895597,19.147339228566107,-16.142979824080616,1.0065577,193.64651,19.893496,4.7965546,276.8268630894206,32.445305,1.4737062,0,2,0,2,3.0274944,1.7763729,1.2511215,nan,nan,-1,nan,nan,nan,148.85017374922126,-14.880089187570922,56.0957578051347,22.532985093196867,0,nan,nan,nan,nan,nan,nan,3921.9658,1,True,0.071660995,False,12.883637903817895
920,445374815672203008,2.2569695,445374815672203008,0.797964,0.017868042,56.34954973808877,55.03696817712694,1.8421689401959445,0.86596125,2.127311,-1.5441308481722775,-1.5795344104178413,1.5881056,167.61374,20.308664,7.1488867,251.07854495568893,27.184689,2.1171486,0,30,0,37,2.3647213,0.8044281,1.5602932,nan,nan,-1,nan,nan,nan,146.15989849028847,0.2110099199249362,67.42150759601311,34.2044382563294,0,nan,nan,nan,nan,nan,nan,3656.4453,4,True,0.017868042,False,11.635311600037705
924,450126011574801280,2.9693584,450126011574801280,0.057976108,-0.023923874,53.40460302996467,58.934158754382395,5.511934466540967,0.076999344,71.584175,23.49165584339414,-20.72320927528035,1.5875345,689.3607,16.57837,20.538832,7260.3113913257275,47.050083,1.8408797,9,25,0,26,2.9293852,1.4465237,1.4828615,nan,nan,-1,nan,nan,nan,142.54882486221308,2.384175053552569,66.88858892525462,38.39609630676556,0,3329.6675,3323.8013,3335.987,1.4801,0.9144,0.6274,3258.1562,1,True,0.023923874,False,10.28488936782529
931,442675342829304064,1.8952351,442675342829304064,0.11545965,-0.030056,51.43089007939063,51.268572418071145,4.491405329802575,0.6045118,7.429806,22.22975949624122,-25.966956391916305,0.9861906,188.55528,20.3055,6.387845,207.46622386241614,29.01744,1.6799974,0,0,0,1,2.6425896,1.2926159,1.3499737,nan,nan,-1,nan,nan,nan,145.9699711020035,-4.568306013801683,62.8032802046235,31.40805987095304,0,nan,nan,nan,nan,nan,nan,3980.8604,7,True,0.030056,False,13.567411280617709
933,248011718276865024,2.7604675,248011718276865024,0.24220225,-0.012313843,53.33812608766506,46.39176444362279,3.858252154791182,0.4739187,8.141169,30.88182740846606,-19.96988878462945,0.9706638,297.72147,19.737572,7.2544594,334.26941579927546,43.35022,1.5504967,0,0,0,0,2.9629517,1.6630344,1.2999172,nan,nan,-1,nan,nan,nan,149.80339523358518,-7.860123791649737,62.63370930031584,26.37488958642777,0,nan,nan,nan,nan,nan,nan,3366.3906,1,True,0.012313843,False,12.669524753345383
937,355688575612079616,0.7603531,355688575612079616,0.33331996,-0.040664673,35.51602606494619,50.39366404578881,5.154045391522412,0.37053213,13.909847,57.86229667164202,-44.84496223395174,1.0398226,302.7939,19.594507,18.636122,154.18122503798983,10.752629,1.181433,0,0,0,0,0.4904976,0.17380714,0.31669044,nan,nan,-1,nan,nan,nan,137.3680229889493,-9.920531881068918,51.237612100265636,34.02476863735667,0,nan,nan,nan,nan,nan,nan,6289.9717,2,True,0.040664673,False,13.15524841265793
939,453444573889634944,2.5450783,453444573889634944,0.4776585,-0.02686882,43.62174567655054,54.74642602389634,5.5543788659535736,0.7845461,7.0797358,51.03295984077606,-26.86716065749815,1.0783893,174.83516,20.374186,6.3969183,211.9200047733406,29.179556,1.8503678,0,1,0,1,2.54636,1.104641,1.441719,nan,nan,-1,nan,nan,nan,140.1451787864881,-3.959996116975131,58.80882378140537,36.21553440328866,0,nan,nan,nan,nan,nan,nan,3471.7266,0,False,0.02686882,False,14.09736306108223
941,2126696663423894144,2.7506905,2126696663423894144,0.0468908,-0.017110825,292.5197879265702,45.40118459605561,4.5990308717270665,0.031683277,145.15642,7.844566848282334,-0.019033594423044954,0.9718481,579.8268,16.000013,78.08908,9621.353828235833,193.9788,1.4655168,0,0,0,1,2.7093248,1.4991169,1.2102079,nan,nan,-1,nan,nan,nan,77.73470119355977,12.69831720454202,310.77307385450894,65.68311786051343,0,3406.09,3399.5967,3411.0452,0.8764,0.5631,0.3676,3371.1875,2,True,0.017110825,False,9.313344975713871
944,451099143789136000,2.9879913,451099143789136000,0.17217194,-0.036426544,41.12554692856589,50.914711131857544,5.452879352727712,0.09136041,59.68536,30.534224123505044,-32.6434655180127,1.0796145,751.72644,17.252157,35.490337,3140.561836828472,238.65591,1.4784913,0,2,0,1,2.9481392,1.7013588,1.2467804,nan,nan,-1,nan,nan,nan,140.48288553198043,-8.063442765170581,55.43021030968974,33.1758472638546,0,3355.4028,3341.1519,3359.9578,1.2272,0.7739,0.5076,3246.6875,1,True,0.036426544,False,10.935286655519722
957,465756492785886720,2.9315968,465756492785886720,0.044066217,-0.020153046,41.80143747884542,61.914450478812356,4.286626845033013,0.30376837,14.111498,19.311170040730904,-15.029024755210198,1.046405,396.8606,19.314651,13.130925,477.7773871118178,76.0774,1.4962261,0,0,0,0,2.9989548,1.7341347,1.2648201,nan,nan,-1,nan,nan,nan,136.1095451750239,2.041371432491126,61.2175863148057,43.20573520390921,0,nan,nan,nan,nan,nan,nan,3279.5,9,True,0.020153046,False,12.47522988628782
959,436629300187283584,1.9488449,436629300187283584,0.71677315,-0.057683945,47.931438229804456,49.73433017545383,3.3855427617710037,0.9137664,3.705042,4.345219635828393,-7.709886892847969,1.0426333,136.50208,20.517231,7.2625613,168.54396458610884,19.08715,1.7536597,0,1,0,1,2.2495518,0.9134331,1.3361187,nan,nan,-1,nan,nan,nan,144.9080432604184,-7.056251463219846,59.788995155897176,30.612965719628857,0,nan,nan,nan,nan,nan,nan,3927.4072,0,False,0.057683945,False,13.165372505603283
961,243117723302705024,3.2546158,243117723302705024,0.13929333,-0.020170212,51.82632378316125,47.507629960558475,5.230545091679721,0.25172007,20.779215,26.98481208396926,-18.82174699913032,1.0517151,542.3018,18.973509,9.573428,657.7692813546722,99.12604,1.4899999,0,1,0,0,3.1110725,1.8402748,1.2707977,nan,nan,-1,nan,nan,nan,148.30437505440463,-7.53870004528422,61.858493554127804,27.728926916558546,0,3126.674,3116.1646,3136.6162,0.8991,0.5454,0.3777,3088.9375,2,True,0.020170212,False,12.566243586988811
963,239687216961788032,0.741621,239687216961788032,0.3610111,-0.036481857,49.48823581394898,42.143481826788175,6.556216922261271,0.58781374,11.153562,25.357001882144353,-18.76973856271995,1.0824271,238.11615,19.96195,15.116848,121.810960079712,16.821898,1.193678,0,1,0,1,0.691288,0.26301765,0.42827034,nan,nan,-1,nan,nan,nan,149.92437975829515,-12.921666256327669,58.438421923779245,23.04084357837061,0,nan,nan,nan,nan,nan,nan,6334.301,0,False,0.036481857,False,14.045216874223518
975,249012480019955456,1.6284199,249012480019955456,1.4253494,0.01259613,54.564166944904244,48.16437739929119,3.6157839102414875,1.5145285,2.387399,8.379143544582913,-6.060201748512222,0.94181293,105.071365,20.781572,4.5568438,142.05260662678944,13.7146,2.0332139,0,0,0,0,1.8540249,0.43922424,1.4148006,nan,nan,-1,nan,nan,nan,149.4282378308921,-5.937864867055559,64.05910437949186,27.866342269063125,0,nan,nan,nan,nan,nan,nan,4279.6787,2,True,0.01259613,False,13.572584681309005
982,442008416011324416,1.7742691,442008416011324416,0.57318497,-0.066101074,52.69615389469588,50.43222739802594,3.4154413871346736,1.5580763,2.1920886,3.65740422541534,-9.151189479721268,1.0858997,83.637474,20.74473,4.953237,123.91801371669807,18.233187,1.7560663,0,6,0,9,1.7486496,0.5189781,1.2296715,nan,nan,-1,nan,nan,nan,147.10521052299097,-4.807789290814284,63.41779236667258,30.37876322828927,0,nan,nan,nan,nan,nan,nan,4108.4907,7,True,0.066101074,False,13.411964179460961
984,245870453744702976,2.1421394,245870453744702976,0.78628373,0.039916992,60.56783508182463,46.73070700412624,3.2682650905556034,1.7522516,1.8651803,-1.2893121486178964,-25.92557073706397,1.0181576,99.681946,20.777647,5.3883553,151.51259921080666,19.326797,1.9354657,0,0,0,0,2.4799232,0.99905014,1.4808731,nan,nan,-1,nan,nan,nan,153.5025046366119,-4.5004631361814225,68.08794366472328,25.50541775676299,0,nan,nan,nan,nan,nan,nan,3749.5195,2,True,0.039916992,False,13.349233394050845
986,443354394339179648,2.175087,443354394339179648,0.8176685,-0.058340073,51.149207096350125,52.59303782610461,4.415951900394366,1.3810058,3.1976345,41.17886000312579,-48.88616137686126,0.97933406,97.60088,20.697449,3.21129,128.50270013898458,18.454737,1.5128984,0,0,0,0,2.5374565,1.3156223,1.2218342,nan,nan,-1,nan,nan,nan,145.0886800660973,-3.5625134695514507,63.06619636686451,32.725152142951934,0,nan,nan,nan,nan,nan,nan,3721.629,8,True,0.058340073,False,13.922570402005764
988,248956885962438400,3.5325508,248956885962438400,0.11144869,-0.03383255,53.03057086668993,47.88137520876308,5.660680503511356,0.19236678,29.426497,21.23696804144738,-24.61241227725349,0.9779426,604.9747,18.406343,8.664343,1278.0607152407147,80.657875,1.6477342,0,2,0,1,3.7643528,2.3395252,1.4248276,nan,nan,-1,nan,nan,nan,148.7595913839478,-6.768854532713404,62.85550777388888,27.86610814246548,0,2943.6562,2928.7766,2958.3809,0.9065,0.5189,0.4202,nan,5,True,0.03383255,False,12.170686677115315
990,446357328098245248,2.241375,446357328098245248,1.4844366,-0.023923874,48.24095427270602,53.50633575891441,3.7185819035895165,1.4297361,2.6008868,-2.3482502384836965,-2.7345011943396647,1.5206788,90.96509,20.719048,7.2860875,132.80357813082176,14.438496,1.7909769,0,0,0,0,1.8629112,0.5837345,1.2791767,nan,nan,-1,nan,nan,nan,143.11924683686186,-3.72544862819932,61.41099781789809,34.13284559968258,0,nan,nan,nan,nan,nan,nan,3668.375,3,True,0.023923874,False,13.570934303775372
992,441528822781879552,2.9372864,441528822781879552,0.17710413,-0.025045395,52.87783547377669,49.34233402880594,5.703722037813304,0.048515566,117.56478,22.267958255852825,-25.845985808568507,1.0822535,1232.2133,16.072773,122.60182,9320.218330958418,401.3119,1.4805794,0,5,0,4,2.9494085,1.7009659,1.2484426,nan,nan,-1,nan,nan,nan,147.82926222959114,-5.633420198424712,63.19895855372757,29.299162778141522,0,nan,nan,nan,nan,nan,nan,3276.2812,1,True,0.025045395,False,9.853564743140769
