dr2_source_id,dr3_source_id,n_sectors,period,uncertainty,pdm_period,lsp_period,pdm_power,lsp_power,teff_curtis20,p2p_rms,a_90_10,snr,ra,dec,pmra,pmdec,parallax,radial_velocity,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,phot_bp_mean_mag_0,phot_rp_mean_mag_0,phot_g_mean_mag_0,X,Y,Z,U,V,W,v_l,v_b,in_meingast,in_kerr,in_kc,in_cg,in_jaehnig,in_lodieu,in_moranta,in_heyl,manual_check,flag_quality_period,flag_benchmark_period,in_gyro_sample,flag_nbhr_count
435415400695224320,435415400695224320,1,,,,,,,3506.0,,,,50.861,48.351,18.991,-29.04,3.811,,21.37,18.722,20.236,13.929,11.445,12.923,-217.61,139.73,-32.11,,,,39.374,-16.951,False,False,False,False,False,True,False,False,,False,False,False,False
233788848176832256,233788848176832256,1,,,0.104,14.0,0.927,0.048,3216.0,48769.42,97676.36,28.17,63.985,46.235,17.775,-26.412,5.917,,19.517,16.5,17.777,13.198,10.278,11.537,-152.96,69.47,-9.21,,,,24.831,-5.328,False,True,False,False,False,True,False,False,,False,False,False,False
452571703399266944,452571703399266944,1,,,14.0,7.439,0.582,0.413,3866.0,7243.65,35101.78,8.04,37.248,53.783,21.003,-15.818,4.338,19.47,16.365,14.356,15.355,9.317,7.406,8.375,-166.97,154.89,-25.01,-43.45,-19.85,-16.78,27.551,-7.528,False,False,True,False,False,False,False,False,,False,False,False,False
219587766446786816,219587766446786816,1,,,0.104,6.56,0.929,0.04,3095.0,107852.24,205121.88,25.27,58.026,34.747,21.591,-28.513,5.904,,20.785,17.353,18.731,14.207,11.038,12.369,-153.29,55.77,-42.73,,,,27.957,-5.998,False,True,False,False,False,False,False,True,,False,True,False,False
438946658380959104,438946658380959104,1,,,0.104,14.0,0.424,0.413,3763.0,485117.23,2966860.99,90.95,40.725,50.135,5.355,-14.117,3.9,,21.881,19.476,20.727,14.628,12.317,13.545,-194.52,159.81,-38.81,,,,13.043,-12.74,False,False,False,False,False,True,False,False,,False,False,False,False
246136780376822912,246136780376822912,1,,,,,,,3292.0,,,,62.197,47.69,22.192,-31.36,6.525,,17.001,14.07,15.319,10.894,8.057,9.287,-136.62,67.57,-7.76,,,,27.174,-5.864,True,True,True,False,False,True,False,False,,False,False,False,False
435397224393053184,435397224393053184,1,,,0.287,0.287,0.626,0.36,3066.0,36377.28,87531.97,20.52,49.978,48.275,23.179,-24.355,5.968,,19.789,16.37,17.714,13.379,10.136,11.449,-138.47,90.47,-21.67,,,,25.845,-6.257,False,True,True,True,True,True,False,True,,False,True,False,True
2175448287444715008,2175448287444715008,2,,,0.104,6.082,0.89,0.119,3739.0,5364.75,11831.53,5.83,320.057,53.097,15.034,3.52,5.468,-26.67,16.003,13.933,14.955,9.647,7.599,8.614,-13.69,181.34,7.6,-20.41,-39.38,-15.36,11.295,-7.063,False,False,True,False,False,False,False,False,,False,False,False,True
124425340004945280,124425340004945280,1,,,0.104,11.182,0.615,0.303,,20398.41,82036.41,53.34,52.128,31.695,25.003,-27.631,6.319,,19.035,15.552,16.902,12.805,9.468,10.793,-137.15,55.44,-54.29,,,,27.334,-5.287,True,False,False,False,False,False,False,False,,False,False,False,True
2015665883311132032,2015665883311132032,3,,,0.208,13.619,0.92,0.041,4068.0,2884.0,9482.22,58.71,350.748,61.593,27.012,-2.436,6.408,-17.15,14.475,12.75,13.645,8.439,6.744,7.628,-59.74,143.47,1.52,-21.33,-34.98,-15.71,18.151,-8.359,False,False,True,False,False,False,False,False,,False,True,False,True
436455366900618240,436455366900618240,1,,,0.187,0.146,0.885,0.033,4211.0,953674.35,1808574.62,23.79,49.126,49.476,,,,,21.13,19.493,20.715,,,,,,,,,,,,False,False,False,False,False,True,False,False,,False,False,False,False
441700728853991936,441700728853991936,1,,,,,,,4999.0,,,,51.181,49.887,22.101,-23.962,5.437,-9.23,12.865,11.639,12.331,6.245,5.137,5.776,-152.08,100.23,-18.13,-18.03,-40.62,-12.9,27.492,-6.663,False,True,True,True,False,False,False,True,,False,False,False,True
2203676874102440960,2203676874102440960,2,,,0.324,6.648,0.926,0.053,3327.0,23573.57,52303.08,26.0,325.224,59.936,24.43,9.096,7.898,,18.362,15.609,16.811,12.817,10.083,11.281,-24.14,123.28,11.95,,,,14.567,-5.568,False,False,True,False,False,False,False,False,,False,False,False,False
435365029316193920,435365029316193920,1,,,7.224,7.224,0.936,0.065,3214.0,29505.61,59355.43,3.42,51.162,48.288,22.128,-21.64,4.822,,19.155,16.046,17.332,12.262,9.322,10.577,-172.63,109.99,-25.2,,,,29.747,-5.56,False,False,True,False,False,False,False,False,,False,True,False,True
2227358567851366144,2227358567851366144,4,,,1.025,1.404,0.972,0.017,3618.0,598554.84,1134653.03,9.45,349.411,70.903,22.399,5.044,5.041,,21.854,19.064,20.469,15.299,12.546,13.943,-83.24,175.95,32.53,,,,21.253,-3.118,False,False,False,False,False,False,False,True,,False,False,False,False
443330926640566272,443330926640566272,1,,,0.104,13.084,0.73,0.287,3818.0,4412.14,10799.89,36.4,51.192,52.298,19.144,-27.614,6.269,-5.06,15.796,13.702,14.726,9.457,7.496,8.48,-130.28,90.3,-10.18,-19.88,-34.79,-16.19,23.514,-9.348,False,True,False,True,False,False,False,False,,False,False,False,False
258679489326910720,258679489326910720,1,,,0.208,6.604,0.886,0.084,6027.0,379923.78,1048008.93,29.29,67.343,49.159,7.874,-44.534,7.232,,20.731,19.749,20.259,14.898,13.969,14.453,-124.93,58.02,1.26,,,,24.616,-16.325,False,False,False,False,False,True,False,False,,False,False,False,False
249094363572077056,249094363572077056,1,,,5.279,0.756,0.916,0.076,3142.0,13884.7,29298.82,10.4,53.724,48.541,22.284,-25.57,5.696,,18.159,14.971,16.373,11.655,8.626,9.999,-148.62,90.17,-17.78,,,,27.368,-6.365,False,False,False,False,True,True,False,True,,False,False,False,False
2166346152243893504,2166346152243893504,2,,,0.104,5.279,0.935,0.05,3452.0,16391.95,31602.52,25.49,312.092,46.044,9.78,4.598,5.496,,17.525,15.029,16.175,11.179,8.707,9.847,13.81,180.51,4.78,,,,8.352,-4.037,False,False,True,False,False,False,False,False,,False,False,False,False
251309192307013504,251309192307013504,1,,,0.125,0.125,0.959,0.031,3275.0,24341.73,45751.73,24.46,57.212,51.219,17.888,-22.593,4.654,,18.661,15.637,16.906,11.635,8.805,10.037,-182.85,110.2,-8.75,,,,28.43,-6.623,False,False,True,False,False,False,False,False,,False,True,False,False
249899858916957184,249899858916957184,2,,,9.957,5.573,0.928,0.1,4347.0,483447.2,1189002.84,5.11,54.7,50.465,,,,,21.376,19.621,20.728,,,,,,,,,,,,False,False,False,False,False,True,False,False,,False,False,False,False
220443392653721088,220443392653721088,1,,,0.104,2.276,0.799,0.196,3350.0,10146.75,22924.12,6.42,58.793,37.114,21.352,-28.609,5.893,,17.545,14.729,15.959,11.139,8.451,9.654,-153.87,59.38,-36.51,,,,27.932,-6.101,True,True,True,False,False,False,False,True,,False,True,False,False
442912906063820288,442912906063820288,1,,,0.167,13.084,0.817,0.173,,1608.14,3143.07,21.64,50.61,51.661,19.573,-21.106,4.83,-6.09,9.245,8.824,9.098,2.189,1.969,2.126,-168.84,116.79,-15.81,-21.21,-38.42,-13.5,27.261,-6.81,False,False,True,False,False,False,False,True,,False,True,False,True
240466083510012672,240466083510012672,1,,,0.665,0.663,0.895,0.083,3133.0,38509.13,83427.94,11.38,47.756,42.701,18.296,-17.635,4.366,,19.554,16.366,17.635,12.554,9.482,10.73,-189.2,115.84,-51.25,,,,26.788,-5.901,False,False,True,False,False,False,False,False,,False,True,False,False
239348223781822464,239348223781822464,1,,,0.104,5.335,0.812,0.177,3246.0,13262.66,56847.61,60.82,48.595,41.088,24.141,-21.726,5.961,,17.376,14.414,15.673,11.106,8.222,9.466,-140.23,81.13,-40.53,,,,25.357,-4.274,False,True,False,True,False,True,False,False,,False,False,False,False
254183006465986816,254183006465986816,1,,,0.15,0.15,0.84,0.16,,43682.53,84408.49,24.17,69.109,46.117,19.794,-38.406,7.302,,19.776,16.281,17.646,13.969,10.554,11.905,-126.62,50.83,-1.6,,,,27.0,-7.233,True,True,True,False,False,False,False,False,,False,True,False,False
273986477893751296,273986477893751296,1,,,0.217,1.06,0.966,0.026,3205.0,34246.23,65444.77,9.1,68.357,54.526,15.553,-26.694,5.038,,19.108,16.095,17.367,12.435,9.522,10.775,-173.11,93.63,16.0,,,,28.247,-6.213,False,False,False,False,False,False,False,True,,False,True,False,False
2162953368584830336,2162953368584830336,1,,,,,,,3622.0,,,,313.306,44.39,10.254,0.193,5.591,,16.313,13.967,15.159,9.995,7.676,8.861,15.84,177.32,-0.63,,,,5.675,-6.535,False,False,True,False,False,False,False,False,,False,False,False,False
450177654264463360,450177654264463360,2,,,10.938,10.59,0.928,0.068,3103.0,19660.78,40196.69,3.03,52.143,59.059,33.077,-36.964,8.826,,18.611,15.434,16.728,13.279,10.138,11.426,-88.85,69.59,4.4,,,,25.79,-6.36,False,True,True,False,False,False,False,False,,False,True,False,False
258722443298330624,258722443298330624,1,,,0.208,0.171,0.956,0.014,4202.0,842143.95,1569179.72,19.79,68.293,49.702,3.568,-1.395,4.175,,21.107,19.928,20.919,13.852,12.816,13.742,-215.87,100.13,5.6,,,,3.893,1.88,False,False,False,False,False,True,False,False,,False,False,False,False
438843819682855168,438843819682855168,1,,,,,,,3808.0,,,,40.676,49.349,3.094,-12.302,1.557,,20.855,18.623,19.813,11.418,9.363,10.505,-483.53,392.9,-104.15,,,,23.919,-29.509,False,False,False,False,False,True,False,False,,False,False,False,False
504740265962392960,504740265962392960,1,,,10.703,1.204,0.953,0.028,3168.0,49811.29,102320.14,3.01,28.797,55.861,22.543,-13.138,4.825,,19.4,16.346,17.63,12.694,9.711,10.981,-136.81,152.75,-20.85,,,,24.507,-7.033,True,False,False,False,False,False,False,True,,False,True,False,False
961492686218446720,961492686218446720,1,,,0.104,7.786,0.593,0.403,4470.0,1044.31,3572.41,5.57,90.728,44.468,11.366,-44.384,7.288,-3.64,12.976,11.601,12.358,7.255,5.897,6.646,-131.4,27.53,25.76,-14.8,-41.0,-14.61,28.898,-6.84,False,False,False,False,False,False,False,True,,False,False,False,True
442883494127349888,442883494127349888,1,,,0.371,0.371,0.768,0.224,3168.0,12703.11,29092.53,17.0,49.136,51.498,22.202,-23.151,5.34,,18.284,15.068,16.374,11.514,8.528,9.791,-151.37,107.41,-16.35,,,,27.46,-6.988,True,True,True,False,False,True,False,True,,False,False,False,False
