dr2_source_id,dr3_source_id,n_sectors,Prot,uncertainty,pdm_period,lsp_period,pdm_power,lsp_power,Teff_Curtis20,p2p_rms,a_90_10,snr,ra,dec,pmra,pmdec,parallax,radial_velocity,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,phot_bp_mean_mag_0,phot_rp_mean_mag_0,phot_g_mean_mag_0,X,Y,Z,U,V,W,v_l,v_b,in_meingast,in_kerr,in_kc,in_cg,in_jaehnig,in_lodieu,in_moranta,in_heyl,manual_check,flag_quality_period,flag_benchmark_period_Andy,in_gyro_sample,flag_nbhr_count,Unnamed: 0,dr2_source_id_supp,dr2_bp_rp,angular_distance,magnitude_difference,ra_supp,dec_supp,parallax_supp,parallax_error,parallax_over_error,pmra_supp,pmdec_supp,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag_supp,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity_supp,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20_fixedreddening,nbhr_count,flag_nbhr_count_supp,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period_supp,flag_in_core,flag_pass_author_quality,flag_benchmark_period
455743279049438464,455743279049438464,1,1.9,0.000135,1.9,1.9,0.18,0.769,3205.0,5798.33,34433.56,19.49,35.257,53.988,35.314,-26.813,7.636,-51.23,16.959,13.994,15.256,11.316,8.384,9.639,-93.22,90.12,-14.77,7.92,-67.1,-9.46,26.2,-8.134,False,True,True,False,False,False,False,False,g,True,False,False,True,662.0,4.5574327904943846e+17,2.9741135,0.08300698,-0.035520554,35.25721861818258,53.98789721764966,7.635697863357923,0.036256686,210.60109,35.313975187560786,-26.812658849814085,1.2994924,1330.5552,15.256333,178.53473,20018.072407593983,617.88104,1.4970663,0.0,5.0,0.0,3.0,2.9644442,1.7024508,1.2619934,-51.23141,6.795904,2.0,7.293888,,,135.96575051708123,-6.601129068769909,52.82756554160734,37.38302987341628,0.0,,,,,,,3255.4688,2.0,True,0.035520554,False,9.67057702853305,True,True,False,True,False,False,False,False
447886272033181440,447886272033181440,1,1.986,0.000133,1.986,1.99,0.239,0.726,4671.0,2481.71,33469.99,43.28,48.19,55.919,19.22,-17.576,4.323,4.34,14.236,12.792,13.579,6.957,5.692,6.406,-180.74,141.99,-6.25,-31.61,-31.54,-12.93,27.825,-5.636,False,False,True,False,False,False,False,False,g,True,True,False,True,161.0,4.4788627203318144e+17,1.453474,0.09498654,-0.00022602081,48.19007472641599,55.91938128741855,4.322860734356672,0.015594215,277.20926,19.220464347875676,-17.576290277189372,0.99709475,917.22363,13.578652,264.29065,60606.630351057735,372.08838,1.2650608,0.0,6.0,0.0,0.0,1.4439068,0.65684986,0.7870569,4.3422785,2.6394463,2.0,12.886711,,,141.848428225504,-1.673028830555694,62.33699828456167,36.42465664996431,0.0,4843.696,4824.694,4857.0625,0.8161,0.6304,0.3369,4527.422,0.0,False,0.00022602081,False,6.757508604355126,False,False,False,False,True,False,False,False
2128087442555586688,2128087442555586688,2,1.41,0.000133,1.41,1.408,0.359,0.61,5914.0,2910.43,68431.7,132.88,293.273,46.319,8.037,0.436,4.458,-23.19,11.449,10.662,11.139,4.651,3.886,4.351,42.36,213.48,48.66,-19.31,-32.04,-19.51,4.169,-7.418,False,False,True,False,False,False,False,False,g,True,True,False,True,398.0,2.1280874425555866e+18,0.8015766,0.2410605,-0.0091257095,293.2732733016604,46.31902255585382,4.458098860404134,0.011087398,402.08704,8.036980307577227,0.4359439896142032,0.793193,907.2212,11.139046,259.85843,431008.5197836339,340.8255,1.1984063,0.0,0.0,0.0,0.0,0.7874708,0.31010628,0.47736454,-23.191143,1.2088374,1.0,56.130413,47.18185,17.28546,78.81606598943107,12.630446363580758,312.82593460198524,66.33209051886142,0.0,5754.9204,5742.8013,5773.9966,0.0116,0.0097,0.0052,6182.197,0.0,False,0.0091257095,False,4.384794189992048,False,False,False,False,True,False,False,False
2078670167328333696,2078670167328333696,2,2.504,0.000133,2.504,2.504,0.43,0.589,4628.0,1568.12,19034.63,51.47,298.442,43.809,4.79,0.913,5.209,-24.8,13.554,12.254,12.975,7.072,5.801,6.51,38.38,185.14,27.24,-18.83,-35.23,-14.06,2.884,-3.344,False,False,True,False,False,False,False,False,g,True,False,False,True,535.0,2.0786701673283338e+18,1.3106651,0.11067301,-0.00497818,298.4421814192557,43.808967697824166,5.208980446028599,0.012800946,406.92154,4.789983716651959,0.9129520604853184,0.985643,1043.5062,12.975427,317.75742,99440.71963604106,402.6454,1.2437894,0.0,0.0,0.0,0.0,1.299797,0.57835484,0.7214422,-24.802803,5.863914,1.0,18.170033,,,78.31543084589715,8.22886012296447,318.2448203434378,62.56584178174513,0.0,4915.038,4910.1675,4919.2275,0.5103,0.3998,0.2126,4785.152,0.0,False,0.00497818,False,6.559190309586128,False,False,True,True,False,False,False,False
156371066236087680,156371066236087680,1,1.804,0.000132,1.804,1.804,0.054,0.95,4575.0,2508.93,61881.5,83.45,77.681,30.345,29.877,-61.004,11.722,8.93,11.78,10.479,11.208,7.12,5.823,6.55,-84.35,7.94,-7.99,-22.06,-38.33,-12.74,27.003,-4.707,False,False,True,False,False,False,False,False,g,True,False,False,True,732.0,1.5637106623608768e+17,1.312602,0.9236637,0.0066070557,77.68096385889233,30.34495875792901,11.721576416508755,0.20020612,58.547543,29.87711689918456,-61.00410090756916,8.764334,476.37015,11.208219,131.74593,510082.8093718655,190.96388,1.2524979,0.0,12.0,0.0,12.0,1.3009872,0.57156277,0.7294245,8.929798,2.1503365,1.0,70.78169,,,174.62090083894913,-5.531778355269013,79.30064736496055,7.362085073761171,0.0,,,,,,,4781.25,0.0,False,0.0066070557,False,6.553148690507461,True,False,False,False,True,False,False,False
251038162691943552,251038162691943552,1,1.885,0.00013,1.885,1.885,0.076,0.935,5612.0,1041.81,29121.58,93.71,60.435,52.284,19.439,-29.085,5.869,-0.05,11.281,10.315,10.886,4.905,4.028,4.555,-146.54,85.38,-0.74,-24.72,-35.75,-14.55,27.149,-7.363,True,True,True,True,False,True,True,False,g,True,False,False,True,860.0,2.5103816269194355e+17,0.9739227,0.10500591,0.009747505,60.43518940366719,52.2843525964193,5.869372903858461,0.017310966,339.05518,19.439059204857717,-29.085302269385,1.0203063,971.0508,10.886173,304.83173,592948.9813040403,377.59512,1.216118,0.0,0.0,0.0,0.0,0.9658766,0.39505577,0.5708208,-0.053550076,0.8135648,1.0,81.77394,38.61881,10.668326,149.7770087515372,-0.3770905538214741,69.39579921182398,30.93904114515663,0.0,5772.288,5742.937,5804.456,0.4309,0.3581,0.1934,5661.9814,0.0,False,0.009747505,False,4.729131762244336,False,True,False,True,False,False,False,False
247198736809667328,247198736809667328,1,1.113,0.000123,1.113,1.113,0.441,0.573,6382.0,881.77,4345.95,21.23,61.835,49.096,38.119,-54.66,11.766,0.72,8.492,7.889,8.272,3.836,3.239,3.619,-75.19,39.05,-3.02,-23.61,-35.19,-13.19,26.114,-5.978,False,False,True,False,False,False,False,False,g,True,True,False,True,656.0,2.4719873680966733e+17,0.60984087,0.10110576,0.012738228,61.83525800108836,49.096149525150416,11.766191073387596,0.024468932,480.86246,38.11909600103687,-54.659780379910174,0.9396689,5395.765,8.272383,2959.6306,5541501.262218784,2648.7954,1.1916797,0.0,62.0,0.0,63.0,0.6032033,0.21964741,0.3835559,0.72353,0.16188842,1.0,316.69098,26.794333,1.8305455,152.55885025544927,-2.1704166937851066,69.58227678200231,27.63392916968624,0.0,6431.301,6408.959,6515.5703,0.0154,0.0134,0.0072,,0.0,False,0.012738228,False,3.625562219697974,False,False,False,False,True,False,False,False
2170486672504788480,2170486672504788480,2,1.256,0.00012,1.256,1.257,0.795,0.215,3166.0,17571.87,38785.56,9.51,314.134,52.635,15.247,5.324,6.811,,18.438,15.402,16.664,12.578,9.559,10.818,-3.93,145.71,12.0,,,,9.647,-5.683,False,False,True,False,False,False,False,False,g,True,True,False,True,767.0,2.1704866725047885e+18,3.020339,0.07741801,-0.02981186,314.13370938383093,52.634834603311376,6.811469557891612,0.046302285,147.10872,15.247064281220757,5.323884801336813,1.0626407,1275.9209,16.663729,57.19218,5476.792255139222,351.23276,1.4875753,0.0,2.0,0.0,1.0,3.0364656,1.7743168,1.2621489,,,,,,,91.56882288532728,4.70408949327855,348.8247682062517,64.48364796835958,0.0,3320.739,3317.8398,3323.9546,1.1101,0.6928,0.4689,3227.375,0.0,False,0.02981186,False,10.829932813957674,False,False,False,False,True,False,False,False
2170284942179709824,2170284942179709824,2,2.759,0.000118,2.759,2.759,0.11,0.901,4217.0,1708.14,25074.48,57.61,315.086,52.32,14.101,5.741,6.544,-23.68,13.753,12.183,13.023,7.806,6.249,7.084,-4.47,151.76,10.78,-20.24,-35.79,-13.82,9.801,-4.962,False,False,True,False,False,False,False,False,g,True,False,False,True,279.0,2.17028494217971e+18,1.5783625,0.068288796,0.0015773773,315.0864628995271,52.31967558233226,6.543973144017955,0.011581897,565.0174,14.101481472745942,5.740565449660624,1.0548254,871.7235,13.023073,224.61562,106202.84653584014,333.12704,1.2833047,0.0,0.0,0.0,1.0,1.5699749,0.7294569,0.840518,-23.68165,6.0189285,1.0,22.509232,,,91.70783537300792,4.058449265583878,349.3829466892926,63.86968274032491,0.0,4128.0127,4120.032,4156.6084,0.1008,0.0743,0.0399,4344.749,0.0,False,0.0015773773,False,7.1022807381835005,False,False,True,True,False,False,False,False
249930370366736384,249930370366736384,2,2.25,0.000117,2.25,2.25,0.318,0.684,5948.0,1194.35,13312.56,47.95,55.495,50.924,13.234,-16.413,3.348,2.01,12.545,11.55,12.133,4.628,3.849,4.328,-251.66,155.7,-16.76,-27.62,-35.85,-14.44,28.75,-7.154,False,False,True,False,False,False,False,False,g,True,False,False,True,648.0,2.499303703667364e+17,1.0071125,0.17735587,-0.0077171326,55.494705980751625,50.9244072041397,3.347531074401102,0.013328244,251.1607,13.234242853903297,-16.413153222952563,0.8672589,2331.4019,12.132535,902.3479,190210.61912075704,979.5948,1.2160988,0.0,0.0,0.0,1.0,0.9948721,0.4121456,0.5827265,2.0140326,2.2570453,1.0,31.417685,27.773941,15.613869,148.25290150320902,-3.366898768942206,65.55090278485353,30.37314606691868,0.0,6054.2637,6009.1875,6120.532,0.6125,0.5095,0.2747,5560.7603,0.0,False,0.0077171326,False,4.756158066592651,False,True,False,True,False,False,False,False
