dr2_source_id,dr3_source_id,n_sectors,Prot,uncertainty,pdm_period,lsp_period,pdm_power,lsp_power,Teff_Curtis20,p2p_rms,a_90_10,snr,ra,dec,pmra,pmdec,parallax,radial_velocity,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,phot_bp_mean_mag_0,phot_rp_mean_mag_0,phot_g_mean_mag_0,X,Y,Z,U,V,W,v_l,v_b,in_meingast,in_kerr,in_kc,in_cg,in_jaehnig,in_lodieu,in_moranta,in_heyl,manual_check,flag_quality_period,flag_benchmark_period_Andy,in_gyro_sample,flag_nbhr_count,Unnamed: 0,dr2_source_id_supp,dr2_bp_rp,angular_distance,magnitude_difference,ra_supp,dec_supp,parallax_supp,parallax_error,parallax_over_error,pmra_supp,pmdec_supp,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag_supp,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity_supp,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20_fixedreddening,nbhr_count,flag_nbhr_count_supp,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period_supp,flag_pass_author_quality,flag_benchmark_period
442831576563419520,442831576563419520,1,nan,nan,nan,nan,nan,nan,3292.0,nan,nan,nan,48.928,51.007,23.851,-23.927,5.669,nan,17.904,14.874,16.14,11.328,8.48,9.711,-142.78,100.75,-16.89,nan,nan,nan,27.364,-6.479,True,True,True,True,True,True,False,True,n,False,False,False,False,3011.0,4.428315765634195e+17,2.970704,0.16228443,-0.03181839,48.928050516245584,51.00662384910438,5.669355516980437,0.044383604,127.73536,23.85104926574436,-23.92717868328352,1.0210824,1089.573,16.140064,114.43817,8903.189839060695,423.52713,1.4937476,0.0,5.0,0.0,2.0,3.0300617,1.7640285,1.2660332,nan,nan,nan,nan,nan,nan,144.78716709100036,-5.639117704487167,60.95352302277455,31.627304419115017,0.0,nan,nan,nan,nan,nan,nan,3256.9375,2.0,True,0.03181839,False,9.907732698580684,False,True,False,True,False,True,False
440778337378192768,440778337378192768,1,nan,nan,3.915,4.009,0.784,0.287,3070.0,120485.85,402634.43,8.1,42.869,52.434,26.477,-22.627,6.05,nan,19.668,16.251,17.589,13.34,10.068,11.38,-126.8,103.42,-17.52,nan,nan,nan,26.376,-6.536,False,True,True,True,False,True,False,True,n,False,True,False,False,3020.0,4.407783373781928e+17,3.3269672,0.016237665,-0.03611183,42.86914958935991,52.4337152307368,6.049805129176211,0.10972605,55.135544,26.476502024251246,-22.62715344669704,1.0204904,817.1239,17.58884,28.317837,2505.52451625822,328.9174,1.5506059,0.0,0.0,0.0,1.0,3.4172268,2.0790348,1.338192,nan,nan,nan,nan,nan,nan,140.79461914221994,-6.224860017742223,57.293548990413726,34.21158906625881,0.0,3149.872,3141.8157,3201.0813,1.1135,0.6631,0.4956,3067.25,5.0,True,0.03611183,False,11.497547413512498,False,False,False,True,False,True,False
442550685701011072,442550685701011072,1,nan,nan,nan,nan,nan,nan,3403.0,nan,nan,nan,49.627,50.201,24.187,-25.113,5.82,nan,17.372,14.642,15.851,10.9,8.313,9.491,-140.37,96.12,-17.78,nan,nan,nan,27.473,-6.688,True,True,True,True,True,True,False,True,n,False,True,False,False,3022.0,4.425506857010111e+17,2.7131233,0.13049331,-0.027916908,49.6273123610882,50.20104882531115,5.819586982476522,0.04187733,138.96748,24.186949543374936,-25.113490144471555,1.1118954,991.5531,15.850898,124.42197,11020.812685191138,344.14047,1.4598632,0.0,3.0,0.0,2.0,2.7297869,1.5212507,1.2085361,nan,nan,nan,nan,nan,nan,145.59529266133063,-6.085935688250011,61.16220217212909,30.725073509026974,0.0,3468.1145,3467.6936,3468.7637,1.1461,0.7404,0.471,3388.7969,2.0,True,0.027916908,False,9.675358607786787,False,False,False,True,False,True,False
446013593275335808,446013593275335808,1,nan,nan,0.125,0.432,0.968,0.019,nan,79273.09,136681.14,22.06,49.623,52.474,27.402,-28.049,6.577,nan,20.531,17.125,18.517,14.264,11.073,12.427,-122.78,87.99,-10.69,nan,nan,nan,27.387,-6.518,False,True,False,False,False,True,False,True,n,False,False,False,False,3035.0,4.460135932753358e+17,3.6408062,0.13439304,-0.00847435,49.62281214437615,52.47404976505847,6.576938288940188,0.19417882,33.870525,27.401863436887098,-28.04869979437128,1.0120271,544.4846,18.516792,10.402578,1119.6533991069275,164.10794,1.6300231,0.0,4.0,1.0,1.0,3.405447,2.0138416,1.3916054,nan,nan,nan,nan,nan,nan,144.37222712039767,-4.166889669339536,61.97026950395785,32.89189082035645,0.0,2885.877,2881.816,2890.0957,0.6271,0.3555,0.2851,nan,3.0,True,0.00847435,False,12.6069111319458,False,True,False,True,False,True,False
244500019876755968,244500019876755968,1,nan,nan,2.158,0.72,0.799,0.2,3125.0,9196.06,22885.72,12.57,56.632,44.84,23.201,-29.581,6.57,nan,17.941,14.763,16.096,11.835,8.767,10.08,-133.41,69.13,-20.0,nan,nan,nan,26.274,-6.298,False,False,False,False,False,True,False,False,n,False,False,False,False,3077.0,2.4450001987675597e+17,3.1776047,0.105270915,-0.0007419586,56.63219336714008,44.84020733705011,6.570026847498955,0.07774349,84.509026,23.201108855873933,-29.581343946730076,1.7266474,592.4211,16.09605,88.49648,9860.350637065558,504.70456,1.5692941,0.0,2.0,0.0,0.0,3.177744,1.8448582,1.3328857,nan,nan,nan,nan,nan,nan,152.60255770065672,-7.710045127482767,64.66663075530337,24.291958638431478,0.0,3330.2268,3326.1323,3334.0098,1.4776,0.9129,0.6267,3128.8125,3.0,True,0.0007419586,False,10.18388598368754,True,True,False,True,False,True,False
441519068918837376,441519068918837376,1,nan,nan,0.404,0.404,0.702,0.309,nan,610.85,3292.51,36.32,52.158,49.388,22.637,-24.76,5.601,-9.45,8.475,8.267,8.411,1.911,1.835,1.896,-148.98,95.2,-17.77,-17.49,-40.85,-12.59,27.533,-6.38,True,True,True,True,True,True,False,True,n,False,True,False,True,3079.0,4.415190689188374e+17,0.21137714,0.20152956,0.011664391,52.15842476781948,49.38752180407316,5.601062253700818,0.022168513,252.65845,22.637404744278516,-24.759991842995824,0.8458007,3479.6323,8.411223,1764.1746,3911866.028105361,2963.04,1.164804,0.0,0.0,0.0,0.0,0.20774937,0.0634613,0.14428806,-9.451149,1.1813647,1.0,226.78513,184.74228,9.349701,147.41672888396647,-5.863776561906555,62.69683868880599,29.47271979662732,0.0,9640.11,9621.209,9658.518,0.4202,0.3979,0.2117,nan,0.0,False,0.011664391,False,2.152575410137196,False,False,False,False,True,True,False
249615703882726400,249615703882726400,1,nan,nan,0.104,10.37,0.654,0.311,3066.0,54178.93,181823.71,47.49,55.206,49.559,22.55,-27.798,5.876,nan,19.617,16.31,17.651,13.179,10.039,11.349,-144.67,87.16,-13.12,nan,nan,nan,27.898,-6.945,True,True,False,True,True,True,False,True,n,False,True,False,False,3087.0,2.496157038827264e+17,3.3920002,0.1889754,-0.03589821,55.20643994677697,49.55900497001887,5.876050115328561,0.11378083,51.64359,22.55040565298101,-27.79784661242138,1.0676054,989.8574,17.651041,22.40382,2371.408151504972,248.44025,1.5656065,0.0,3.0,0.0,1.0,3.306799,1.9661369,1.340662,nan,nan,nan,nan,nan,nan,148.93023069832978,-4.567624242894304,64.93631538969696,29.10289126950461,0.0,3203.2927,3200.7861,3206.9966,1.3569,0.814,0.5927,nan,4.0,True,0.03589821,False,11.49646848648666,False,False,False,True,False,True,False
436482068710785152,436482068710785152,1,nan,nan,11.57,12.59,0.657,0.357,nan,406.23,1979.38,6.48,49.507,49.644,22.452,-24.326,5.632,-0.94,9.83,9.229,9.607,3.283,2.807,3.115,-145.3,98.62,-19.94,-24.73,-35.4,-14.19,26.796,-7.163,True,True,True,True,True,True,True,True,n,False,True,False,True,3089.0,4.3648206871078515e+17,0.60818386,0.16031875,0.005044937,49.5074285569293,49.64401205870498,5.631567620027065,0.017280323,325.8948,22.451667773459125,-24.325707468661317,1.0615273,4171.6426,9.606756,3394.637,1612515.6752006884,4064.6174,1.1861979,0.0,23.0,0.0,16.0,0.6013355,0.22371483,0.3776207,-0.93905574,0.483446,1.0,102.55906,29.79426,3.8778827,145.82968780375313,-6.597772308846805,60.88330394138515,30.216678072605408,0.0,6634.2397,6622.49,6647.2695,0.1271,0.1113,0.06,nan,0.0,False,0.005044937,False,3.3599027262914305,False,False,False,False,True,True,False
242493789115621248,242493789115621248,1,0.696,1.58e-05,0.696,0.696,0.477,0.603,3392.0,10805.05,60265.02,30.56,49.62,45.186,23.983,-25.555,5.843,nan,17.235,14.531,15.74,10.867,8.26,9.448,-142.71,88.04,-30.15,nan,nan,nan,27.463,-6.868,True,True,True,True,True,True,False,False,g,True,True,True,False,3127.0,2.4249378911562125e+17,2.691722,0.16370936,-0.028063774,49.62000855171385,45.18584985117053,5.842672337268548,0.037298676,156.64557,23.982721448094978,-25.555383908384925,1.059381,635.14465,15.739633,111.49123,12214.45205088278,227.4156,1.4646009,0.0,4.0,0.0,1.0,2.7044506,1.4955282,1.2089224,nan,nan,nan,nan,nan,nan,148.31941177791882,-10.31511241396212,59.48710377174013,25.931273607221424,0.0,nan,nan,nan,nan,nan,nan,3399.0625,5.0,True,0.028063774,False,9.572690263193454,False,False,False,True,False,True,True
249436930164597760,249436930164597760,1,nan,nan,0.104,10.703,0.841,0.162,3086.0,49767.03,109287.14,29.17,55.333,48.948,21.015,-27.05,5.673,nan,19.629,16.25,17.58,13.117,9.907,11.208,-150.4,89.06,-14.92,nan,nan,nan,27.513,-7.399,True,True,True,True,True,True,False,True,n,False,True,False,False,3140.0,2.4943693016459776e+17,3.305151,0.14029318,-0.0027561188,55.33261997945091,48.94811743328738,5.673460893510961,0.12126901,46.784096,21.01542286242347,-27.050464499322,0.9913457,879.5905,17.580404,37.290493,2506.7546805514,303.05566,1.543171,0.0,4.0,0.0,1.0,3.3789291,2.0486412,1.3302879,nan,nan,nan,nan,nan,nan,149.3654531339032,-5.005651221355794,64.84682609726738,28.49148601485987,0.0,3219.576,3212.3374,3230.8704,1.4099,0.8503,0.6089,3070.625,10.0,True,0.0027561188,False,11.349644609961508,False,False,False,True,False,True,False
441518450443505408,441518450443505408,1,nan,nan,0.104,11.706,0.427,0.571,3124.0,25549.7,148282.13,82.16,52.31,49.414,23.62,-27.017,5.867,nan,18.663,15.366,16.684,12.193,9.078,10.363,-142.37,90.75,-16.74,nan,nan,nan,27.985,-7.08,True,True,True,True,True,True,False,True,n,False,False,False,False,3181.0,4.415184504435054e+17,3.245922,0.18720594,-0.02809143,52.31043277238974,49.41352206300443,5.867255176906527,0.06594718,88.969,23.620250321182493,-27.016915432135495,1.0117382,1305.099,16.684082,44.06598,5659.568274025814,579.0927,1.5345688,0.0,1.0,0.0,1.0,3.2965822,1.9784374,1.3181448,nan,nan,nan,nan,nan,nan,147.48376645637367,-5.786227905975528,62.81428106427449,29.47000116146597,0.0,3380.9604,3309.2756,3394.7793,1.6071,0.9844,0.6959,3093.125,4.0,True,0.02809143,False,10.526256915413695,False,True,False,True,False,True,False
441444057308633472,441444057308633472,1,nan,nan,0.145,14.0,0.965,0.019,nan,108541.19,203177.06,21.04,51.0,48.903,22.973,-24.972,5.615,nan,20.937,17.527,18.902,14.362,11.147,12.488,-147.78,95.74,-20.27,nan,nan,nan,27.693,-6.795,False,True,False,False,False,True,False,True,n,False,False,False,False,3193.0,4.414440573086335e+17,3.6318855,0.10866672,-0.013366699,50.999882805304345,48.90290036720749,5.615069229045593,0.24877158,22.571186,22.973184798689303,-24.972340680218068,1.0438793,452.32483,18.902401,8.295052,773.5804864301155,131.35368,1.6059529,0.0,0.0,0.0,0.0,3.409998,2.0342293,1.3757687,nan,nan,nan,nan,nan,nan,147.0581393759974,-6.689684758976935,61.70544355840048,29.222908512957364,0.0,2927.8362,2920.1729,2934.118,0.9106,0.521,0.4108,nan,1.0,True,0.013366699,False,12.649176546026194,False,True,False,True,False,True,False
244809807276984064,244809807276984064,1,nan,nan,3.467,1.726,0.888,0.074,3413.0,4284.25,9293.34,7.07,55.999,45.996,24.298,-30.727,6.602,-24.15,16.302,13.659,14.84,10.203,7.653,8.813,-131.63,71.37,-18.25,-2.3,-47.97,-10.92,27.203,-6.702,True,True,True,False,False,True,False,False,n,False,False,False,True,3205.0,2.4480980727698406e+17,2.644105,0.13714522,-0.02214241,55.99872883958063,45.995870369397146,6.602349128772942,0.027285889,241.96936,24.298430644276024,-30.72675084844061,1.0956527,1575.1147,14.839896,273.0891,27266.78930243905,711.503,1.4378871,0.0,3.0,0.0,1.0,2.6431322,1.4620466,1.1810856,-24.147108,4.8408747,2.0,8.205099,nan,nan,151.53046998993054,-7.075294142784096,64.50106798323993,25.52106056692067,0.0,3498.9612,3497.5227,3501.2766,1.0416,0.6801,0.4278,3421.8594,0.0,False,0.02214241,False,8.938388631421615,False,True,False,True,False,True,False
249301411059447552,249301411059447552,1,nan,nan,nan,nan,nan,nan,3800.0,nan,nan,nan,53.451,48.874,23.346,-28.369,6.265,nan,20.78,18.163,19.608,14.514,12.014,13.432,-134.72,82.84,-15.71,nan,nan,nan,26.746,-7.143,False,False,False,False,False,True,False,False,n,False,False,False,False,3212.0,2.4930141105944755e+17,2.0767956,0.1653212,-0.03139496,53.45087596193245,48.8743851943954,6.265302284460119,0.44452515,14.094371,23.34589208601829,-28.36931648490549,1.0254208,301.30792,19.60792,3.7552848,430.3547634196488,73.397766,1.8388194,0.0,0.0,0.0,0.0,2.6165047,1.1719131,1.4445915,nan,nan,nan,nan,nan,nan,148.40884986069858,-5.798053939122715,63.46574579671192,28.746648044044903,0.0,nan,nan,nan,nan,nan,nan,3806.955,5.0,True,0.03139496,False,13.592629840039836,False,True,False,True,False,True,False
