Unnamed: 0,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
58,448128783066111744,1.0909939,448128783066111744,0.21789706,-0.010725021,52.48379916532163,54.716456127411256,5.959444180172538,0.012337766,483.0246,21.403842433852734,-20.198337436452707,0.9017187,2704.4917,11.798795,719.0457,267913.44641959656,945.83234,1.2225981,0,1,0,1,1.0760031,0.45511723,0.62088585,-0.16138622,0.47467095,1,43.00465,16.701994,8.75499,144.5540496387357,-1.3605266572873282,64.72667184837451,34.520315749033685,0,5344.255,5336.641,5352.752,0.3452,0.2799,0.1491,5315.937,0,False,0.010725021,False,5.674823527700365,False,False,False,False,True
59,247931114629354368,2.5587387,247931114629354368,0.12301891,-0.026895523,54.39984806767853,46.48913502299393,4.496062894001959,0.041637946,107.97994,17.843415007394896,-20.981023953993123,1.2233372,1090.5446,15.234005,203.42924,18604.30715567171,464.04913,1.4253477,0,1,0,0,2.5588856,1.3987427,1.1601429,15.381329,9.726401,2,3.9393494,,,150.3419323187978,-7.350387458663017,63.44999328725004,26.27741116777592,0,3549.8481,3543.7983,3555.8555,1.0142,0.6686,0.4134,3464.3281,1,True,0.026895523,False,8.498166863423535,True,True,False,True,False
60,443702733369514496,1.3176918,443702733369514496,0.17919612,-0.0144433975,55.09765380265786,52.12422384881428,5.890864337717049,0.012572072,468.56747,17.536129632612706,-24.32408607307913,0.9624879,3522.8704,12.550841,1043.7599,146630.0474060499,1449.1705,1.240585,0,0,0,0,1.2993946,0.5808916,0.718503,-1.5038179,0.91729003,1,29.55546,13.90472,9.49435,147.33277944209675,-2.5568214528800817,65.6427228607607,31.59559409494233,0,,,,,,,4771.005,0,False,0.0144433975,False,6.401736438321553,False,False,False,False,True
61,344188444197687936,1.2952642,344188444197687936,0.15579227,-0.011370659,28.559201579488253,40.2565245598293,7.086125081592856,0.01867636,379.41684,33.66719989049797,-24.249699585703617,1.1672153,2970.188,12.235287,838.3658,194434.1097020027,1062.1449,1.2373651,0,0,0,0,1.2809238,0.57160187,0.709322,5.052136,1.4863193,1,21.184464,,,135.71588033514928,-21.05117645173213,41.44006654784582,26.600162343231236,0,4660.2207,4652.1255,4668.184,0.0751,0.058,0.0303,4816.777,0,False,0.011370659,False,6.487330782978118,False,False,False,False,True
62,3448544866778118400,2.541709,3448544866778118400,0.04875497,-0.027449608,85.90671028088262,33.41819824178981,11.047626027576348,0.025570426,432.047,1.5436303067068684,-58.17591092855018,1.0810151,2325.808,14.557551,426.75958,34391.253353361004,1039.4823,1.4183912,0,1,0,1,2.5303087,1.3795328,1.1507759,-5.828545,2.4699574,2,10.610578,,,175.95510771903812,1.9787489172052832,86.53127944703213,10.028190937780764,0,3494.3503,3488.5789,3501.7358,0.746,0.4911,0.3058,3473.6797,0,False,0.027449608,False,9.773896206706976,False,True,False,True,False
64,934171231015568000,2.358798,934171231015568000,0.033014055,-0.023264885,118.46818731945126,49.85524570542954,5.732317289840264,0.04833432,118.59725,-7.498578849012391,-33.73133396368362,0.9469974,708.2449,15.60423,115.12784,12693.677837266463,206.2787,1.4045279,0,1,0,1,2.3681688,1.2528658,1.115303,,,,,,,168.85643764490538,30.195414296963047,110.45212842994847,28.417629066881034,0,3541.1533,3518.375,3571.679,0.6174,0.4136,0.2504,3583.0742,0,False,0.023264885,False,9.39588103231645,False,True,False,True,False
66,254409986895937280,0.9413328,254409986895937280,0.13391724,0.004529953,69.97110576036236,47.430539099571014,4.337909730230789,0.02321264,186.87704,13.405173860314896,-23.457553259426582,1.468953,7275.614,10.080303,2881.509,1227447.332467275,5094.5444,1.2134179,0,0,0,0,0.93360233,0.37868786,0.5549145,-29.4908,0.75394094,1,106.08957,26.897594,7.0167665,157.54878470649274,0.5093960114071348,75.18632527825062,25.016027208924474,1,6126.9937,6115.9644,6146.4287,0.5936,0.4997,0.2711,5762.6855,0,False,0.004529953,False,3.2667057437262343,True,True,False,True,False
68,443970258291343872,1.1591349,443970258291343872,0.22516957,0.0035600662,54.614501651708075,52.79046357740677,3.1796264037954725,0.01542979,206.07062,11.349120199828516,-13.944827469690951,0.9836354,4524.8984,10.929333,2286.4478,617482.9492238123,4266.9956,1.2334474,0,0,0,0,1.1480074,0.4900074,0.658,-29.206501,0.21197174,1,73.72833,9.035329,4.016766,146.69875467892322,-2.197305640319896,65.52052628614055,32.31656380370495,0,6262.42,6260.028,6264.93,1.0887,0.8984,0.4844,5132.883,0,False,0.0035600662,False,3.4412132068159345,False,True,False,True,False
71,452320087032817792,2.4859314,452320087032817792,0.22559923,-0.016870499,38.477426368919545,53.295750853301946,6.550234431627335,0.036435824,179.77457,32.69707316398777,-20.091582958275563,1.2616502,1389.6376,15.228261,301.85678,18550.658915687232,638.96356,1.427329,0,3,0,3,2.48693,1.3356657,1.1512642,,,,,,,138.00895657034008,-6.549713123126283,54.67007165226557,35.990249921932275,0,3497.7397,3492.3462,3521.809,0.8391,0.5552,0.3406,3504.211,0,False,0.016870499,False,9.309545211886046,True,False,False,False,True
73,462484350477522560,2.1314735,462484350477522560,0.13320126,-0.017251015,50.327586055165334,60.0284435852613,5.5563054009774495,0.025804475,215.32332,22.396919797921942,-24.322605519437655,1.0637453,2581.4177,14.938259,401.3025,21821.711961585614,824.35394,1.3590491,0,1,0,1,2.132802,1.0952168,1.0375853,6.2919307,3.5313423,2,6.369237,,,140.64005056318345,2.414135614495306,65.42444020889019,39.92887830162429,0,3928.5784,3885.1875,3945.0188,0.8839,0.6147,0.3475,3758.6992,3,True,0.017251015,False,8.662189667817831,False,True,False,True,False
76,3389509338700825472,2.7541857,3389509338700825472,0.13302858,-0.026133537,81.33715110641232,14.167934113513748,11.08444387769443,0.034052026,325.51498,2.9454394652044975,-15.569745187772655,1.0536389,1169.4298,15.226527,146.07242,19639.293347782033,609.1942,1.4580517,0,5,0,1,2.7650843,1.5536375,1.2114468,45.559586,4.407372,2,6.703921,,,190.0846104736612,-11.827402191246202,81.49677768210861,-9.016006891252283,0,3384.435,3382.9155,3385.853,0.8631,0.5521,0.3593,3369.5312,0,False,0.026133537,False,10.450096758178248,False,True,False,True,False
78,2168494529237099008,1.7713156,2168494529237099008,0.037348438,-0.017546654,315.29897860946477,48.486844607669916,5.095544719641686,0.016152935,315.4563,12.811767197658643,4.930540178224316,0.9705515,1016.82794,14.316027,228.85786,34518.760397722086,396.1836,1.3062079,0,0,0,0,1.7679882,0.85471916,0.91326904,-8.2567835,5.5862885,2,7.61569,,,88.90764536618587,1.434097674669993,344.58629052247534,60.74607742604265,0,4187.485,4182.5337,4206.5303,0.4192,0.3032,0.1644,4111.772,0,False,0.017546654,False,7.851979774662443,False,True,False,True,False
81,218122048726423808,1.0852556,218122048726423808,0.11284286,0.010795593,57.06442526523968,34.60064319910436,9.266356002999592,0.023075359,401.5693,37.786163705178424,-41.98799431739627,1.0114232,6550.942,8.088279,4403.3535,8188795.375513275,4277.666,1.2251065,0,15,0,0,1.0768299,0.4533968,0.6234331,-0.06512435,0.13069636,1,356.87567,6.137329,1.0800036,159.4726531899945,-15.43919609080688,62.50027242982389,14.252479602485593,0,,,,,,,5332.0557,0,False,0.010795593,False,2.9228236769183606,False,True,False,True,False
83,978170628342390272,2.0662727,978170628342390272,0.07617929,-0.009428024,107.5229366137474,48.00613970715446,5.5928725044338785,0.028046906,199.41139,-0.8926919789806202,-33.76570995306838,0.9752754,615.4701,14.935191,95.635155,21661.929867819155,248.75555,1.3576595,0,3,0,1,2.0826845,1.0561457,1.0265388,-3.7720299,9.026823,2,4.541324,,,169.25852204083876,22.786989148099636,102.87954056744398,25.34731617231326,0,3835.6328,3832.2463,3841.5164,0.6049,0.4201,0.2394,3816.4785,0,False,0.009428024,False,8.673365750627797,False,True,False,True,False
85,523210102803416832,1.4627943,523210102803416832,0.1413404,0.010829449,17.921069993770793,63.362778413106525,4.943806748200307,0.014545732,339.88022,24.97643740784642,-8.055942194614415,0.8840721,8012.2734,7.4650316,2217.4038,16891984.442076392,2543.4348,1.2613524,0,0,0,0,1.4518108,0.665473,0.78633785,10.0097275,0.11991754,1,616.7123,7.004414,0.44056395,125.19898977199125,0.5801841742071643,48.49779610795356,49.92721567969675,0,,,,,,,4512.6,0,False,0.010829449,False,0.9353390537520525,False,True,False,True,False
89,444826777848777984,2.6571417,444826777848777984,0.1389526,-0.021930695,53.53130969458903,53.706706253927074,6.067351126091571,0.0423975,143.10635,18.110270865622635,-29.44493405787849,1.0099553,1910.0527,16.07884,122.75018,8742.422518680785,609.7097,1.4411657,1,0,0,0,2.654356,1.4693317,1.1850243,,,,,,,145.63568858379847,-1.83565539276305,65.08245903551952,33.376780423923556,0,3445.3123,3436.7283,3479.1938,0.9811,0.6388,0.401,3415.3594,0,False,0.021930695,False,9.99383590023789,False,True,False,True,False
92,966332152287326080,1.9305553,966332152287326080,0.056823615,-0.018079758,100.25163444957816,46.36352824160502,5.826439744653887,0.021268174,273.9511,3.815023169776828,-35.687346872708346,1.011329,1148.9838,14.3970375,296.38666,33916.59510304885,586.9064,1.3338388,0,1,0,1,1.9320631,0.9568901,0.975173,-2.5409508,4.583698,2,10.106812,,,169.24675674043888,17.581739724681483,97.67866568911661,23.197135877070874,0,3743.3037,3680.338,3763.2263,0.2861,0.2009,0.1118,3945.4492,0,False,0.018079758,False,8.224053803433272,False,True,False,True,False
94,354153111920515200,2.2076578,354153111920515200,0.060495712,-0.020263672,37.21201553360949,47.32688957424922,6.177533590844083,0.033319343,185.40381,21.42829728003685,-22.59589924636284,1.0724365,2335.5103,15.157702,302.55313,18238.19956417278,1060.6091,1.3706865,0,3,0,0,2.2144747,1.1522131,1.0622616,-33.141003,6.7125793,2,3.8674767,,,139.55926924966158,-12.375590594250808,51.08133229948852,30.764221677317796,0,3738.0178,3728.852,3746.916,0.7137,0.489,0.2839,3695.1406,0,False,0.020263672,False,9.111778023945378,False,True,False,True,False
96,515519740524516992,1.1628704,515519740524516992,0.26812243,0.007092476,32.78480068161479,65.58376303044965,11.042589722633721,0.015777519,699.8939,52.945411528643724,-32.94354882213539,1.1140888,4093.7214,11.18996,1543.5371,484172.12755080743,2142.088,1.230142,0,0,0,0,1.1466122,0.49204826,0.6545639,13.128705,0.28578797,1,65.50528,,,131.0498918659444,3.975994878646572,58.52088814202205,48.27899154346808,0,4849.975,4843.951,4859.9004,0.064,0.0506,0.0268,5123.317,1,True,0.007092476,False,6.405314209312264,False,True,False,True,False
99,2079023179278234112,1.9396849,2079023179278234112,0.05440364,-0.016217232,299.2799733111898,44.16882758441481,9.151556604666569,0.01136744,805.0675,7.823321153842451,10.993697654287727,1.0661646,1912.7656,13.49326,429.45667,77871.2236604809,895.5928,1.3298447,0,1,0,1,1.9404812,0.96667385,0.97380733,-26.64816,1.7846751,2,22.52557,,,78.9359405068653,7.889214087085876,319.76164280446955,62.64135709823346,0,3995.2979,3983.4014,3999.8428,0.6175,0.4376,0.2417,3936.4385,0,False,0.016217232,False,8.300735234987815,False,True,False,True,False
102,2126395431599205888,1.9661827,2126395431599205888,0.05131724,-0.01819992,292.5926083116333,44.6986436812106,5.959810847793374,0.01470347,405.33362,8.542754981401295,-0.6106377507426926,0.9687893,4003.7417,14.493811,470.00266,31672.912175953712,556.288,1.3509381,0,26,0,27,1.9709263,0.9732914,0.9976349,-74.70378,4.142226,2,6.2403507,,,77.11109868541786,12.343902269666234,310.271664839506,65.01045565455964,0,3743.62,3693.715,3786.5378,0.3105,0.2175,0.1215,3910.4736,0,False,0.01819992,False,8.369973035388405,False,True,False,True,False
105,276404823658849408,2.640911,276404823658849408,0.10907714,-0.026548386,62.47790820465903,55.69063535553355,5.364081010697272,0.044933103,119.37927,23.20044064876474,-27.22348826406443,1.0299002,1771.3147,16.184683,159.48547,7861.124332388189,540.38007,1.4339486,0,0,0,2,2.6234093,1.4479103,1.175499,,,,,,,148.39570818008605,2.959950191179626,71.69187623436234,33.987213365096956,0,3554.3994,3551.926,3556.984,1.0928,0.7168,0.4435,3423.3047,0,False,0.026548386,False,9.832159486740753,False,True,False,True,False
107,271928054687544448,0.8453064,271928054687544448,0.09464659,0.0027532578,65.59877817419604,51.63101396473203,3.4070853473472984,0.016771263,203.15019,12.286595740018727,-16.84501548010733,0.94300956,4400.0195,10.479513,2077.3528,814535.7868374207,2601.5767,1.207287,0,0,0,0,0.8398571,0.3309641,0.508893,-5.207355,0.4460896,1,83.48375,47.322132,5.8579454,152.54616845358925,1.3199903195075189,72.84076798585042,29.635387950910225,0,7067.5347,7062.1826,7073.4463,0.8419,0.728,0.3928,6056.7485,0,False,0.0027532578,False,3.141428232149874,False,True,False,True,False
109,152916508075102592,1.1528835,152916508075102592,0.292049,0.014875412,66.38765904391131,28.449393423099508,5.644776898433682,0.08248515,68.43386,20.332722804905337,-25.26743469805522,4.762131,1327.8387,10.363126,579.17303,1047967.9271319652,758.7773,1.2432774,0,0,0,0,1.1466255,0.48052502,0.6661005,17.144384,1.9927572,1,105.558945,,,169.803580574175,-14.354678285697695,69.23139124096913,6.69667243201246,0,5820.6147,5786.0034,5847.8105,0.8812,0.723,0.3936,5149.022,0,False,0.014875412,False,4.121359709810417,True,True,False,True,False
111,443571960204725888,2.1179314,443571960204725888,0.09014528,-0.02386856,52.46130465253701,53.719504806673015,6.437108670985935,0.019942729,322.77972,29.048829392257428,-30.3362212572576,1.0316516,1422.4314,14.656781,264.78195,28223.464542601887,568.0079,1.3598764,0,1,0,0,2.1183138,1.082902,1.0354118,25.404482,6.6944995,2,6.7067404,,,145.1094961955046,-2.188696493998184,64.359629747918,33.570791698626294,0,3742.7878,3690.0952,3754.8953,0.7217,0.4999,0.2831,3770.371,0,False,0.02386856,False,8.700235401250392,False,True,False,True,False
