Unnamed: 0,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G
225,436453584488018048,1.3514338,436453584488018048,0.14505208,-0.010889053,49.16633929295999,49.372137870530196,5.653747263155304,0.015984911,353.69275,23.29400267300117,-24.06745264575768,0.87783295,645.17065,12.864664,180.93498,112054.66306303261,259.99887,1.2523032,0,0,0,0,1.3337288,0.5933857,0.7403431,0.40299633,4.8196707,1,19.722485,nan,nan,145.78682324538977,-6.945849901064958,60.54482739093305,30.023666099015795,0,5122.081,5114.2134,5130.608,0.7905,0.6239,0.3351,4705.274,0,False,0.010889053,False,6.626346030370728
233,223111907374116864,1.2435799,223111907374116864,0.2118136,-0.00039100647,57.25450591699968,37.06097190866352,5.667797669301206,0.012472168,454.43564,21.404079367142145,-23.35630238331828,0.92696923,501.80463,12.453681,146.42429,157143.60041696945,182.66853,1.2428334,0,0,0,0,1.230895,0.53436756,0.6965275,7.629791,4.368592,1,30.319162,nan,nan,157.96369441283713,-13.45375464255145,63.22736606935273,16.615913819797772,0,5191.2075,5184.0874,5196.1426,0.6184,0.4921,0.2627,4928.9385,0,False,0.00039100647,False,6.220752683530032
236,441513124684160000,1.7346926,441513124684160000,0.08724531,-0.026977539,52.197823852125374,49.2743296834236,5.85724072262037,0.016532192,354.29303,18.857052788407657,-21.29850768423162,1.1816674,812.65295,13.265914,211.84067,89932.43763083707,348.44125,1.3087512,0,16,0,16,1.7190638,0.8162546,0.90280914,-1.3877913,7.726901,1,26.813145,nan,nan,147.50250691451683,-5.942463713468332,62.68874867721312,29.35686623372493,0,4657.1953,4627.4463,4703.103,1.3788,1.0384,0.5667,4152.7183,1,True,0.026977539,False,7.104379329110195
237,247971315522875136,1.3270473,247971315522875136,0.14796719,-0.006260872,55.242948964108265,47.04349571110668,5.420048248190644,0.016109036,336.4601,20.748407693399983,-25.666893135732757,0.95937103,735.5395,12.822558,222.72095,115293.74139976842,267.94382,1.2478029,0,1,0,1,1.3122234,0.58304596,0.7291775,-1.2580647,4.2461605,1,25.405605,nan,nan,150.47278759824147,-6.560488907775485,64.23217203221874,26.665450589016714,0,5021.2393,5014.479,5026.253,0.6549,0.5145,0.2741,4752.405,0,False,0.006260872,False,6.492574165808264
262,2165520861380863872,1.2743998,2165520861380863872,0.29111117,0.0046777725,315.7895084952677,48.671046400713195,5.632369599911895,0.016352693,344.4307,10.393785733124405,-0.19634547360000415,1.6055319,632.97174,12.502375,184.80695,151890.28345441405,248.81422,1.2438534,0,0,0,0,1.261694,0.55338955,0.7083044,-27.579205,12.191338,1,24.977621,nan,nan,89.26068504933728,1.3129249202368425,345.3453761702923,60.70760216606523,0,4920.362,4887.743,5062.5806,0.4889,0.3855,0.2075,4860.9277,0,False,0.0046777725,False,6.255830377885367
273,449268392507442176,1.4117832,449268392507442176,0.15478219,-0.024988174,50.95963656153102,56.55784523170818,5.474406337457652,0.018320931,298.80612,21.721984379375794,-23.695604996175813,0.9896426,313.06256,12.907755,89.82721,109504.93526887562,118.76733,1.2514982,0,0,0,0,1.3907881,0.63234425,0.75844383,-9.059671,4.3875895,1,16.908365,nan,nan,142.81193503823246,-0.31359183314948796,64.40461220621852,36.53566283675764,0,5053.783,5041.5684,5062.7305,0.8467,0.6619,0.3528,4596.5293,0,False,0.024988174,False,6.599440046823478
274,2013637937193278976,1.66436,2013637937193278976,0.18174154,-0.015037537,345.7570253656606,59.75812084497398,7.693825787671517,0.013060241,589.1029,30.97849524564458,1.2609897827353955,1.1363559,748.90186,12.928734,194.38931,119211.17042255432,293.17728,1.2928379,0,2,0,1,1.652112,0.78048134,0.87163067,-15.9694395,26.096237,1,27.291433,nan,nan,109.66675124823894,-0.29198924145915456,25.22274341128271,57.34235098920132,0,nan,nan,nan,nan,nan,nan,4235.1973,0,False,0.015037537,False,7.359445567153436
279,2170284942179709824,1.5783625,2170284942179709824,0.068288796,0.0015773773,315.0864628995271,52.31967558233226,6.543973144017955,0.011581897,565.0174,14.101481472745942,5.740565449660624,1.0548254,871.7235,13.023073,224.61562,106202.84653584014,333.12704,1.2833047,0,0,0,1,1.5699749,0.7294569,0.840518,-23.68165,6.0189285,1,22.509232,nan,nan,91.70783537300792,4.058449265583878,349.3829466892926,63.86968274032491,0,4128.0127,4120.032,4156.6084,0.1008,0.0743,0.0399,4344.749,0,False,0.0015773773,False,7.1022807381835005
280,243101715963884928,1.4618235,243101715963884928,0.08348914,-0.0029697418,52.04397514021153,47.42387324291901,5.459784637060427,0.014277741,382.39835,22.040876218135352,-24.10592594586018,1.0204177,461.2959,13.0365925,128.86177,100374.74244732421,166.50601,1.2684813,0,0,0,1,1.4527788,0.6600208,0.792758,-1.0090739,10.26367,1,21.022879,nan,nan,148.47455364079377,-7.524492823052377,61.99194511055152,27.60770051671495,0,4841.8667,4829.57,4854.381,0.8599,0.6653,0.3585,4514.148,0,False,0.0029697418,False,6.7224700443144165
299,241630363247656448,1.176094,241630363247656448,0.25494552,0.008491516,52.24601251102224,44.52763758104855,5.380461794077091,0.042018242,128.05061,22.226041656073498,-24.733487222671343,2.2768185,926.8665,11.51853,272.87982,362536.60440530983,365.57584,1.2378731,0,0,0,0,1.1671448,0.4981308,0.669014,-0.8106481,3.112142,1,56.97938,nan,nan,150.2615953068981,-9.823938813016259,61.26410183952376,24.782545560451375,0,5085.6562,5042.7866,5232.0176,0.4269,0.3416,0.1843,5089.8545,0,False,0.008491516,False,5.172627651352334
