EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,__V-K_0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,Fig,recno,Teff_Mamajek,dr2_source_id,epic_number,tm_name,k2_gaia_ang_dist,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_rv_outlier,flag_fdwarf_outlier,flag_possible_binary,flag_benchmark_period
211096368,56.01474,24.5042,10.71,8.97,1.63,1.4758,,0.0,0.0,0.055,2,best,1.48,1,38.2,1,1,Fig,159,5663.092340971905,68296886313838848,211096368,2MASS J03440353+2430151,0.1782690942403098,0.9138651,68296890611072384,0.082939945,0.0011091232,56.01485828940102,24.50404176791731,7.386998687843288,0.018833453,392.2275,22.07258673357898,-45.87187150601032,1.0499159,1459.0786,10.5296545,404.0424,798489.2404584842,527.1634,1.2078896,0.0,13.0,0.0,13.0,0.90413,0.36669827,0.5374317,4.4041033,1.9032942,1.0,75.80216,60.98329,12.361873,165.744402090798,-23.68127975895572,59.3172488998302,4.612123532874236,0,5793.7812,5787.204,5812.5425,0.3044,0.2543,0.1371,5643.7812,0,False,0.0011091232,False,4.87199461225376,False,False,False,False,False,False,True
211025716,56.04669,23.37933,11.45,9.37,1.97,2.5292,,0.0,0.0,0.048,2,best,2.61,1,14.7,1,1,Fig,166,5256.479057324414,65072435323295872,211025716,2MASS J03441120+2322455,0.1838375047759755,1.0491371,65072435323295872,0.12431893,0.0010118484,56.04683380132059,23.37911934604633,7.58020870179761,0.019846452,381.94275,22.039851021011096,-46.63903879701039,1.00204,988.58466,11.193929,293.25394,458843.85372457147,395.32315,1.2182171,0.0,0.0,0.0,0.0,1.0334635,0.4332676,0.6001959,4.823638,0.8055335,1.0,58.492424,23.505348,16.50203,166.59020405062097,-24.499895732185664,59.09452106495848,3.508970292072832,0,5191.5405,5176.7983,5211.106,0.1396,0.1132,0.0606,5249.3286,0,False,0.0010118484,False,5.592334533528817,False,False,False,False,False,False,True
211101761,56.10948,24.5897,11.46,9.27,2.08,0.8374,,0.0,0.0,0.019,1,best,0.84,1,18.9,1,1,Fig,186,5142.162950109763,68303487680516224,211101761,2MASS J03442627+2435229,0.0273278280725974,1.0840569,68303487680516224,0.079357035,0.024386406,56.109579035829455,24.58950062402356,7.465685925621427,0.019542068,382.03152,19.65581279402085,-46.0475584579759,0.9851145,287.5128,11.282754,83.81104,432257.49284904,112.57829,1.2247481,0.0,0.0,0.0,0.0,1.0796499,0.4554348,0.6242151,3.0461843,1.4955791,1.0,56.19564,73.27816,38.54408,165.75261046103498,-23.560159078858845,59.42062342184098,4.676237066910034,0,5017.3403,4998.736,5036.8325,0.1926,0.1549,0.0835,5156.392,0,False,0.024386406,False,5.64810252246988,False,False,False,False,False,False,True
211087059,58.60518,24.36008,0.0,9.09,1.85,0.6897,,0.0,0.0,0.11,1,best,0.0,0,0.0,1,1,Fig,671,5390.041961072169,66581961710329984,211087059,2MASS J03542523+2421363,0.0380823684173347,0.9789829,66581961710329984,0.15533678,0.007959366,58.60525412078834,24.35988384412902,7.343930547078326,0.01744692,420.9299,18.209856952725627,-45.54060796174583,1.1533413,686.08704,10.85027,188.18037,613019.4983620835,254.0178,1.216582,0.0,0.0,0.0,0.0,0.965456,0.39439583,0.5710602,8.763873,2.6014924,1.0,78.657646,99.37663,9.407027,167.73580392792468,-22.191392604961397,61.59560875553253,3.963296017273942,0,5166.2427,5138.3228,5197.989,0.0322,0.0262,0.0142,5447.9795,0,False,0.007959366,False,5.1799130763445,False,False,False,False,False,False,True
