EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,__V-K_0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,Fig,recno,Teff,dr2_source_id,epic_number,tm_name,k2_gaia_ang_dist,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,flag_bad_gaiamatch,M_G
211033726,57.04577,23.50702,14.1,10.69,3.3,8.1854,7.1054,3.8412,0.0,0.013,1,best,1.15,1,5.0,1,1,Fig,448,4123.232523823702,64989490915460608,211033726,2MASS J03481098+2330253,0.010488130572837087,64989490915460608,0.03642567,-0.02026844,57.04583326091851,23.506811183809983,7.318953310037485,0.019202262,381.15057,19.7071210125859,-44.53956232297974,1.0550884,734.46906,13.712051,179.9289,61097.29982167474,322.19324,1.3106152,0,2,0,1,1.8174419,0.8882313,0.92921066,-6.0418634,6.5191407,2,11.929278,,,167.23824290967661,-23.78809597139429,60.018414176762214,3.432197569617221,0,4095.344,4080.6443,4109.117,0.5165,0.3715,0.2021,False,8.034296274914162
210860152,57.04755,20.77852,0.0,12.24,5.49,0.6299,0.0,0.0,0.0,0.023,1,best,0.0,0,0.0,1,1,Fig,449,2383.4797146762858,63250162302240384,210860152,2MASS J03481141+2046426,0.07842471879737435,63250162302240384,0.4363038,0.041028976,57.04765896590672,20.77829890920676,6.812429779554028,0.16576424,41.097103,20.051943886389225,-44.50019803935406,2.9685612,211.16214,16.384956,74.02833,7922.135232661446,482.6369,1.652655,0,1,0,3,3.1209679,1.7368011,1.3841667,,,,,,,169.29341497370729,-25.779048388625586,59.428790206330675,0.7680550520982987,0,,,,,,,False,10.5514665535276
211063134,57.05547,23.97972,17.81,12.39,5.31,0.8237,0.0,0.0,0.0,0.016,1,best,0.0,0,0.0,1,1,Fig,450,2840.439224667355,66521381194879232,211063134,2MASS J03481330+2358471,0.13935751128902513,66521381194879232,0.04724578,-0.034971237,57.055515054741626,23.97951838435878,7.547372277549449,0.055892754,135.03311,19.656892472424325,-45.83816214998953,1.0021007,1087.4064,16.340902,44.704674,7414.745293737756,369.52905,1.5026007,0,1,0,1,2.9869118,1.7186642,1.2682476,,,,,,,166.89607181247106,-23.4342139003711,60.129772929346096,3.891741386955767,0,3313.735,3286.3901,3317.5613,0.9811,0.6118,0.4189,False,10.729881189948118
211084436,57.05645,24.31842,8.27,7.35,0.81,1.6856,1.7951,1.5963,0.1569,0.004,1,best,0.0,0,0.0,1,1,Fig,451,7055.253828341539,66724451545088128,211084436,2MASS J03481354+2419063,0.05093376300543302,66724451545088128,0.3556315,0.012999535,57.05657664728561,24.3182124280673,7.405014495827893,0.08721392,84.90634,17.894192419007407,-41.115996427217624,3.1896222,3307.5657,8.214289,1912.3545,5551135.199671772,2501.0815,1.1869129,0,0,0,0,0.5012932,0.17394543,0.32734776,,,,,,,166.64770388067166,-23.183841323883488,60.20435544696114,4.2221652047950515,0,6957.6226,6926.8438,7003.613,0.1016,0.0906,0.0488,False,2.5619182766455353
211041474,57.05737,23.63319,17.72,12.11,5.5,1.8306,0.0,0.0,0.0,0.045,1,best,1.83,0,0.0,1,1,Fig,452,2350.8975087428744,64999558318784768,211041474,2MASS J03481377+2337596,0.14668184701374043,64999558318784768,0.006137791,-0.03207493,57.057450573687056,23.632990088333862,7.437404133116667,0.05842575,127.296684,20.121801104173304,-45.97765650888577,1.0796728,1042.0951,15.923727,120.83926,10339.063648231695,653.36096,1.4539033,0,1,0,1,2.796442,1.5844078,1.2120342,,,,,,,167.15337879618374,-23.688097639044667,60.056228254490684,3.553068993188589,0,3409.7832,3405.761,3413.6414,0.9439,0.604,0.393,False,10.280833939473217
211029245,57.06349,23.4349,0.0,12.56,5.16,0.6994,0.0,0.0,0.0,0.027,1,best,0.0,0,0.0,1,1,Fig,453,3076.641698170879,64987876007763968,211029245,2MASS J03481523+2326056,0.09162086146216057,64987876007763968,0.055494837,-0.023860931,57.06355849715922,23.434685520365303,7.353462097116693,0.07306821,100.63833,18.67680196333135,-45.76653225878188,1.0564281,805.0485,16.418585,60.43444,6768.904377565892,272.73093,1.4907392,0,0,0,1,2.8655157,1.6185303,1.2469854,,,,,,,167.30476373661247,-23.830078879430534,60.018656846995846,3.3582624742191176,0,3315.613,3313.042,3319.454,0.9925,0.6265,0.4141,False,10.751044114722449
211045648,57.06362,23.701,17.11,11.78,5.22,0.367,0.3534,0.0,0.0,0.024,1,best,0.0,0,0.0,1,1,Fig,454,2994.6191690327205,65000623470665216,211045648,2MASS J03481526+2342036,0.06124285371597628,65000623471297024,0.16665569,0.003911972,57.06368705742659,23.700793437213964,6.988906661520379,0.15670964,44.59781,20.001070493605926,-45.0483011094945,1.980989,726.5413,15.720036,104.353226,13266.36358093905,358.82028,1.5278376,0,0,0,2,2.9153109,1.6362915,1.2790194,,,,,,,167.10781840736382,-23.634352866115048,60.07653831319962,3.618023096281949,0,3391.7449,3389.8982,3394.2744,1.1313,0.7151,0.4755,False,9.942081755020457
211139647,57.0645,25.24353,0.0,12.99,5.5,0.4809,0.0,0.0,0.0,0.052,1,best,0.0,0,0.0,1,1,Fig,455,2350.8975087428744,66942910762588928,211139647,2MASS J03481548+2514367,0.14887218111139375,66942910762588928,0.030131783,-0.029474258,57.06457646223445,25.243313086602914,6.855480925324777,0.080561504,85.09624,19.155874667958145,-42.056806547832466,0.9985963,895.261,17.047014,43.580784,3893.0429494102486,175.18294,1.5053434,0,4,0,2,3.03438,1.7595387,1.2748413,,,,,,,165.97768914501765,-22.49493921920581,60.412902095299174,5.1236427892749425,0,3279.716,3276.5576,3283.427,1.1542,0.7179,0.4818,False,11.227203870435625
211038622,57.067,23.58762,0.0,12.65,5.77,0.3949,0.6303,0.0,0.0,0.013,1,best,0.0,0,0.0,1,1,Fig,456,1073.1144900581648,64998866827479680,211038622,2MASS J03481608+2335155,0.9674636834918748,64998871124723712,25.082464,0.27485657,57.067052064051175,23.587391619421197,,,,,,,112.51733,17.321537,39.431225,4989.155737198952,237.95995,2.4406059,0,2,0,2,3.2552557,1.4365463,1.8187094,,,,,,,167.19419129636177,-23.7156677061028,60.05493364190328,3.5066475396874774,0,,,,,,,True,
211138217,57.07026,25.21517,9.13,7.86,1.16,6.7219,3.0162,5.9606,0.0,0.003,3,best,0.0,0,22.7,1,1,Fig,457,6390.06100853211,66939852745876736,211138217,2MASS J03481686+2512546,0.037331034873681224,66939848447027584,0.11397345,0.0148944855,57.07039222938601,25.21491968688357,7.358738230374514,0.030612484,240.38358,18.11105149210825,-45.7244672361417,1.2645075,2329.2097,9.118056,242.60112,2779401.5679380577,287.6384,1.2699711,0,31,0,23,0.6590395,0.17900085,0.48003864,9.11767,1.4625108,2,51.45144,,,166.0025517453574,-22.51243974444832,60.4118688845322,5.094784441162456,0,6241.59,6230.768,6262.465,0.0077,0.0067,0.0037,False,3.4520730683356042
