EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,__V-K_0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,Fig,recno,Teff_Mamajek,dr2_source_id,epic_number,tm_name,k2_gaia_ang_dist,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_rv_outlier,flag_fdwarf_outlier,flag_possible_binary,flag_benchmark_period
211095624,55.72962,24.49306,0.0,8.26,1.1,1.4072,nan,0.0,0.0,0.001,1,best,0.0,0,44.2,1,1,Fig,108,6497.391207326393,68310561489710336,211095624,2MASS J03425511+2429350,0.03502292725639893,0.6653547,68310561489710336,0.093503386,0.0075712204,55.729745748660456,24.492868817275667,7.270583160634106,0.021176837,343.32715,21.20960169235345,-45.11720953111689,1.0204512,5161.9443,9.3706045,5103.286,2064612.4808447463,3316.8677,1.191807,0,7,0,5,0.6564312,0.2466259,0.4098053,4.469268,0.53972465,1,113.14181,31.688925,2.8933496,165.54037043875772,-23.861755158287647,59.06105143177821,4.659324046443833,0,6303.033,6287.077,6318.8174,0.0631,0.0546,0.0295,6357.131,0,False,0.0075712204,False,3.6784507463229197,False,False,False,False,False,False,True
210957162,55.77705,22.29707,19.99,13.79,6.09,0.1748,nan,0.0,0.0,0.03,1,best,0.0,0,60.0,1,1,Fig,118,-1915.264077455493,64433924008996224,210957162,2MASS J03430649+2217494,0.09296604813312834,3.5548687,64433924008996224,0.13811995,-0.008974075,55.77717985381962,22.296885504686884,7.3240443819797765,0.19123901,38.297855,21.336419854613755,-45.52372247340733,0.87113947,481.0599,18.143532,12.373063,1535.5986927280783,123.84676,1.5777732,0,2,0,0,3.4810638,2.1197338,1.36133,nan,nan,-1,nan,nan,nan,167.18707489195108,-25.46958674529145,58.609999036107915,2.509531356458939,0,3092.2827,3090.706,3094.3613,1.4341,0.8473,0.6117,nan,0,False,0.008974075,False,12.467286636114695,False,False,False,False,False,False,True
211035702,55.95251,23.53937,13.96,10.56,3.29,9.4558,nan,0.0,0.0,0.025,3,best,9.87,1,4.7,1,1,Fig,149,4130.753362362723,65089473457126784,211035702,2MASS J03434860+2332218,0.04824985280939835,1.7248821,65089473457126784,0.038840882,-0.012927055,55.9526140176657,23.539193471582006,7.241582954749215,0.015352061,471.70102,21.483314424987046,-44.38909546773306,1.0401119,1749.0511,13.418813,415.40915,77247.38402280404,749.4145,1.2947664,0,0,0,0,1.7170792,0.82645226,0.8906269,5.435533,1.9016896,2,14.271837,nan,nan,166.40200079119194,-24.43865285446611,59.045843712323446,3.6842815683667136,0,4301.664,4299.9497,4305.5337,0.6736,0.4945,0.2628,4090.3618,0,False,0.012927055,False,7.717980301933604,False,False,False,False,False,False,True
211113345,56.05798,24.77938,10.79,9.09,1.59,4.0255,nan,0.0,0.0,0.014,3,best,3.93,1,5.7,1,1,Fig,170,5717.080482803327,68322145018429952,211113345,2MASS J03441391+2446457,0.06443434255063471,0.8934126,68322145018429952,0.055550493,0.0028495789,56.05809868574246,24.779195241070113,7.33309960496548,0.016678132,439.6835,20.641313656639063,-45.23559883830963,0.97184104,2832.6213,10.600085,804.7865,742266.1058488981,1306.1766,1.2060764,0,0,0,0,0.88736725,0.358778,0.52858925,5.802042,0.3141639,1,66.76125,5.4321094,5.520634,165.57700834485198,-23.449520747845177,59.417260066153354,4.871585020480506,0,5809.321,5761.774,5838.13,0.2443,0.2042,0.1094,5706.7544,0,False,0.0028495789,False,4.926523178616101,False,False,False,False,False,False,True
211012996,56.09224,23.18194,0.0,13.47,6.79,0.2991,nan,0.0,0.0,0.024,1,best,0.0,0,0.0,1,1,Fig,180,-19981.81035835039,65064837524605312,211012996,2MASS J03442213+2310551,0.1834595802263139,3.3325825,65064837524605312,0.11266755,-0.04036331,56.09235889438332,23.18174556471273,7.164801526717114,0.2213491,32.368786,19.2861726644442,-43.28286236857809,1.0718024,464.80695,18.181866,7.503868,1530.6758563225321,171.2276,1.6160568,0,1,0,0,3.6247978,2.2286186,1.3961792,nan,nan,-1,nan,nan,nan,166.76972381781806,-24.61840797529301,59.09138521428819,3.307239294548556,0,2998.7673,2988.199,3009.8623,1.3715,0.7927,0.6007,nan,0,False,0.04036331,False,12.457886514343233,False,False,False,False,False,False,True
211064526,56.14754,24.00135,14.33,10.65,3.57,9.0574,nan,0.0,0.0,0.008,4,best,0.0,0,0.0,1,1,Fig,196,3927.2605438806395,65244749411766528,211064526,2MASS J03443541+2400048,0.011918891772999249,1.8265715,65244749411766528,0.039625943,-0.01427269,56.14763096345229,24.001134217971668,7.328443682577038,0.018997936,385.74945,21.423837772886003,-45.87308933879669,1.1517475,2070.579,13.679698,458.41608,62987.399919336276,723.72455,1.3101745,0,0,0,1,1.8219137,0.8919773,0.9299364,3.065213,2.2203681,2,10.099991,nan,nan,166.2093873311329,-23.97564124521681,59.323331280955664,4.094887328869581,0,4236.4165,4233.527,4239.3433,0.7997,0.5803,0.3107,3983.6846,0,False,0.01427269,False,8.004756764146219,False,False,False,False,False,False,True
211115638,56.1698,24.81854,9.84,8.52,1.21,1.908,nan,0.0,0.0,0.015,3,best,1.92,1,18.2,1,1,Fig,202,6303.037934788554,69811948914407168,211115638,2MASS J03444075+2449067,0.062397061219713286,0.71434784,69811948914407168,0.22923417,0.002919197,56.169922338576605,24.818333957946873,7.489501972504944,0.021575358,347.13223,20.238677643478304,-45.445803609583365,1.1954098,2025.2495,9.715471,826.22156,1536563.9642951202,1393.4302,1.1924058,0,0,0,0,0.7056837,0.27173138,0.43395233,4.253554,0.6526914,1,82.35278,nan,nan,165.63132528531548,-23.35281715456771,59.52532877992718,4.887146939951958,0,6229.157,6220.9897,6236.9214,0.08,0.0687,0.037,6239.3003,0,False,0.002919197,False,4.08773596515341,False,False,False,False,False,False,True
210967650,56.17425,22.46456,10.76,9.07,1.58,3.9912,nan,0.0,0.0,0.01,3,best,0.0,0,0.0,1,1,Fig,203,5730.798226914674,64770241424108032,210967650,2MASS J03444182+2227524,0.05118677194525828,0.9183645,64770241424108032,0.106923334,0.008615494,56.174349922317965,22.464346002407783,7.552546175586704,0.018995658,397.59332,22.07658515026903,-45.371615655295926,1.1492659,1326.5305,10.5909195,376.83636,759179.715457352,536.56616,1.2095926,0,0,0,0,0.91566277,0.37177753,0.54388523,5.970043,0.36075333,1,61.167324,nan,nan,167.36299552741485,-25.098621322247123,59.005722390423706,2.590961064246186,0,5800.079,5789.1396,5808.632,0.299,0.2491,0.1332,5629.995,0,False,0.008615494,False,4.981386440582705,False,False,False,False,False,False,True
211091768,56.23498,24.43262,10.42,8.87,1.44,2.7793,nan,0.0,0.0,0.02,1,best,2.85,1,18.3,1,1,Fig,212,5932.366475720077,65295425728422528,211091768,2MASS J03445639+2425574,0.07438195316892757,0.8384485,65295430026352512,0.062918484,0.0011978149,56.23507805711012,24.432404748893706,7.3971054023640885,0.023178987,319.1298,19.698151724297123,-46.135081435179735,1.1424334,1519.9238,10.2749605,436.02805,975624.7370199598,659.86884,1.2016412,0,0,0,0,0.8318968,0.33162498,0.5002718,3.6667042,0.5311477,1,71.261505,20.09935,2.7858112,165.95971770665986,-23.6012592992335,59.497305664196816,4.49769928076262,0,5796.2915,5773.873,5816.057,0.1382,0.1161,0.0626,5877.0396,0,False,0.0011978149,False,4.620269553219911,False,False,False,False,False,False,True
211023213,56.54187,23.34001,10.16,8.69,1.36,2.8527,nan,0.0,0.0,0.02,1,best,2.85,1,18.2,1,1,Fig,287,6055.697821118929,64971177174850304,211023213,2MASS J03461005+2320240,0.021453561420432598,0.80635834,64971177174850304,0.109881714,0.0031061172,56.54194518314664,23.339791180056473,8.18592379280657,0.018085033,452.63528,21.08201982986673,-49.85086216733037,1.0064452,1112.6201,9.99517,307.49384,1240391.333180395,451.02396,1.19846,0,0,0,0,0.7957506,0.31457996,0.48117065,5.820593,0.42567685,1,88.78264,20.979382,2.758343,166.98884192935054,-24.223722396919136,59.52988552815944,3.3701036465751666,0,5771.8857,5763.916,5786.9946,0.0063,0.0053,0.0029,5975.517,0,False,0.0031061172,False,4.560508125816259,False,False,False,False,False,False,True
