EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,__V-K_0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,Fig,recno,Teff,dr2_source_id,epic_number,tm_name,k2_gaia_ang_dist,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,flag_bad_gaiamatch,M_G
211121734,56.33691,24.92207,9.0,7.84,1.05,7.0681,0.0,0.0,0.0,0.002,3,best,0.0,0,80.0,1,1,Fig,237,6589.159142287774,69819404977607168,211121734,2MASS J03452085+2455194,0.025214251042115197,69819404977607168,0.12748419,0.0076141357,56.33701983849263,24.921874441485695,7.31021390474316,0.03550833,205.8732,20.356301638083206,-44.16034359248281,2.073626,3883.7263,8.900821,2732.131,3126529.188748127,2911.3777,1.1899511,0,0,0,0,0.6205778,0.22999668,0.39058113,10.631913,12.048621,1,113.51032,nan,nan,165.67947902669383,-23.17464148886341,59.696750607372906,4.954484933287592,0,6572.9844,6566.417,6579.1436,0.1348,0.1178,0.0636,False,3.220471157460345
210996505,56.65998,22.9198,9.42,8.15,1.16,6.839,0.0,0.0,0.0,0.01,3,best,0.0,0,40.0,1,1,Fig,325,6390.06100853211,64808204638390912,210996505,2MASS J03463839+2255112,0.02009504582857409,64808204638390912,0.19045712,0.006524086,56.66006365313638,22.919584206915975,7.1525685788631295,0.020364206,351.23236,19.92415292387568,-43.54934665259477,1.0373341,3977.2288,9.306278,1955.936,2188888.947086502,1793.6055,1.1903518,0,0,0,0,0.6573868,0.24844456,0.40894222,6.324677,0.4442196,1,122.25297,35.80304,1.997541,167.38825795598316,-24.460247105910693,59.54373672754428,2.936304509820767,0,6319.251,6304.258,6336.52,0.0709,0.0613,0.0331,False,3.578588381334349
211072160,56.819,24.12834,8.69,7.48,1.1,7.5994,8.899,0.0,0.0,0.002,3,best,0.0,0,0.0,1,1,Fig,383,6497.391207326393,66715174415764736,211072160,2MASS J03471656+2407420,0.2023629459278714,66715174415764736,20.137367,0.022514343,56.81909229562351,24.128155937015563,nan,nan,nan,nan,nan,nan,572.7635,8.624058,2018.4954,4131375.4047024064,2040.3589,1.2095731,0,0,0,0,0.6369848,0.22058582,0.416399,nan,nan,-1,nan,nan,nan,166.61306674282696,-23.47022296025362,59.950951722664755,4.083783806563108,0,nan,nan,nan,nan,nan,nan,True,nan
211138217,57.07026,25.21517,9.13,7.86,1.16,6.7219,3.0162,5.9606,0.0,0.003,3,best,0.0,0,22.7,1,1,Fig,457,6390.06100853211,66939852745876736,211138217,2MASS J03481686+2512546,0.037331034873681224,66939848447027584,0.11397345,0.0148944855,57.07039222938601,25.21491968688357,7.358738230374514,0.030612484,240.38358,18.11105149210825,-45.7244672361417,1.2645075,2329.2097,9.118056,242.60112,2779401.5679380577,287.6384,1.2699711,0,31,0,23,0.6590395,0.17900085,0.48003864,9.11767,1.4625108,2,51.45144,nan,nan,166.0025517453574,-22.51243974444832,60.4118688845322,5.094784441162456,0,6241.59,6230.768,6262.465,0.0077,0.0067,0.0037,False,3.4520730683356042
