TIC,GAIAEDR3_ID,GAIAEDR3_RA,GAIAEDR3_DEC,GAIAEDR3_RUWE,GAIAEDR3_G,GAIAEDR3_G_ERR,GAIAEDR3_G_CORRECTED,GAIAEDR3_BP,GAIAEDR3_BP_ERR,GAIAEDR3_RP,GAIAEDR3_RP_ERR,TMASS_ID,TMASS_J,TMASS_J_ERR,TMASS_H,TMASS_H_ERR,TMASS_K,TMASS_K_ERR,HDBscan_MemProb,HDBscan_Cluster,HDBscan_Stability,MemBool,angDist_GES,GES_Target,GES_Cluster,GES_MemProb,angDist_Cantat-Gaudin,CG_MemProb,CG_Cluster,av,av_err,dist,dist_err,log(Age),log(Age)_err,Mass,Mass_err,log(Teff),log(Teff)_err,Prot1,Pw1,Q1,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,LitPeriod,LitSource,Cluster,to_plot
130797034,5538547421274143488,117.078,-38.378,0.933,11.267,0.001,11.267,11.643,0.004,10.704,0.003,3385193991783000064.000,10.034,0.025,9.589,0.055,9.501,0.051,0.756017663953007,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.00132,1.0,NGC_2451A,0.23819669008451666,0.06332091448431419,190.690260012676,0.6489405996031065,8.363210491866312,0.4839515033555855,1.1023633010276765,0.02126191009525128,3.7746996946546347,0.005917803834493033,2.21,0.779,0.0,0.029,-9999.00,-9999.000,4.0,n,m,y,,,NGC_2451A,1
130797037,5538547416973564672,117.077,-38.377,0.878,11.153,0.001,11.153,11.466,0.003,10.666,0.002,3385193991783000064.000,10.103,0.070,9.793,0.027,9.732,0.025,0.8125687948736968,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.001275,1.0,NGC_2451A,0.07806280557354954,0.06628826446619494,194.18497356963076,0.587994316373425,8.273304740701395,0.4541659386156027,1.0503636176894506,0.024618291104803125,3.7870768317493195,0.007594913033111246,2.21,0.776,0.0,0.029,-9999.00,-9999.000,4.0,n,m,y,,,NGC_2451A,1
130797038,5538547283835168000,117.042,-38.377,0.918,13.146,0.002,13.146,13.780,0.008,12.377,0.005,3385193991783000064.000,11.444,0.023,10.859,0.025,10.680,0.025,0.9018842854485535,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.000216,1.0,NGC_2451A,0.12539077936793586,0.08736333007129451,191.6462824508456,0.38523723401777293,8.370221322723275,0.3508455566501676,0.73245205333399,0.013123180302088063,3.6789700525024323,0.0074045567596040425,0.63,0.648,0.0,0.025,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
130798010,5538767422373077632,117.089,-37.974,1.003,17.417,0.001,17.417,19.304,0.022,16.118,0.003,3403190798106475008.000,14.203,0.033,13.575,0.039,13.323,0.045,0.8974408133654698,0.0,0.4583971675832264,1.0,0.114324,07482134-3758270,NGC2451a,0.9997,0.002986,1.0,NGC_2451A,0.25860586946295006,0.06053836373704471,193.23319973094476,2.6615938348961623,8.22099752467676,0.4772061916984066,0.26918182511274136,0.05343058216770417,3.5457944109415416,0.0030752638989510585,,,9.0,,,,,,,y,,,NGC_2451A,1
130799014,5538840853439799808,116.990,-37.574,2.531,13.985,0.001,13.985,15.005,0.005,12.968,0.003,3439202002939342336.000,11.569,0.026,10.877,0.025,10.687,0.025,0.353490765230191,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,1e+20,1e+20,N/A,0.27684230392621867,0.054220718193427976,194.01029986635632,1.1207036166844557,8.521292391977525,0.4006778693793845,0.7395577273456495,0.0109494902131704,3.6337520932196488,0.005569033495333108,0.41,0.672,0.0,0.028,-9999.00,-9999.000,4.0,n,m,y,,,NGC_2451A,1
130872242,5539273889222600192,117.136,-36.860,0.975,17.276,0.001,17.276,19.125,0.021,15.997,0.002,3457163624890783744.000,14.112,0.033,13.538,0.034,13.235,0.045,0.5171232092013015,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.000285,1.0,NGC_2451A,0.24565107521542923,0.06861971910630377,195.4847874256933,2.321409399277872,8.304492442217825,0.47516978365693374,0.28902409608399626,0.05230043895470625,3.5477320564555743,0.002811571164351624,,,9.0,,,,,,,y,,,NGC_2451A,1
130875383,5538762959910902272,117.144,-38.094,1.058,15.078,0.002,15.078,16.285,0.010,13.988,0.005,3403190798106466304.000,12.496,0.023,11.867,0.025,11.657,0.025,0.9649444933028136,0.0,0.4583971675832264,1.0,0.02112,07483457-3805398,NGC2451a,0.9993,0.000436,1.0,NGC_2451A,0.06791202548723538,0.07446387847844337,195.2754584975198,0.8473081884298355,8.36714072590317,0.3217017971050229,0.5373249904651867,0.014512172362799544,3.590917634315467,0.004452178149532384,-9999.00,-9999.000,2.0,0.030,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
130876041,5538570236129122688,117.148,-38.354,1.495,16.859,0.001,16.833,18.026,0.014,15.014,0.012,3385176399596955648.000,13.107,0.027,12.522,0.028,12.274,0.032,0.5463408440231636,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.864243,1.0,NGC_2451A,0.25818879996845223,0.06612154558397883,203.5361397654275,3.7701330408149927,7.461346643001024,0.324150409987195,0.3034128607084421,0.0935143556631023,3.5349264323970653,0.006358548755290639,,,9.0,,,,,,,y,,,NGC_2451A,1
130876326,5538542404752464128,117.206,-38.461,0.998,16.962,0.001,16.962,18.715,0.018,15.707,0.003,3385193991782976000.000,13.883,0.024,13.328,0.040,13.055,0.040,0.577211532786966,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.002162,0.9,NGC_2451A,0.18258641298199632,0.08160088433684039,189.11733293482573,1.9086939805878225,8.332682274854786,0.43606080312697704,0.31521513241296484,0.04717101466130034,3.5497512112308898,0.002535450035099396,-9999.00,-9999.000,2.0,0.035,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
130877268,5538516699365851008,117.154,-38.841,1.014,16.173,0.001,16.173,17.660,0.011,14.969,0.002,3367197185459476992.000,13.332,0.029,12.732,0.027,12.485,0.029,0.7946323192768004,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.000715,1.0,NGC_2451A,0.0940983763501076,0.07615756949464117,198.3874079933641,1.3188934536787404,8.394094676112271,0.31108816987633026,0.42952773397072885,0.012513011062194709,3.5585059672781267,0.002285204205209055,-9999.00,-9999.000,2.0,0.036,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
