NGTS_ID,Gaia_ID,RA,Dec,NGTS_mag,G_mag,BP_mag,RP_mag,Ks_mag,GmK,SpT,mult,amp_data,amp_GP,P_GP,P_GPue,P_GPle,P_LS,P_GACF,method,Prot,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
7039,2332907487931865728,00:01:13.985,-29:25:18.092,11.88,12.22,12.61,11.68,10.65,1.58,G7,--,19.88,20.09,5.61339,0.039,0.04007,5.63995,5.5956,GP,5.61339,2332907487931865728,0.9299999999999997,2332907487931865728,0.20605144,-0.0052251816,0.3084142976671878,-29.42170544200764,4.257129497978449,0.0134450765,316.6311,18.604257150100825,2.4761958842215828,0.9819478,1415.4382,12.219722,519.6872,169011.28498315855,682.86127,1.2061316,0,0,0,0,0.91763973,0.37602425,0.5416155,5.4635963,2.0245264,1,24.67197,12.49666,15.984784,18.27394132294463,-78.71727502977264,347.62544790782164,-26.90826218069198,0,5506.017,5483.6074,5548.181,0.1116,0.0922,0.0492,5483.507965341511,0,False,0.0052251816,False,5.3653061002197155,False,False,False,False,True
7061,2320990980909779968,00:03:19.769,-29:25:28.603,12.21,12.61,13.05,12.03,10.9,1.72,G9,--,19.67,19.3,6.38669,0.02152,0.02022,6.38676,6.41,GP,6.38669,2320990980909779968,1.0200000000000014,2320990980909779968,0.17478947,-0.009457588,0.8326004809668447,-29.42463694111762,4.18410208100983,0.012880601,324.8375,18.28228795278813,2.648655684290565,1.0120809,3251.962,12.601817,1024.6287,123152.45658649362,1364.2649,1.2129353,0,0,0,0,0.9951916,0.4151621,0.5800295,6.250259,0.9073269,1,23.378607,nan,nan,17.88595603277441,-79.1677560607131,348.0825463839173,-27.11472636424864,0,5260.5503,5245.658,5269.4355,0.0871,0.0709,0.0377,5228.206520661572,0,False,0.009457588,False,5.709828489160827,False,False,False,False,True
7217,2320978512620414080,00:04:00.799,-29:26:46.156,11.99,12.38,12.8,11.82,10.71,1.67,G9,--,30.34,27.61,5.63879,0.0183,0.01672,5.62827,5.6187,GP,5.63879,2320978512620414080,0.9800000000000004,2320978512620414080,0.19321148,-0.006890297,1.0035761191477908,-29.446180595573175,4.137607572100607,0.017584633,235.29678,18.29651166415331,2.6769044499871377,1.2636381,1253.5747,12.372774,389.1302,149524.79954731688,573.9013,1.2091508,0,0,0,0,0.95884323,0.3971815,0.5616617,4.076031,1.2990091,1,28.01031,nan,nan,17.64060405051157,-79.31106804549208,348.22142684343476,-27.20055907210453,0,5408.1436,5402.4995,5414.3374,0.1242,0.102,0.0545,5338.645753756125,0,False,0.006890297,False,5.4565206140914455,True,False,False,False,True
8116,2320927007372603648,00:04:58.600,-29:33:47.594,11.1,11.41,11.73,10.95,10.09,1.31,G0,--,22.13,18.41,2.89051,0.01685,0.0163,2.8441,2.8927,GP,2.89051,2320927007372603648,0.7800000000000011,2320927007372603648,0.16425872,0.0017995834,1.2444248935024886,-29.56325704781739,4.253150898989634,0.021945737,193.80305,19.074423037856995,2.4141356511783454,1.1335871,1502.526,11.408843,518.69916,333894.6000594145,720.6663,1.1989311,0,0,0,0,0.77024174,0.30027103,0.4699707,5.5373244,0.70829904,1,48.304543,21.806385,16.484995,16.81348327453148,-79.49684919951115,348.37340670033433,-27.399068446968013,0,5810.6987,5807.06,5816.2197,0.0042,0.0035,0.0019,5943.248499183059,0,False,0.0017995834,False,4.5523969978125205,False,False,False,False,True
8299,2320927484113278976,00:04:39.506,-29:35:19.728,12.77,13.18,13.7,12.52,11.13,2.05,K3,--,26.3,27.29,7.45707,0.07862,0.07603,7.61707,7.5433,GP,7.45707,2320927484113278976,1.1799999999999997,2320927484113278976,0.048489723,-0.0060653687,1.1648596014699664,-29.58886130546533,4.188339487241511,0.014205342,294.84256,18.76530151832458,2.5250203573456673,1.0254786,1116.8679,13.171707,301.989,78482.22527397038,384.0087,1.2289059,0,0,0,0,1.1661196,0.5053797,0.6607399,7.105873,3.1456676,2,13.712944,nan,nan,16.74549354246672,-79.42412171409794,348.2908067783132,-27.390965277693347,0,5006.4307,4995.3423,5015.052,0.1794,0.1419,0.0749,4842.715610961066,0,False,0.0060653687,False,6.281916534901862,False,False,False,False,True
8749,2320916768170630912,00:05:59.016,-29:39:04.517,11.19,11.52,11.85,11.06,10.19,1.33,G1,--,27.39,25.26,3.07041,0.00818,0.00804,3.0729,3.0751,GP,3.07041,2320916768170630912,0.7899999999999991,2320916768170630912,0.23452856,0.0016460419,1.4961322347570758,-29.651304471874884,4.181159725689219,0.015067544,277.49445,19.032266969354225,2.663394723352688,0.8691518,1440.4117,11.521336,416.61496,301832.6252909939,574.94006,1.1961607,0,0,0,0,0.7820406,0.30918503,0.47285557,5.6645193,1.4324117,1,41.67177,23.559753,4.4928865,16.103676530479284,-79.69487657025974,348.54943236316365,-27.575873883516113,0,5753.8687,5752.337,5755.84,0.0007,0.0006,0.0003,5912.551598265498,0,False,0.0016460419,False,4.627819394187339,False,False,False,False,True
9188,2320886222363524992,00:02:11.661,-29:41:39.217,11.39,11.73,12.07,11.24,10.33,1.4,G2,--,19.92,18.68,3.90646,0.02472,0.02295,3.88382,nan,GP,3.90646,2320886222363524992,0.8300000000000001,2320886222363524992,0.19695197,-0.0061454773,0.5487799739691944,-29.694281398352945,4.261785536256554,0.017383395,245.16417,18.8978766747789,2.488696263972839,1.1362586,1346.6154,11.722657,402.31693,255097.2500548898,574.8915,1.1998738,0,22,0,22,0.81589127,0.32436466,0.4915266,5.151853,1.0076084,1,38.35204,11.339164,30.170504,16.712176292675302,-78.8784224818344,347.698777824972,-27.245531160245324,0,5750.12,5743.697,5758.3843,0.0229,0.0191,0.0103,5788.77395598725,0,False,0.0061454773,False,4.870615159373495,False,False,False,False,True
9539,2320829975471863168,00:04:21.686,-29:45:29.810,13.03,13.5,14.09,12.8,11.35,2.16,K3,--,18.07,16.47,8.3348,0.05205,0.05229,8.32707,8.3763,GP,8.3348,2320829975471863168,1.2899999999999991,2320829975471863168,0.07793725,-0.013346672,1.090614534376695,-29.75833830041943,4.247773199777036,0.015277776,278.0361,19.15494787197062,2.7636415085842625,0.974738,2616.7576,13.489881,576.3332,60911.67130170232,1006.92334,1.2374717,0,0,0,1,1.2645998,0.5608635,0.7037363,1.9094957,2.3762293,2,13.317043,nan,nan,15.909930380052824,-79.32843764241109,348.14022986921634,-27.5135588293822,0,4686.523,4675.7065,4722.9146,0.0443,0.0343,0.018,4629.3582181365655,0,False,0.013346672,False,6.630687164442826,False,False,False,False,True
9731,2320908178235983360,00:05:17.520,-29:46:57.099,12.78,13.22,13.75,12.55,11.14,2.08,K3,--,49.02,47.05,7.44654,0.06765,0.0659,7.64343,7.6276,GP,7.44654,2320908178235983360,1.1999999999999993,2320908178235983360,0.0705986,-0.009012222,1.3232460421113306,-29.782582867935975,4.264059680975015,0.013715957,310.88312,19.25458985717049,2.2837556304601505,1.0489103,895.85016,13.210235,243.51949,76351.04477127634,326.11893,1.2309037,0,1,0,1,1.1847696,0.51539326,0.6693764,6.661252,1.8562326,2,15.774769,nan,nan,15.558725467195282,-79.52133430053954,348.3315446016972,-27.62581834556711,0,4786.283,4774.602,4799.3257,0.0991,0.078,0.0413,4800.962651894803,0,False,0.009012222,False,6.359351014870844,False,False,False,False,True
9739,2320873749778503552,00:02:48.191,-29:46:34.564,13.15,13.47,14.03,12.77,11.32,2.15,K3,--,50.2,37.08,7.78248,0.07446,0.04813,7.73373,7.938,GP,7.78248,2320873749778503552,1.2599999999999998,2320873749778503552,0.070050284,-0.009625435,0.7010370432150338,-29.776333936403493,4.174000087400653,0.015796468,264.2363,18.46534751176149,2.502188957003658,1.0043402,844.00775,13.456072,180.59406,62441.781737591395,311.71066,1.238659,0,0,0,0,1.2421169,0.5452528,0.6968641,5.644338,1.6971248,2,15.903893,nan,nan,16.16466342129141,-78.9931914760253,347.790492322528,-27.37808714707424,0,4698.481,4686.9653,4711.727,0.1011,0.0789,0.0416,4683.724683670187,0,False,0.009625435,False,6.558834122753989,False,False,False,False,True
