Seq,f_Seq,Source,RA_ICRS,DE_ICRS,GBP-GRP,Teff,Gmag,gmag_lc,Prot,Note,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
23,n,5129126330877050240,02 46 34.6,-18 54 17.5,0.766,5926,9.784,4.52,3.0,Conv.,5129126330877050240,0.766,5129126330877050240,0.046301886,0.0056447983,41.64412384615592,-18.90485093201562,8.952541414117913,0.016379928,546.5556,1.546814787199506,1.9083819096754424,0.7971199,1553.6924,9.789939,439.02475,1470685.5332533806,372.76245,1.1951611,0,0,0,0,0.7578373,0.2969942,0.4608431,21.399416,0.56870705,1,112.746254,22.041002,2.4201376,201.78895405005068,-62.335226347427295,32.356214040411906,-33.183854981328714,0,5842.548,5839.915,5847.191,0.0018,0.0015,0.0008,5946.72213882182,0,False,0.0056447983,False,4.549670620288936,False,False,False,False,True
25,n,2493286445846897664,02 15 46.4,-02 36 32.5,0.821,5761,9.916,4.813,3.84,Conv.,2493286445846897664,0.821,2493286450142650496,0.040756177,0.0009469986,33.943359719264194,-2.6090195858235368,9.547601684028084,0.019114604,499.4925,5.678987823768635,-12.681404905854558,0.9237072,1655.7124,9.917255,526.433,1340292.0821458935,780.2822,1.198581,0,0,0,0,0.80921555,0.32185745,0.4873581,21.625267,0.4941213,1,93.79995,13.990818,2.4573357,165.99603884861122,-58.2446786928387,30.78150156696068,-15.2862657999749,0,5836.3193,5819.912,5846.2603,0.0963,0.0811,0.0435,5776.785120874258,0,False,0.0009469986,False,4.816726863613248,False,False,False,False,True
27,n,2513568007268649728,02 14 47.2,+02 14 20.4,0.865,5617,10.473,5.025,4.3,Conv.,2513568007268649728,0.865,2513568007268649728,0.06656208,-0.004552841,33.696690556080625,2.2389856889573827,8.27294266507171,0.015832465,522.5303,6.337582396440373,-12.791765254031313,0.919182,921.9274,10.468627,230.16328,824938.4769106875,295.55273,1.2001963,0,0,0,0,0.86094284,0.34915733,0.5117855,19.783913,0.83029157,1,53.57224,17.495392,3.5414364,160.58881383231548,-54.422473670275,32.23147538421572,-10.642062360136725,0,5732.6714,5724.4883,5741.919,0.1066,0.0891,0.0476,5640.915259783288,0,False,0.004552841,False,5.056927048496631,False,False,False,False,True
28,n,5179904664065847040,03 09 03.7,-07 03 55.8,0.873,5621,10.382,4.979,4.78,Conv.,5179904664065847040,0.873,5179904664065847040,0.14268337,0.006562233,47.265259316966,-7.065502005680937,8.378938890269094,0.021412283,391.3146,-5.544782871453964,-8.369541896959063,1.6511863,831.42224,10.388142,307.92593,892961.0615442548,426.23712,1.2024492,0,0,0,0,0.86896133,0.35163403,0.5173273,21.273405,0.5693847,1,77.79622,9.981847,6.369239,187.73107417312647,-51.70238843171634,42.62661430733088,-23.753577377746268,0,5468.42,5462.371,5479.3613,0.0058,0.0048,0.0026,5616.438250888016,0,False,0.006562233,False,5.0040867471409864,True,False,False,False,True
29,n,5168681021169216896,03 29 30.3,-07 10 13.8,0.895,5478,10.827,5.204,5.32,Conv.,5168681021169216896,0.895,5168681021169216896,0.024160532,0.0009021759,52.376339300594594,-7.170512827016007,7.474563382740645,0.018118104,412.54666,-3.3699410067432636,-6.089146489315931,1.4877039,1769.8567,10.82747,533.1958,599949.3262937722,779.2173,1.2034955,0,1,0,0,0.8841238,0.35926342,0.5248604,20.634836,0.51906025,1,57.628002,14.180995,10.555318,192.28261053166824,-47.57130646849765,47.94277065307966,-25.28447757224065,0,5687.7627,5671.546,5698.067,0.0963,0.08,0.0427,5549.681259951723,0,False,0.0009021759,False,5.195398970590139,True,False,False,False,True
30,n,3253302456727341696,04 07 34.7,-02 04 33.2,0.901,5519,10.982,5.112,4.83,Conv.,3253302456727341696,0.901,3253302456727341696,0.07595898,0.0027484894,61.89449181555941,-2.0758851288864353,6.781476336400328,0.01713472,395.774,-6.610561728538623,-6.448013290300931,1.1815176,1955.8291,10.984553,661.8534,519658.3978439696,949.42975,1.2016664,0,18,0,17,0.8904743,0.36452198,0.52595234,19.64707,0.41832694,1,69.82311,12.814476,4.478502,193.48020699533612,-36.84185619060645,59.34619528172658,-22.573953319656244,0,5536.4854,5517.4062,5545.535,0.0676,0.0559,0.0298,5531.637060287645,0,False,0.0027484894,False,5.1411745903232084,False,False,False,False,True
31,n,3176016268285396864,04 21 35.2,-14 01 29.9,0.902,5455,11.335,5.263,5.11,Conv.,3176016268285396864,0.902,3176016268285396864,0.123293616,-0.0033779144,65.39683324012059,-14.024984360317752,6.098856965897951,0.023508195,259.43536,-8.09096740302318,-2.108461242348983,0.86738837,2465.7012,11.331843,852.5503,377257.91091819375,1188.9066,1.2021676,0,0,0,0,0.8884773,0.36293316,0.52554417,21.906609,0.61000115,1,47.06779,11.126073,5.790565,208.96540865809095,-39.471802523388746,60.46537385269075,-34.975781021207276,0,5562.9395,5549.491,5582.173,0.0822,0.0682,0.0364,5528.6371141463715,0,False,0.0033779144,False,5.258085616854007,False,False,False,False,True
32,n,2531732317316926336,01 15 31.7,-02 50 46.4,0.903,5567,10.841,5.21,4.87,Conv.,2531732317316926336,0.903,2531732317316926336,0.039729122,0.002491951,18.882289918197667,-2.8462337099516613,7.46037184255304,0.019842599,375.97757,13.024161758689115,-6.716062810798566,1.0189586,2434.8223,10.843671,925.8674,594087.8765899804,943.068,1.2048182,0,1,0,0,0.8941984,0.36379623,0.5304022,15.113013,0.50228167,1,58.75493,7.5093513,8.138554,137.31283748885522,-65.0431628259483,16.325663109927866,-10.02803935839479,0,5621.8267,5612.7666,5632.67,0.1341,0.1112,0.0593,5525.639337291178,0,False,0.002491951,False,5.2074732164060435,False,False,False,False,True
33,n,2495781619982992640,02 45 01.2,-02 25 46.3,0.921,5782,10.78,5.304,5.0,Conv.,2495781619982992640,0.921,2495781619982992640,0.111614354,0.00031471252,41.25516127257816,-2.429528328506016,8.09153564260306,0.01501177,539.01276,2.343654601925985,-9.087631253410073,0.960339,1196.9669,10.780679,288.9313,634460.9587483068,414.09488,1.2050931,0,0,0,0,0.9132118,0.37441635,0.5387955,18.078533,0.9343103,1,42.288776,nan,nan,175.54946431520153,-53.276869948280584,38.036331580946886,-17.51505702950755,0,5529.833,5516.177,5549.613,0.1089,0.0901,0.048,5472.070290186314,0,False,0.00031471252,False,5.320833506601495,False,False,False,False,True
34,n,2968825259219765120,05 29 28.5,-19 17 58.8,0.924,5635,12.032,5.264,5.21,Conv.,2968825259219765120,0.924,2968825259219765120,0.21305938,-0.0072422028,82.36886533518263,-19.299652010066815,4.430458116758583,0.010816807,409.5902,-9.886313443413917,-0.11179407433181833,0.95242906,1930.148,12.024609,603.8439,201373.56735940184,860.2542,1.2056376,0,0,0,1,0.9072008,0.3704815,0.5367193,20.00189,0.80743974,1,39.75957,11.643452,7.8469424,222.1514283862601,-26.406870673403333,80.2157273520633,-42.48009108937159,0,5534.0938,5525.16,5539.431,0.0992,0.0821,0.0438,5463.218000890123,0,False,0.0072422028,False,5.256851788654103,False,False,False,False,True
35,a,4844691297067063424,04 11 51.9,-37 56 23.0,0.927,5530,10.75,5.28,5.02,Conv.,4844691297067063424,0.927,4844691297067063424,0.1404863,0.0062942505,62.966383049912935,-37.93972822497289,8.099278403924245,0.010753243,753.19403,-11.060773286516675,12.346551282402876,0.9487417,1747.9316,10.75605,505.64597,651221.0829782215,710.22363,1.2071145,0,0,0,0,0.91758156,0.37510586,0.5424757,19.784569,0.3739142,1,72.087776,9.757287,4.2757936,240.54806503496462,-46.9299781436094,48.13208508580874,-57.51495162413464,0,5591.4077,5587.7256,5595.4395,0.152,0.1257,0.067,5454.388539844307,0,False,0.0062942505,False,5.298281747988753,False,False,False,False,True
36,n,2496200774431287424,02 30 58.8,-03 03 04.9,0.928,5448,10.415,5.328,5.45,Conv.,2496200774431287424,0.928,2496200774431287424,0.051361598,-0.0041151047,37.74513526963982,-3.051369940587762,9.673030701717968,0.022457324,430.72946,2.581031698159328,-13.577089066958555,1.4122934,1653.3954,10.411007,468.74823,892470.8897037681,779.93726,1.2039659,0,0,0,0,0.91748047,0.3778839,0.53959656,22.074924,0.3743355,1,76.43766,7.767814,3.795412,171.9009516157269,-56.14808774671066,34.350682157420415,-16.9773025001454,0,5586.5938,5572.216,5606.053,0.0837,0.069,0.0367,5451.450529641993,0,False,0.0041151047,False,5.338819758513239,True,False,False,False,True
37,n,4980826504625538048,00 38 12.2,-43 00 24.8,0.935,5580,10.317,5.401,5.24,Conv.,4980826504625538048,0.935,4980826504625538048,0.10828405,0.0040102005,9.550969876372525,-43.00689401656678,10.384198176399217,0.01579661,657.3688,21.49966106792103,15.396340547789015,0.9228543,2220.8494,10.3211565,772.15173,976651.3680106428,1116.6252,1.2086934,0,0,0,0,0.9263382,0.3787279,0.5476103,17.486528,0.28546456,1,111.08695,7.8672357,3.820355,311.6832784038539,-73.8957539743623,347.49072284623406,-42.38172897493051,0,5482.075,5476.8325,5494.314,0.1039,0.0857,0.0456,5430.957973134208,0,False,0.0040102005,False,5.403021340738388,False,False,False,False,True
38,n,4842810376267950464,03 47 56.3,-41 56 24.9,0.936,5355,10.762,5.383,5.7,Conv.,4842810376267950464,0.936,4842810376269515776,0.07656158,0.002281189,56.98454242473844,-41.94025449873313,8.419417970258827,0.011146124,755.3673,-7.776659111724344,15.4217676350252,0.9568498,2223.7817,10.764597,613.4404,647105.9631209113,868.286,1.2053683,0,0,0,0,0.9252062,0.38106632,0.54413986,18.489695,0.2758293,1,77.17278,7.9821157,6.235834,247.08683960568177,-51.25736033855484,37.08947618412071,-59.46390360458424,0,5530.282,5520.8726,5537.607,0.1326,0.1095,0.0583,5428.041138726756,0,False,0.002281189,False,5.391007289078216,False,False,False,False,True
41,n,3193528950192619648,03 57 04.0,-10 14 00.9,0.994,5270,11.297,5.534,5.54,Conv.,3193528950192619648,0.994,3193528950192619648,0.16572537,0.0007276535,59.266534693264155,-10.233593902578683,7.158819681758626,0.021114564,339.04654,-5.741876200323976,-1.6871280075891386,0.9590839,1679.6409,11.298187,682.2411,405317.5103880358,879.31976,1.2106193,0,0,0,0,0.97526264,0.4054823,0.56978035,21.359978,0.802863,1,46.02698,13.994505,9.927285,200.94734416590856,-43.229484126204305,54.51341330113312,-29.965145125831537,0,5396.414,5391.2676,5400.5986,0.1302,0.1065,0.0565,5263.893642931597,0,False,0.0007276535,False,5.572394373016662,False,False,False,False,True
42,n,3187547465200970368,04 46 12.3,-07 32 24.4,0.997,5425,11.733,5.519,5.43,Conv.,3187547465200970368,0.997,3187547465200970368,0.15099949,-0.0006828308,71.55124404584733,-7.5400989150035445,5.734627911148953,0.0205013,279.7202,-9.778538931225047,-4.616021430127716,1.4211043,1208.6031,11.732746,502.25348,273947.97138677933,678.04395,1.2177147,0,0,0,0,0.9822979,0.4032774,0.5790205,20.58069,0.62495184,1,42.391747,10.146815,5.3558784,204.99311709516377,-31.218986892955527,68.84267757489035,-29.634374255353325,0,5356.677,5339.662,5368.479,0.1458,0.1192,0.0635,5255.691799977759,0,False,0.0006828308,False,5.525272344976921,True,False,False,False,True
44,n,3205573756476323328,04 23 54.6,-02 33 43.4,1.029,5134,11.604,5.634,6.05,Conv.,3205573756476323328,1.029,3205573756476323328,0.12474693,-0.0063886642,65.97743922469262,-2.5620523133648603,6.534249219114206,0.019303963,338.49265,-7.122705216585492,-5.936027292335778,1.0758772,1244.5477,11.597537,427.01743,313269.7561479645,633.6119,1.2151341,0,0,0,1,1.0135269,0.42408943,0.5894375,19.236591,0.48869494,1,49.335217,8.661023,6.2629223,196.63555499952756,-33.641375860811294,63.60350627847861,-23.826797330133534,0,5266.4453,5257.3804,5280.063,0.1202,0.0977,0.0518,5170.10939075895,0,False,0.0063886642,False,5.673515513891475,False,False,False,False,True
47,n,3187477818011309568,04 47 58.2,-07 49 25.2,1.059,5205,11.994,5.818,7.02,Conv.,3187477818011309568,1.059,3187477818011309568,0.1583469,-0.0050992966,71.99232347807312,-7.823676432186308,5.898886310498813,0.015135096,389.74884,-10.45158142105023,-4.798250409957848,1.1316425,1985.6489,11.988686,694.4966,221568.82134650514,808.9607,1.2188514,0,0,0,0,1.0430031,0.43844128,0.6045618,20.099398,0.4632336,1,44.26807,nan,nan,205.5205723464138,-30.95924878057573,69.2943720835744,-29.977701649935533,0,5226.87,5222.143,5231.285,0.164,0.1327,0.0703,5093.140499074389,0,False,0.0050992966,False,5.842535738273767,False,False,False,False,True
48,n,3009905594911137664,05 26 30.0,-12 01 21.1,1.073,5352,12.576,5.905,6.5,Conv.,3009905594911137664,1.073,3009905594911137664,0.1763093,-0.0030736923,81.62504004148843,-12.022537941229558,4.629552356126964,0.011541526,401.12134,-10.854107030204538,-1.8433530446559367,0.9656783,1539.3542,12.573399,435.16132,129954.18258724442,624.9589,1.2176399,0,1,0,0,1.0594282,0.44944954,0.6099787,21.234396,0.7875273,1,35.680717,nan,nan,214.43070590505735,-24.220525488802775,79.96381152287684,-35.17049937626054,0,5204.942,5175.122,5211.9155,0.1761,0.1421,0.0752,5058.330093642017,0,False,0.0030736923,False,5.901093589818485,False,False,False,False,True
50,n,3243665031151732864,03 48 38.3,-06 41 52.6,1.082,5063,11.46,5.953,6.84,Conv.,3243665031151732864,1.082,3243665031151732864,0.123591095,0.000828743,57.159501629475606,-6.697935543592562,7.960867246893796,0.018300554,435.00693,-8.395633556169733,-8.673818765252893,1.0644094,1892.346,11.460781,608.72296,363116.2041602406,816.99457,1.2192274,0,0,0,0,1.0635157,0.45051575,0.6129999,21.83656,0.6088161,1,52.3729,13.111965,9.091811,195.31130344975762,-43.29808968547591,53.17078561095626,-26.03596261274195,0,5051.4727,5043.2046,5069.8726,0.0097,0.0077,0.0041,5036.327917415882,0,False,0.000828743,False,5.965583006467481,False,False,False,False,True
51,n,3192643431015406464,04 21 53.2,-08 43 16.1,1.088,5003,11.752,5.873,6.84,Conv.,3192643431015406464,1.088,3192643431015406464,0.1463314,-0.0060167313,65.47184261997437,-8.721138134418574,6.689843907867116,0.021072704,317.46487,-9.518496752197665,-6.629288164280938,1.3787751,1306.7594,11.745759,358.67825,280254.9914896448,543.3187,1.220383,0,0,0,0,1.0704479,0.45370102,0.6167469,21.383213,0.6611619,1,38.538486,6.9890165,9.774963,202.91428560376542,-37.10627331755885,61.78256213798314,-29.789189047015743,0,5080.12,5069.7393,5092.663,0.1273,0.1022,0.0543,5021.823641459695,0,False,0.0060167313,False,5.872838933426975,True,False,False,False,True
52,n,5029398079322118912,01 13 42.4,-31 11 39.6,1.088,5003,10.804,5.959,6.64,Conv.,5029398079322118912,1.088,5029398083618799488,0.1328388,-0.001115799,18.426476387962428,-31.194321760604943,10.832464759022468,0.016195472,668.85767,16.798011911380858,9.073406090644315,1.1370456,2713.868,10.803102,829.9539,669972.054600189,1127.1923,1.2222427,0,0,0,1,1.0754347,0.4550867,0.620348,20.00011,0.2564444,1,101.728485,9.119843,5.1610746,254.17095137670952,-83.66419498631015,2.9660061644986015,-35.64463545288301,0,4979.585,4971.339,4991.8687,0.0251,0.02,0.0106,5021.823641459695,0,False,0.001115799,False,5.976737963760321,False,False,False,False,True
53,n,2596395760081700608,22 39 53.5,-16 36 23.3,1.097,5065,11.508,5.994,6.97,Conv.,2596395760081700608,1.097,2596395760081700608,0.1505983,-0.007678032,339.9730414550058,-16.606475238814948,7.883309301033533,0.015010794,525.176,24.228668076447324,-4.528087789289288,0.8417271,1240.0284,11.500747,503.63535,352219.701991147,639.74896,1.2198478,0,0,0,0,1.0797119,0.45982647,0.61988544,11.04331,0.79751146,1,33.168995,6.0437746,4.7378325,45.140957347516846,-57.83432949580711,335.2648816909195,-7.56620305251079,0,5093.3955,5086.427,5100.637,0.128,0.1026,0.0542,5000.313147093784,0,False,0.007678032,False,5.984289559028387,False,False,False,False,True
