Seq,f_Seq,Source,RA_ICRS,DE_ICRS,GBP-GRP,Teff,Gmag,gmag_lc,Prot,Note,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
13,n,3190206672727634816,04 01 28.8,-11 19 25.7,0.682,6324,9.92,4.059,2.26,Conv.,3190206672727634816,0.682,3190206672729522304,0.13962348,0.007317543,60.36999811554148,-11.323810243473869,6.846948090377835,0.024551999,278.8754,-7.447629276220555,-5.286916803682053,1.3059541,2684.0107,9.927168,1311.2196,1249127.9279734944,2073.5652,1.1934209,0,0,0,2,0.67614746,0.25535774,0.42078972,21.493961,0.40716362,1,91.17206,14.177917,4.0318317,202.95069373384894,-42.763863631160696,55.44419929494015,-31.277414591953264,0,6154.2754,6152.9346,6156.523,0.0009,0.0007,0.0004,6192.605774708582,0,False,0.007317543,False,4.104653069000241,True,False,False,False,True
14,n,5182223980765557248,03 18 22.8,-04 29 29.0,0.687,6105,9.788,4.054,1.29,Conv.,5182223980765557248,0.687,5182223980765557248,0.049801473,0.017837524,49.59494092284919,-4.491379085130608,7.197546833605529,0.020645468,348.626,-5.2871608223345214,-8.927883917546719,1.0729345,1076.0653,9.8055315,283.962,1400016.0677316943,413.84418,1.1913631,0,0,0,0,0.68460274,0.26163387,0.42296886,20.57961,0.466534,1,101.80125,nan,nan,186.6389126903179,-48.31039440352695,45.83669545044663,-21.95119966717874,0,6080.114,6074.322,6093.9316,0.0043,0.0037,0.002,6178.862485902937,0,False,0.017837524,False,4.09145399908663,False,False,False,False,True
15,n,2982998926174605824,05 10 30.1,-16 08 04.1,0.691,6081,10.646,3.97,1.7,Conv.,2982998926174605824,0.691,2982998926174605824,0.09100832,0.010112762,77.62530455915635,-16.134469995161272,4.779588817202707,0.014795208,323.04977,-9.204560583371142,-0.7035651215424601,1.0114734,1984.8175,10.655771,730.579,640592.1506645093,986.824,1.1899081,0,36,0,35,0.6902294,0.26589966,0.42432976,19.889683,0.55871004,1,91.5052,22.194242,5.4224715,216.92016986067992,-29.418747752548963,74.65766963141198,-38.91696073097531,0,6102.7295,6096.344,6112.745,0.0065,0.0055,0.003,6167.760939736226,0,False,0.010112762,False,4.052723937192903,False,False,False,False,True
16,n,2492898356897645184,02 18 04.2,-03 50 14.4,0.7,6075,9.453,4.126,2.67,Conv.,2492898356897645184,0.7,2492898356897645184,0.13871661,0.0062627792,34.51762994003037,-3.8373434807010423,8.657426000983707,0.017437138,496.49353,5.368537817850336,-10.443317633999307,1.0802199,4269.4165,9.459103,983.8616,1933649.431869449,1152.8654,1.1938176,0,0,0,0,0.68868065,0.26152897,0.42715168,20.475664,0.22425461,1,120.65531,7.700157,1.2854861,168.32040459179316,-58.85033057560632,30.904852422277063,-16.636616335125,0,6097.569,6094.199,6102.8604,0.0024,0.002,0.0011,6142.456447829499,0,False,0.0062627792,False,4.146046571225014,False,False,False,False,True
17,n,3256702490277205376,04 03 24.9,-00 46 45.2,0.701,6033,9.928,4.18,3.08,Conv.,3256702490277205376,0.701,3256702490277205376,0.13284102,0.005727768,60.85374706998036,-0.7792186491098191,7.0725835511535236,0.043951258,160.9188,-6.180348643832194,-7.29640530563694,2.2981374,3319.6753,9.933458,1028.5641,1250346.647582824,1573.965,1.1919049,0,0,0,0,0.69440174,0.266263,0.42813873,19.02658,0.9404482,1,93.25317,19.016628,2.6853151,191.40950081712026,-36.993937941441686,58.53600929866448,-21.091318256900678,0,6182.3613,6175.421,6190.1587,0.0231,0.0197,0.0106,6139.61836968069,0,False,0.005727768,False,4.18134876148366,True,False,False,False,True
18,n,5104477754084350464,03 15 18.8,-17 56 36.4,0.731,5993,9.606,4.279,2.55,Conv.,5104477754084350464,0.731,5104477754084350464,0.034502625,0.006673813,48.828300342441544,-17.94344709440582,8.555295341792776,0.016755838,510.58594,-2.6421336252942997,1.0595432839533685,1.0814754,3416.5657,9.613218,1325.341,1704424.3698937076,1830.5286,1.1946362,0,0,0,0,0.7232561,0.27898884,0.44426727,21.199299,0.30624577,1,144.79915,17.454868,2.6696305,205.09511574262243,-55.66399947277823,40.477743038649436,-34.577144822360744,0,6009.3193,5995.8613,6083.4326,0.0134,0.0114,0.0061,6052.367452783371,0,False,0.006673813,False,4.274393340701224,False,False,False,False,True
19,n,5147686052794315904,02 02 10.9,-16 34 03.4,0.746,5864,9.643,4.41,2.53,Conv.,5147686052794315904,0.746,5147686052794315904,0.08462072,0.004872322,30.545285925305723,-16.567596576604487,8.994767002549782,0.015230147,590.5896,8.885198197499156,0.8796865424607885,0.8658014,1784.3547,9.647762,486.8132,1662608.4034667958,816.878,1.1954793,0,0,0,0,0.73781013,0.28596878,0.45184135,18.77963,0.36719832,1,114.18968,21.758072,8.006113,183.749588370631,-70.51761095722983,21.99920935613356,-27.089508452132602,0,5933.656,5925.274,5946.951,0.0065,0.0055,0.003,6007.487907054937,0,False,0.004872322,False,4.417711888621906,False,False,False,False,True
20,n,3197608241410937216,04 32 01.8,-08 53 13.7,0.758,6418,10.494,4.476,2.85,Conv.,3197608241410937216,0.758,3197608241410937216,0.10992954,0.0010461807,68.00755280672328,-8.887136218146466,6.362078170455994,0.017055843,373.0146,-9.74310831607269,-3.854476818085588,1.2118053,3244.1455,10.495431,1230.9252,766581.8798570691,1744.2987,1.1962515,0,0,0,0,0.7515631,0.29263115,0.45893192,20.39039,0.34120786,1,123.98446,18.910114,3.9472544,204.51611444944245,-34.95471639997404,64.59604637169355,-30.407363040832557,0,5980.4106,5970.956,5989.545,0.0261,0.0221,0.0119,5971.135639707348,0,False,0.0010461807,False,4.5134259511162185,True,False,False,False,True
21,n,2489889607752127360,02 18 43.9,-04 00 56.0,0.759,6016,10.019,4.39,2.38,Conv.,2489889607752127360,0.759,2489889607752127360,0.08859249,-0.005124092,34.682968189358924,-4.015542398374189,7.528026999996185,0.017538216,429.23563,5.949998710012506,-9.139542167665947,0.8298273,699.4373,10.013373,208.92819,1191970.4930060338,286.9048,1.195855,0,1,0,1,0.7463198,0.2901783,0.45614147,16.601965,0.5954816,1,79.01235,20.342611,2.1973631,168.7859282367855,-58.88243742445101,31.003096727388648,-16.860475636572705,0,5858.6294,5855.0576,5864.5825,0.0023,0.002,0.0011,5968.091095701594,0,False,0.005124092,False,4.396779215244537,False,False,False,False,True
22,n,2346216668164370432,00 54 13.5,-22 53 07.8,0.764,5852,9.441,4.452,3.1,Conv.,2346216668164370432,0.764,2346216668164370432,0.060368814,0.0036497116,13.556133090997134,-22.885498811365032,10.113467428244542,0.017211894,587.58594,18.999471641816953,1.7944535028932749,0.8385864,1731.788,9.445084,589.8639,2020546.2505594438,726.12054,1.1967897,0,0,0,0,0.7546749,0.29381466,0.46086025,19.913914,0.22956096,1,156.92203,17.930141,3.2018166,131.5451259530481,-85.71056711883239,2.776571844261892,-26.276227563054487,0,5979.416,5923.3286,6037.569,0.0571,0.0485,0.0261,5952.837326879858,0,False,0.0036497116,False,4.4695840186587485,False,False,False,False,True
