ID,GaiaDR2,CLHW,RA_ICRS,DE_ICRS,__B-V_0,Vmag,__V-Ks_0,Prot,e_Prot,P90,Class,Binary,_RA_icrs,_DE_icrs,dr2_source_id,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,M_G
207661;205334,5338654386320728832,228679,166.14799999999997,-58.86399999999999,1.483,17.885,3.817,11.2786,0.0473,0.073,1,0,166.14799999999997,-58.86399999999999,5338654386320728832,5338654386320728832,0.03142319,-0.028284073,166.147939097748,-58.86396277663873,2.028914485031018,0.05884517,34.478863,-10.849328324682345,5.535868742814335,0.99706036,1013.2619,17.135748,104.44856,2873.223444528796,277.3987,1.3587588,0,3,0,0,2.114544,1.0807686,1.0337753,,,,,,,289.4891835419906,1.190761794924967,204.3206011501563,-56.56946003691383,0,3730.4307,3718.6777,3747.1794,0.5714,0.3955,0.2261,8.6720666231212
207670,5338656099962080896,228692,166.14828999999997,-58.80696999999999,0.54,12.435,1.378,1.8572,0.0552,0.028,0,1,166.14828999999997,-58.80696999999999,5338656099962080896,5338656099962080896,0.22449808,-0.0073099136,166.1482366999997,-58.806936030591835,2.086927890141388,0.01191866,175.09752,-10.807781796514073,5.177431486437545,0.96589535,2756.0417,12.34267,1052.0834,141161.05570152355,1232.5461,1.1968448,0,0,0,0,0.77238464,0.3033228,0.46906185,5.705061,13.759959,1,24.259607,,,289.46650106182625,1.2430858875695932,204.2483157434746,-56.528662715395605,0,6147.4443,6140.803,6154.6304,0.1868,0.159,0.0858,3.9402076561622668
105879;104188,5338710113471162880,229419,166.14378999999997,-58.669329999999995,0.703,13.613,1.618,5.8053,0.124,0.032,1,0,166.14378999999997,-58.669329999999995,5338710113471162880,5338710113471162880,0.04635368,-0.0075445175,166.14371757702315,-58.66931373422284,2.103492036892385,0.012588431,167.09723,-10.257748785754025,5.2010285342860065,1.0216687,1999.3723,13.438995,584.6216,54379.39340529859,797.8222,1.2039235,0,0,0,1,0.8944082,0.36472225,0.529686,0.6940056,5.0909615,2,8.782543,,,289.40926328371256,1.3682694947710465,204.07098795672326,-56.43193530646604,0,5694.367,5673.6914,5710.7495,0.1916,0.1595,0.0853,5.0536997226505065
207548;205240,5338654278895693056,229422,166.14236999999997,-58.86899999999999,1.223,15.923,2.848,10.8101,0.5338,0.022,2,0,166.14236999999997,-58.86899999999999,5338654278895693056,5338654278895693056,0.07226153,-0.013573647,166.14229540185698,-58.86895179688588,2.0931139587452816,0.029304156,71.4272,-10.555577517849375,5.326735383871422,1.1082082,2754.2493,15.509452,573.257,10442.193310969216,914.2419,1.2697054,0,26,0,0,1.5008259,0.6922903,0.8085356,,,,,,,289.4885057152578,1.1850219594332143,204.32317298984947,-56.57506339985466,0,4481.021,4468.105,4491.192,0.3734,0.2808,0.1474,7.113416236001337
207316;205058,5338653836564519936,230754,166.13228999999998,-58.91705999999999,1.11,15.884,2.814,3.9591,0.0155,0.0451,1,0,166.13228999999998,-58.91705999999999,5338653836564519936,5338653836564519936,0.05389555,-0.025380135,166.1322265617914,-58.91702605103409,2.065491384703223,0.025144659,82.14434,-10.391957084393484,6.017789039092788,0.96043205,727.4505,15.49906,201.63571,10429.74334634778,251.91441,1.2714981,0,28,0,29,1.4576397,0.6607914,0.7968483,,,,,,,289.5029847874203,1.1388848070088362,204.37768704377274,-56.612976102950256,0,4535.628,4525.269,4547.531,0.4487,0.3417,0.1814,7.074176616355521
105568;103952,5338703623819395712,231488,166.12824999999998,-58.72513999999999,1.459,17.613,3.919,14.1011,0.5355,0.035,2,0,166.12824999999998,-58.72513999999999,5338703623819395712,5338703623819395712,0.16986173,-0.02993393,166.128190166759,-58.72511060654235,2.1831169135595045,0.057054773,38.263527,-10.137592725419221,5.670183984538268,1.0072013,1033.3849,16.931854,119.05884,3371.8771167183677,283.1727,1.3404154,0,20,0,20,2.038722,1.0350838,1.0036383,,,,,,,289.4242114632486,1.3139091350139165,204.13111160247726,-56.477482370752305,0,3869.6082,3858.8909,3879.5415,0.5873,0.4104,0.2315,8.627239219662066
105467;103869,5338709602413876224,232138,166.12378999999999,-58.68982999999999,0.952,14.894,2.2,9.2879,0.6502,0.02,2,0,166.12378999999999,-58.68982999999999,5338709602413876224,5338709602413876224,0.05440372,-0.01078701,166.12373886983306,-58.689806582038415,2.099606040889427,0.018500842,113.48705,-10.255993670508582,4.984912826612139,0.94281214,2888.866,14.628786,540.8577,20562.981353958457,834.2837,1.2294723,0,0,0,0,1.172514,0.5089083,0.6636057,2.3890936,5.3157597,2,3.9158976,,,289.40795063279825,1.3453328113906176,204.08344634333818,-56.45385306957798,0,4890.3145,4879.1694,4906.643,0.1442,0.1138,0.0599,6.239475155185655
207015;204822,5338627753176720640,232510,166.11811999999998,-59.060219999999994,0.94,14.853,2.215,9.065,0.1575,0.0212,2,0,166.11811999999998,-59.060219999999994,5338627753176720640,5338627753176720640,0.06525768,-0.0131492615,166.118055630688,-59.06019957793033,2.06081601591469,0.016978202,121.380104,-9.57044549055633,5.490369815670111,0.9979819,2406.8953,14.610419,642.48914,20939.747053394767,901.90485,1.2308031,0,1,0,0,1.1729822,0.50802994,0.6649523,-6.009558,6.111472,2,5.1400933,,,289.5536353022097,1.004767742095331,204.55133514507986,-56.71996531001781,0,4931.6035,4922.318,4939.689,0.1989,0.1574,0.0831,6.180615377736682
206862;204699,5338654317601235328,233617,166.11141999999998,-58.87996999999999,1.389,16.992,3.505,12.3598,0.6896,0.0253,2,0,166.11141999999998,-58.87996999999999,5338654317601235328,5338654317601235328,0.061391823,-0.020109177,166.1113439666601,-58.879954008410145,2.1188324812941834,0.04184857,50.63094,-9.893603137081326,4.981292563361448,0.97148854,2279.925,16.382565,188.86775,5221.494684105062,537.8351,1.305034,0,2,0,2,1.8363142,0.9071579,0.9291563,,,,,,,289.47824853597916,1.168533790275968,204.3164702402972,-56.59412644864828,0,4325.078,4318.563,4330.1147,0.8752,0.6348,0.3402,8.013047654504842
105124;103586,5338713347625048576,234766,166.10595999999998,-58.527609999999996,0.915,14.725,2.165,8.6321,0.1194,0.0292,1,0,166.10595999999998,-58.527609999999996,5338713347625048576,5338713347625048576,0.069025174,-0.010094643,166.10589673933225,-58.52758108252576,2.0766111928946214,0.016427845,126.40801,-10.498672180166633,5.442897018754245,0.94049317,2656.494,14.483489,627.873,23330.26683829029,974.59326,1.2286034,0,39,0,38,1.152463,0.4970703,0.65539265,9.781354,5.1806707,2,4.419916,,,289.33442037284686,1.4902469138279992,203.8668701573999,-56.34413340798519,0,4959.985,4946.2803,4971.2134,0.1885,0.1497,0.0793,6.070264989175223
