NGTS_ID,Gaia_ID,RA,Dec,NGTS_mag,G_mag,BP_mag,RP_mag,Ks_mag,GmK,SpT,mult,amp_data,amp_GP,P_GP,P_GPue,P_GPle,P_LS,P_GACF,method,Prot,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_pass_author_quality,flag_benchmark_period
4735,2321004866539735680,00:03:58.430,-29:06:48.872,15.9,16.51,17.87,15.36,12.92,3.58,M3,--,61.88,42.37,1.1942,0.00047,0.00049,1.19428,1.19556,GP,1.1942,2321004866539735680,2.5100000000000016,2321004866539735680,0.078655995,-0.020175934,0.9936782858807709,-29.113694958847212,4.192418861728324,0.06053562,69.2554,18.9102473820014,3.202899701230362,1.0640998,995.17084,16.487595,76.82036,5797.411138095084,327.62933,1.4219751,0,0,0,0,2.490981,1.3431969,1.1477842,,,,,,,19.422857916638726,-79.35328040788563,348.3794675799981,-26.899212155770996,0,3498.043,3491.681,3504.792,0.5606,0.3692,0.2319,3437.0040966154047,0,False,0.020175934,False,9.599917935546312,False,False,False,False,True,True
4846,2332965216587822464,23:58:55.678,-29:07:33.992,12.53,12.98,13.48,12.34,10.92,2.06,K3,c,32.65,32.49,1.16438,0.00112,0.00125,1.16898,1.16795,GP,1.16438,2332965216587822464,1.1400000000000006,2332965216587822464,0.09984872,-0.017278671,359.73189841344794,-29.12608378780078,4.241854491356583,0.01891134,224.30217,18.38452464477608,2.4681715571902503,1.011883,708.39355,12.963198,177.48944,93442.48276517885,226.50124,1.2243294,0,0,0,0,1.1260328,0.48436928,0.64166355,3.9791903,3.9894118,2,20.817484,,,20.07820465229228,-78.25826976509425,347.26877694065047,-26.419698005201973,0,5233.1694,5215.164,5257.1553,0.3881,0.3127,0.1675,4930.432669092962,0,False,0.017278671,False,6.100976542134013,False,True,True,True,True,False
5076,2320989851334122752,00:04:54.072,-29:09:10.699,11.92,13.08,13.22,12.0,10.29,2.79,K7,c,68.95,54.34,1.55893,0.03577,0.03149,1.93032,1.97300,GP,1.55893,2320989851334122752,1.2200000000000006,2320989851334122752,0.13042869,0.008991241,1.2254632272914103,-29.152849032455574,4.216589558391594,0.09083372,46.42097,19.261364642286367,2.271215695036715,4.651317,592.05206,13.091818,34.323856,127970.39854240582,38.5236,1.792909,0,33,0,32,1.2801228,0.16842651,1.1116962,-3.1813283,4.7751927,2,10.751483,,,19.054619830658876,-79.54816260769644,348.56315168927824,-27.024590971554723,0,,,,,,,4760.572175198824,1,True,0.008991241,False,6.216624500699512,True,True,True,True,True,False
5363,2332951438332812160,23:59:29.244,-29:11:38.158,14.47,14.99,15.89,14.06,12.01,2.98,K9,--,70.54,66.12,2.70509,0.0019,0.00193,2.7061,2.70900,GP,2.70509,2332951438332812160,1.83,2332951438332812160,0.08055051,-0.019577026,359.87188802771465,-29.19392920616324,4.213792560768264,0.025576252,164.7541,18.91478476184692,2.230352828412388,0.98240805,937.9568,14.969441,286.9612,19241.49816786157,454.96304,1.3137215,0,1,0,0,1.818923,0.8867798,0.9321432,45.189148,4.7671094,2,4.7356153,,,19.673373078118395,-78.37151745526225,347.357441085894,-26.534801439582445,0,4037.9917,4033.226,4049.6843,0.3829,0.2748,0.1501,3943.131697976125,0,False,0.019577026,False,8.092807174260763,False,False,False,False,True,True
5862,2320987549231653888,00:04:34.814,-29:15:19.849,12.28,12.67,13.11,12.08,10.92,1.75,K0,--,16.99,16.38,6.38175,0.04343,0.04522,6.43548,6.38010,GP,6.38175,2320987549231653888,1.0299999999999994,2320987549231653888,0.15675147,-0.007940292,1.1452867242110074,-29.255538957946232,4.259807149575101,0.016073141,265.02643,18.707152676057397,2.536996771146871,1.0283631,1814.616,12.660482,534.91943,117731.37307052808,745.00494,1.2142465,0,0,0,0,1.0164337,0.42661667,0.58981705,6.682382,1.4090992,1,19.13419,,,18.554610935699657,-79.46360637681173,348.44134623973497,-27.085220887090316,0,,,,,,,5201.430102637707,0,False,0.007940292,False,5.807432097234038,False,False,False,False,True,True
6001,2320987858469300864,00:05:00.949,-29:16:08.658,12.26,12.67,13.12,12.08,10.91,1.76,K0,--,13.06,15.2,6.79839,0.04021,0.03634,6.82941,6.93060,GP,6.79839,2320987858469300864,1.0399999999999991,2320987858469300864,0.1416911,-0.0115299225,1.25417611462053,-29.26910845670295,4.211025299604778,0.016910126,249.02386,18.421390272533724,2.2486112706929298,1.1350913,2536.504,12.661598,678.0559,118177.798398862,886.0864,1.2158022,0,0,0,2,1.0259695,0.43092728,0.5950422,6.6052585,1.0344638,1,22.585054,,,18.39999964245266,-79.55534281975235,348.53001246100996,-27.13980271305835,0,5232.796,5225.702,5239.229,0.1101,0.0893,0.0473,5174.999908550782,0,False,0.0115299225,False,5.783537458791862,False,False,False,False,True,True
6051,2333005451841565056,00:02:48.684,-29:16:40.254,15.85,16.49,18.09,15.27,12.67,3.83,M4,c,63.86,43.45,0.35901,0.0011,0.00096,0.35551,0.35563,GACF,0.35563,2333005451841565056,2.8200000000000003,2333005451841565056,0.15806548,-0.01935196,0.7030905069465969,-29.277880657415906,4.271864204623753,0.052866142,80.80529,18.74444848452566,2.9385268580768935,1.0010954,694.7998,16.475452,68.3957,6281.067347177921,311.22626,1.4692769,0,0,0,0,2.7894363,1.5667953,1.222641,,,,,,,18.746701089395305,-79.07886648571655,348.0427146562827,-26.93300853145049,0,3339.2815,3335.7178,3342.8435,0.8438,0.5379,0.3552,3284.023993239389,0,False,0.01935196,False,9.628539616840616,False,True,False,True,True,False
6278,2333005344467248768,00:02:48.773,-29:18:42.202,11.8,12.18,12.57,11.64,10.59,1.59,G8,--,22.51,20.2,5.26442,0.04609,0.04229,5.20561,5.29200,GP,5.26442,2333005344467248768,0.9299999999999997,2333005344467248768,0.17124134,-0.008684158,0.7034277027139929,-29.311722983957704,4.2708838929529165,0.014296424,298.7379,18.682265065146787,2.1189154156340813,1.0879166,2575.9976,12.172879,782.025,176345.52717739638,984.277,1.2057738,0,0,0,0,0.9167013,0.3758068,0.5408945,5.0345645,1.0705261,1,34.741886,,,18.569847983740452,-79.07414970347438,348.0260701840214,-26.963426426465332,0,5525.0205,5513.8306,5541.025,0.1107,0.0915,0.0488,5483.507965341511,0,False,0.008684158,False,5.325468043954142,False,False,False,False,True,True
6292,2320959820922837760,00:06:17.762,-29:18:40.308,11.52,11.89,12.24,11.39,10.44,1.44,G3,--,18.45,17.39,4.53201,0.01218,0.01224,4.52757,4.55110,GP,4.53201,2320959820922837760,0.8499999999999996,2320959820922837760,0.21668635,-0.010092735,1.5741915903413435,-29.311243682829165,4.281838229965256,0.017686516,242.09619,18.537487033268068,2.4526728008132936,1.019191,1748.143,11.876925,376.98315,223692.4023067045,579.9177,1.2017181,0,0,0,0,0.8382416,0.33508396,0.5031576,5.3915854,1.1017394,1,36.517765,6.9570384,9.701108,17.914369424667544,-79.82389458231651,348.78955672639165,-27.302299769090336,0,5681.2153,5675.0156,5686.498,0.008,0.0067,0.0036,5726.78693356637,0,False,0.010092735,False,5.035076745450185,False,False,False,False,True,True
6461,2321136155100043520,00:08:38.450,-29:19:43.292,14.56,15.13,16.07,14.17,12.09,3.04,M0,--,52.8,52.37,4.1442,0.00536,0.00534,4.14154,4.13740,GP,4.1442,2321136155100043520,1.9000000000000004,2321136155100043520,0.023098353,-0.009884834,2.160179507636245,-29.32881759616404,4.217333216689171,0.03978397,106.005844,18.47585120638556,2.722814429979946,1.1189685,791.758,15.12158,150.1933,17208.612257005094,258.13876,1.3267784,0,0,1,0,1.9041004,0.9410515,0.96304893,0.116329074,6.9072127,2,3.6321664,,,17.29340431825072,-80.32379339952827,349.29533254350235,-27.54685435104761,0,,,,,,,3875.2599103681096,0,False,0.009884834,False,8.246769706462299,False,False,False,False,True,True
