NGTS_ID,Gaia_ID,RA,Dec,NGTS_mag,G_mag,BP_mag,RP_mag,Ks_mag,GmK,SpT,mult,amp_data,amp_GP,P_GP,P_GPue,P_GPle,P_LS,P_GACF,method,P_adopt,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G
8989,2332876705901848704,00:00:52.967,-29:41:08.530,14.26,15.61,16.91,14.46,12.04,3.58,M3,c,18.28,12.62,5.26814,0.00872,0.00911,5.25983,5.2312,GP,5.26814,2332876705901848704,2.4499999999999993,2332876705901848704,0.1442875,-0.018018723,0.22040458657541429,-29.686122919545795,3.9199423680514953,0.06717925,58.350494,18.806833549769248,2.44885379040971,1.6965829,895.0547,15.595233,170.55978,13253.022262108982,454.47192,1.4346285,0,2,0,1,2.4623985,1.3092737,1.1531248,-5.150329,6.7805376,2,4.715929,nan,nan,17.00987921717573,-78.59902434503353,347.416050069597,-27.110681595191384,0,3538.3474,3531.5862,3544.635,0.7802,0.5168,0.3197,3467.540111210168,1,True,0.018018723,False,8.561631373382145
9681,2320862200611102848,00:01:46.446,-29:46:38.498,11.76,12.08,12.47,11.53,10.41,1.66,G9,c,28.14,33.26,2.34444,0.00701,0.00739,2.35688,2.3459,GP,2.34444,2320862200611102848,0.9400000000000013,2320862200611102848,0.26000807,-0.0014801025,0.44372056952986866,-29.777423353479293,4.275770248723719,0.014273414,299.56183,18.613720106653513,2.2077300320478557,0.9616418,833.2825,12.078456,233.18611,194609.26461393497,316.59656,1.2108539,0,1,0,1,0.93562126,0.3821516,0.55346966,4.712476,6.2986903,1,37.278446,47.408722,40.643814,16.37594601255059,-78.773593038938,347.56514793669,-27.27906470604059,0,5747.264,5721.7896,5767.657,0.3316,0.2755,0.1479,5453.991757399257,0,False,0.0014801025,False,5.233527730412142
10182,2320860074602561408,00:01:22.805,-29:50:36.332,12.15,12.61,13.08,12.0,10.64,1.97,K2.5,c,152.92,137.48,0.40712,7e-05,6e-05,0.40734,0.40733,GP,0.40712,2320860074602561408,1.08,2320860074602561408,0.19232154,-0.0015449524,0.34518660145884533,-29.843495257530776,4.314744520360676,0.015972685,270.13272,18.7516254566777,2.6904548500899743,1.0866282,292.91638,12.612134,86.27042,126590.73484483077,117.76768,1.2232616,0,2,0,0,1.0728483,0.45260525,0.6202431,-2.1776795,8.448612,1,26.611895,nan,nan,16.125235539135776,-78.67729980192836,347.4458432043466,-27.299882725261593,0,5449.2017,5437.5386,5460.746,0.4866,0.3959,0.2128,5072.826661645966,0,False,0.0015449524,False,5.786909409158541
10702,2320812486365053696,00:05:14.362,-29:54:23.679,11.73,12.14,12.61,11.54,10.28,1.87,K1.5,cr,15.48,14.81,6.26562,0.06002,0.06111,6.18699,6.263,GP,6.26562,2320812486365053696,1.0700000000000003,2320812486365053696,0.18825589,-0.009084702,1.3100933387181488,-29.906591367369572,4.227847219025516,0.019718237,214.41304,18.75906837740712,2.546082305412739,1.3763573,2182.1157,12.135443,642.2078,194543.6714197916,977.9925,1.2198709,0,0,0,0,1.0546703,0.44458008,0.61009026,8.640769,5.8070874,1,36.89767,25.584435,17.228996,14.906591508615541,-79.48402265202147,348.2571508830731,-27.731497139852493,0,4977.852,4975.7266,4981.6685,0.0023,0.0018,0.001,5097.831306649666,0,False,0.009084702,False,5.266039158241238
10890,2320847533296914560,00:02:19.698,-29:56:07.271,13.29,14.05,14.54,12.92,11.05,3.0,M0,c,33.57,29.87,6.18315,0.12652,0.07528,6.36913,6.3504,GP,6.18315,2320847533296914560,1.6199999999999992,2320847533296914560,2.6059585,0.112965584,0.5822526451752585,-29.935331684376173,4.258212836468743,0.0349421,121.864815,19.088308031933433,2.3744284668147246,1.4961947,716.4179,14.161049,175.50595,54470.56534915015,225.69214,1.8516092,0,32,0,32,1.6228199,0.36926174,1.2535582,-6.7924466,6.6851573,2,3.584501,nan,nan,15.457630227972432,-78.861074142815,347.6064619230508,-27.474062251006842,0,nan,nan,nan,nan,nan,nan,4166.176189481596,1,True,0.112965584,True,7.307185713180184
11045,2320902234001248256,00:05:35.486,-29:57:06.272,11.79,12.41,12.84,11.75,10.26,2.15,K3,cr,26.61,22.07,5.986,0.07934,0.07464,5.79797,6.0147,GP,5.986,2320902234001248256,1.0899999999999999,2320902234001248256,0.19216824,0.0011434555,1.3981889893658102,-29.951815468067206,4.552867529321696,0.07551149,60.2937,17.79906113240941,2.9852185053717886,5.9392815,1162.8579,12.409788,103.3274,160961.4827200456,143.10129,1.2922004,0,17,0,14,1.0701065,0.39140892,0.6786976,0.26311487,4.2657733,1,26.099533,nan,nan,14.571994337245691,-79.54857953176243,348.31126019678936,-27.80620904468756,0,5368.821,5357.6323,5378.981,0.3408,0.277,0.1485,5048.184716049659,1,True,0.0011434555,False,5.701213202800654
11156,2320822863006024832,00:04:12.505,-29:58:02.039,13.48,14.21,15.14,13.27,11.22,2.99,M0,c,19.86,19.51,0.25946,1e-05,1e-05,0.25944,0.25946,GP,0.25946,2320822863006024832,1.870000000000001,2320822863006024832,0.083378494,-0.013176918,1.052497604720252,-29.96735782030273,4.143695421761805,0.034902874,118.72075,18.6874022742763,2.524256447764472,1.7623835,1099.5803,14.198395,309.84103,39791.49088052598,421.49512,1.3203307,0,0,0,0,1.870614,0.92063904,0.949975,-0.07971379,6.098278,2,12.082223,nan,nan,14.846050741147318,-79.25294336517295,348.00104922619806,-27.685513446057485,0,nan,nan,nan,nan,nan,nan,3903.9850679881583,1,True,0.013176918,False,7.285333903008134
11417,2320704768584775552,00:07:37.659,-29:59:46.676,14.23,14.75,15.62,13.82,11.76,2.99,M0,c,26.36,24.21,0.34284,9e-05,9e-05,0.34297,0.34289,GP,0.34284,2320704768584775552,1.799999999999999,2320704768584775552,0.10747356,-0.012476921,1.9070026079343736,-29.996295121951924,4.166503567761269,0.026048483,159.95187,18.665095000291874,2.435517727464713,1.2047025,824.23315,14.733223,150.21748,23781.62884095634,339.25085,1.3161451,0,1,0,0,1.7856426,0.85971165,0.925931,7.613547,8.03966,2,7.3208413,nan,nan,13.75427740582712,-79.9670489548709,348.7340881380108,-28.04427711863057,0,4615.205,4578.492,4651.188,1.526,1.14,0.6228,3973.1284771107876,0,False,0.012476921,False,7.832081751658565
11974,2320842551136015872,00:02:28.165,-30:04:43.240,12.26,12.71,13.28,12.01,10.51,2.2,K3.5,c,51.79,47.56,5.45766,0.0153,0.01413,5.45976,5.4613,GP,5.45766,2320842551136015872,1.2699999999999996,2320842551136015872,0.2711939,-0.0108270645,0.6175587705127055,-30.078728913314027,4.382890757332675,0.031247359,140.26436,18.247519954054447,2.1908874474278006,1.8747485,1344.8069,12.695487,496.41113,126152.17760358151,555.8847,1.2381052,0,17,0,19,1.2518797,0.55205154,0.69982815,3.9465463,1.6091226,1,25.5662,nan,nan,14.698670632084474,-78.86123720175097,347.56472707960387,-27.61593621155453,0,4629.728,4621.0337,4636.962,0.082,0.0638,0.0338,4665.30090454911,0,False,0.0108270645,False,5.904290252832757
11982,2320795031617857152,00:02:56.359,-30:04:44.629,11.69,12.15,12.64,11.51,10.16,1.99,K2.5,cr,23.65,22.3,3.22208,0.01004,0.00964,3.24303,3.2354,GP,3.22208,2320795031617857152,1.1300000000000008,2320795031617857152,0.21335448,-0.010761261,0.735053294044156,-30.07912001106485,4.26659497603597,0.012531839,340.4604,19.144142952926163,2.5395269345724216,0.83022404,1037.9427,12.13738,282.79037,199384.63893423215,399.60294,1.2282823,0,0,0,0,1.1091042,0.47039032,0.63871384,15.387834,6.1092362,1,33.722275,29.776226,23.733198,14.58281552075441,-78.96043833069427,347.6670792493702,-27.661934809655598,0,4957.584,4921.0913,5009.103,0.1419,0.1137,0.0612,4953.256764200015,0,False,0.010761261,False,5.287786734488913
11998,2320803724631758336,00:04:27.358,-30:04:57.526,15.6,16.18,17.67,14.97,12.53,3.64,M3.5,c,37.93,19.09,0.28325,0.00012,0.00012,0.28323,7.5433,GP,0.28325,2320803724631758336,2.700000000000001,2320803724631758336,0.17701258,-0.019195557,1.114230554130073,-30.082685976129504,4.205384117413126,0.050607506,83.09803,19.265036778460683,2.3525948064753432,1.0811926,1064.568,16.15653,131.71646,8246.162699961602,438.89304,1.4505329,0,0,0,1,2.7110443,1.5117798,1.1992645,nan,nan,-1,nan,nan,nan,14.178703635306958,-79.2795797784107,347.9964398620055,-27.812559568457104,0,3393.5886,3389.6582,3398.3276,0.8306,0.5351,0.3473,3345.9095116029494,0,False,0.019195557,False,9.27555873104242
12097,2326866942847101824,23:57:52.345,-30:05:17.726,11.4,11.98,12.36,11.45,10.4,1.58,G7,c,39.14,35.13,2.76998,0.01776,0.01701,2.71546,2.7638,GP,2.76998,2326866942847101824,0.9100000000000001,2326866942847101824,0.13949981,-0.027274132,359.46788244929047,-30.088318698022896,4.18560505451932,0.014617989,286.3325,18.95254107113785,2.2499990018139195,0.9361085,332.9616,11.951763,89.67467,215564.49470910762,120.8844,1.2136829,0,0,0,0,0.89291954,0.3551092,0.5378103,4.4427347,1.7453362,1,26.953663,51.266895,33.377907,15.644741697310737,-77.88479514771471,346.55814525874024,-27.178811991948322,0,5729.1855,5699.7217,5756.0264,0.1117,0.0935,0.0501,5543.251909508112,1,True,0.027274132,False,5.060554386879613
12254,2320794413142569344,00:02:54.158,-30:06:55.822,15.58,16.15,17.48,15.0,12.65,3.5,M3,c,36.85,16.46,0.56292,0.00035,0.00031,0.56332,1.29201,GP,0.56292,2320794413142569344,2.4800000000000004,2320794413142569344,0.062308148,-0.016613007,0.7258951588504535,-30.11554051455488,4.206092362906619,0.048431743,86.84577,18.970687519458824,3.201006625970029,1.007338,1412.8271,16.128689,148.53477,8051.317533274546,504.5077,1.4192481,0,1,0,0,2.4893637,1.3439026,1.1454611,nan,nan,-1,nan,nan,nan,14.406362208531752,-78.94475485164939,347.6406143715055,-27.690916617290522,0,3504.6477,3485.3303,3513.1736,0.6944,0.459,0.285,3452.047142683441,0,False,0.016613007,False,9.24808283857733
13575,2320774278335949952,00:03:54.500,-30:17:01.441,12.57,13.06,13.67,12.33,10.75,2.31,K4,c,10.1,8.21,8.64254,0.1533,0.10331,9.83556,8.60183,GP,8.64254,2320774278335949952,1.3399999999999999,2320774278335949952,0.058408923,-0.012885094,0.977319243259261,-30.28379816114003,4.201963747799732,0.017194225,244.38226,18.69107856907971,3.1712432506130117,1.1323093,2810.1855,13.042438,628.3878,94413.56407005533,1073.9181,1.2472696,0,0,0,0,1.3223076,0.59017944,0.73212814,-0.44357035,2.7413402,2,19.469282,nan,nan,13.282912379694807,-79.11749330051417,347.7745099614153,-27.938919530951555,0,nan,nan,nan,nan,nan,nan,4544.487379798939,0,False,0.012885094,False,6.1596990595830725
13587,2320797539878825472,00:03:58.426,-30:17:03.372,14.09,15.04,16.18,13.99,11.75,3.3,M1.5,c,21.73,14.6,5.1588,0.00852,0.00887,5.15907,5.1717,GP,5.1588,2320797539878825472,2.1899999999999995,2320797539878825472,0.14327124,-0.01807499,0.9934445271264145,-30.284111968128176,4.217239385246936,0.034833346,121.06903,19.10398965298545,2.8369962574702408,1.2403442,1827.791,15.025879,320.11176,20531.642752821732,619.4915,1.3705122,0,1,0,1,2.197753,1.13871,1.0590429,32.346962,4.9881983,2,6.100891,nan,nan,13.263522313872118,-79.13093253608801,347.7884246501822,-27.94546870517006,0,3654.3604,3648.537,3670.3765,0.5434,0.3717,0.2179,3629.5007751667363,1,True,0.01807499,False,8.151020175186147
14707,2320584406421507456,00:04:07.663,-30:25:40.521,15.36,15.96,17.38,14.78,12.32,3.64,M3.5,c,44.31,28.65,0.31528,0.00138,0.00125,0.312,0.31194,GACF,0.31194,2320584406421507456,2.5999999999999996,2320584406421507456,0.10191467,-0.015388489,1.0321633058432016,-30.42794712461725,4.168646521174044,0.048168052,86.54381,18.492896581720483,3.016398372919769,1.0874237,1112.3739,15.948315,62.319645,9862.693071840467,414.87598,1.4438128,0,1,0,0,2.642046,1.4566383,1.1854076,nan,nan,-1,nan,nan,nan,12.480729561647777,-79.12766416130498,347.74881053498376,-28.088932292487215,0,nan,nan,nan,nan,nan,nan,3393.649614487804,0,False,0.015388489,False,9.04829002099314
14826,2320779604095346688,00:02:13.223,-30:26:34.173,15.59,16.19,17.66,14.99,12.5,3.69,M3.5,c,45.52,25.35,0.7304,0.00017,0.00017,0.73027,2.7307,GP,0.7304,2320779604095346688,2.67,2320779604095346688,0.27730682,-0.005056381,0.5553195960999193,-30.44285195033803,3.9026790992214306,0.07865822,49.61565,17.735719531553,1.992574586359591,1.5410413,647.3654,16.189754,73.629524,8086.680779589678,240.3044,1.4757967,0,0,0,0,2.6580372,1.4467525,1.2112846,nan,nan,-1,nan,nan,nan,12.937705561477461,-78.72572748960452,347.32547745706256,-27.917031669547434,0,3406.494,3402.754,3409.798,0.759,0.4917,0.3165,3360.408378229273,0,False,0.005056381,False,9.146568698848249
15279,2320602926320492672,00:04:50.873,-30:29:55.370,14.25,14.76,15.61,13.84,11.72,3.05,M0,c,184.96,178.17,0.25696,1e-05,1e-05,0.25695,0.257,GP,0.25696,2320602926320492672,1.7699999999999996,2320602926320492672,0.04181844,-0.012958527,1.2121597803799433,-30.49873371082622,4.11392560052772,0.026264776,156.63281,18.73104677063338,3.215040225377508,1.010434,467.83585,14.751751,95.6629,23368.34160018363,147.88736,1.3201014,0,0,0,1,1.7706366,0.845211,0.9254255,-57.821148,9.25717,2,5.2054954,nan,nan,11.901032464301126,-79.25907487150899,347.86964679004956,-28.222092171253458,0,4871.927,4860.2637,4883.8164,1.7281,1.303,0.7082,4003.684953196449,0,False,0.012958527,False,7.8230331125753985
16461,2314771219725893120,00:01:31.406,-30:38:54.047,14.91,15.52,16.73,14.41,12.09,3.43,M2.5,c,48.25,45.47,0.30942,6e-05,6e-05,0.30963,0.30965,GP,0.30942,2314771219725893120,2.3200000000000003,2314771219725893120,0.13295403,-0.01253891,0.3810483336697417,-30.648387909919784,4.133577520741776,0.07041676,58.70161,19.41492167988976,2.5541734093584756,1.9000038,1203.4985,15.502664,189.04935,13929.662776812893,446.9261,1.4116299,0,0,0,0,2.330885,1.2162657,1.1146193,-49.69261,8.543416,2,3.7584608,nan,nan,12.117519107567166,-78.52921628927803,347.06892647985666,-28.032943041605932,0,3585.104,3575.4436,3596.5454,0.6668,0.4484,0.2704,3541.6047814849735,0,False,0.01253891,False,8.58429404616519
16794,2320572827189658240,00:03:23.360,-30:41:22.931,13.38,14.01,14.62,13.06,11.24,2.77,K7,c,27.49,27.81,5.66759,0.02679,0.02576,5.71052,5.6889,GP,5.66759,2320572827189658240,1.5599999999999987,2320572827189658240,0.16849935,0.0021705627,0.8474916630693564,-30.689707249239103,4.197752490376372,0.022621483,185.56487,18.23412458223867,2.324907774476734,1.101896,951.8736,14.010776,194.19969,46796.16659428748,138.38681,1.4175125,0,36,0,36,1.5353594,0.5969534,0.938406,-1.1274047,5.183947,2,5.470718,nan,nan,11.374450381194684,-78.90543385652512,347.453859729171,-28.250793099876933,0,4365.828,4207.126,4398.1426,0.114,0.085,0.0452,4236.970065933994,1,True,0.0021705627,False,7.125859705850498
