Seq,KIC,dr2_source_id,Gmag,BP-RP,Teff,Mass,SpT,Per,e_Per,NQ,f_Seq,Simbad,_RA,_DE,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,nbhr_count,flag_nbhr_count,flag_bad_gaiamatch,M_G
115,9595731,2080089877353291136,16.521,1.23,4842,0.807,K2,11.85,0.5147,10,Y,Simbad,294.82526,46.29792,2080089877353291136,0.024981054,-0.013544083,294.8252395926733,46.29788335544957,0.8288126989862507,0.035497006,23.348804,-3.40539692051327,-8.719703686386811,0.90905136,1875.7845,16.507574,199.61745,3691.356794068455,344.6112,1.2341014,0,1,0,2,1.1997042,0.5220604,0.6776438,,,,,,,79.29015747877573,11.663534253827395,315.2309627774951,65.8836513904743,0,4653.5454,4635.786,4677.6553,0.0197,0.0154,0.0081,0,False,False,6.099856064767199
116,9896609,2128158910811242496,16.593,1.247,4806,0.799,K2,11.28,0.3487,15,Y,Simbad,294.18771,46.74939,2128158910811242496,0.05388343,-0.014137268,294.1876845070094,46.749351359468115,0.9367849995107027,0.046000104,20.364843,-3.3852954518869156,-8.888375019346489,1.1483172,1711.9977,16.579252,144.21574,3500.3968453598313,267.84464,1.2372748,0,0,0,1,1.2308655,0.5392151,0.6916504,,,,,,,79.49778277108007,12.259349734332469,314.69624081794996,66.47493814913092,0,4772.545,4748.8276,4797.0054,0.1651,0.1292,0.0682,0,False,False,6.437451882431173
117,9593995,2128118469398421632,16.638,1.253,4793,0.796,K2,11.29,0.183,11,Y,Simbad,294.19762,46.26194,2128118469398421632,0.02490092,-0.010910034,294.19759410398046,46.26189542891773,0.8856919316869794,0.038471606,23.021965,-3.413742051749538,-8.88994363901401,0.9957775,1727.8882,16.626776,204.93552,3352.0390859722775,392.9249,1.2359674,0,1,0,2,1.2355013,0.5433483,0.692153,,,,,,,79.0558516567477,12.03350994444053,314.2217752064615,66.02644080046397,0,4751.151,4726.6235,4776.579,0.1083,0.0844,0.0445,0,False,False,6.363189183777344
118,9717161,2128136714419757952,16.694,1.262,4775,0.792,K2,13.11,0.5917,12,S,Simbad,294.6287,46.44724,2128136714419757952,0.051691625,-0.0140686035,294.62867549089975,46.447197416396094,0.9514553458477572,0.03817123,24.925982,-3.30967397484828,-8.810471434030845,1.0230826,1889.4354,16.679684,217.36586,3179.150011640387,412.38715,1.226739,0,1,0,0,1.2455053,0.5579395,0.6875658,,,,,,,79.36257603601042,11.852376710413177,315.0768270240078,66.07535822983309,0,4643.269,4629.6924,4658.6504,0.0102,0.0079,0.0042,1,True,False,6.57162573823933
119,9716707,2128134618476431616,16.902,1.302,4698,0.774,K4,10.78,0.3101,11,Y,Simbad,294.46325,46.47646,2128134618476431616,0.037019465,-0.015193939,294.46323089831213,46.47642137666599,0.8837776211663089,0.04773683,18.513538,-3.532670274591267,-8.882016409689289,1.0730752,1467.4479,16.886751,100.52298,2726.5655470235765,247.5854,1.2443923,0,0,0,2,1.3172073,0.5893116,0.72789574,,,,,,,79.3362347421657,11.96717057251717,314.84934465462874,66.14854311130694,0,4649.452,4613.6826,4678.595,0.1116,0.0858,0.0452,1,True,False,6.618466176180139
120,9838166,2128139497558660224,16.751,1.307,4688,0.772,K4,12.16,0.2646,7,Y,Simbad,294.71191,46.61317,2128139497558660224,0.029728742,-0.016395569,294.7118832386424,46.61313262934063,0.9085983384191804,0.043777056,20.755127,-3.5574300402395185,-8.74897657729976,1.0185578,1621.3851,16.734825,202.41843,3073.6202828997216,387.79745,1.2294658,0,2,0,0,1.2916088,0.5855541,0.7060547,,,,,,,79.54016248639635,11.877026566771102,315.37424110284314,66.20317623039513,0,4733.4087,4706.5615,4759.306,0.128,0.099,0.0521,0,False,False,6.526684825637798
121,9657183,2080094000522047872,16.801,1.308,4686,0.772,K4,10.78,0.0073,2,Y,Simbad,295.00782,46.36259,2080094000522047872,0.03819372,-0.01738739,295.00779617147776,46.36255318750714,1.0080216782779956,0.04110862,24.520933,-3.349770144275708,-8.76599276875555,1.0444287,1528.4882,16.783457,190.94313,2967.268127573112,320.42545,1.24191,0,1,0,0,1.2900486,0.57359505,0.71645355,,,,,,,79.40786060986518,11.581190941051403,315.5772990671752,65.89092112285216,0,4601.9,4575.6055,4635.084,0.0359,0.0276,0.0146,1,True,False,6.800806162594634
122,9655556,2128132488171813376,16.77,1.311,4681,0.771,K4,13.16,0.5852,11,S,Simbad,294.39899,46.38126,2128132488173376512,0.025551828,-0.013971329,294.3989700235032,46.38122505450769,0.8520853224853678,0.04385953,19.427599,-3.3287202808487497,-8.779836800879368,1.0207669,1147.7839,16.757298,148.85934,3032.147636314853,254.85286,1.230953,0,0,0,2,1.3103466,0.59656906,0.71377754,,,,,,,79.22897345300505,11.963476242645834,314.65387190053656,66.07955488257926,0,4651.954,4622.9746,4681.9536,0.1065,0.0822,0.0433,0,False,False,6.4097129382313
123,9594399,2128108466414347264,16.84,1.323,4659,0.766,K4,11.79,0.4487,11,Y,Simbad,294.33133,46.28709,2128108466414347264,0.042738974,-0.014076233,294.3313101626941,46.287055230758796,0.9315788370504344,0.045210913,20.605177,-3.2004924438045412,-8.736945365384127,0.98156714,1532.1914,16.825504,173.74675,2875.6673772241825,354.9541,1.2437198,0,1,0,0,1.3088017,0.5843468,0.7244549,,,,,,,79.12152429252689,11.962454359278304,314.45487760038236,66.0123022982523,0,4577.676,4542.1313,4626.923,0.0913,0.0702,0.0371,0,False,False,6.671602372876675
124,9594079,2128118572477645824,16.813,1.327,4652,0.764,K4,12.27,0.4963,12,Y,Simbad,294.22818,46.25734,2128118572477645824,0.075996466,-0.013727188,294.2281630259162,46.25729644959014,0.8719988033279439,0.04315357,20.206875,-3.339794831272439,-8.897940030410055,1.0324904,1823.5641,16.799818,176.7754,2950.9288622369368,329.49768,1.2439221,0,0,0,0,1.3152447,0.5884247,0.72682,,,,,,,79.06141869956375,12.012576805940183,314.2648628974452,66.0137447556062,0,4653.196,4627.421,4679.872,0.2004,0.1548,0.0813,0,False,False,6.502397483623751
