EPIC,Gaia,2MASS,RAdeg,DEdeg,Prot,C5Prot,C5Power,C5SProt,C5SPower,C5Clean,C5Q,C5Rvar,C5thresh,C5SNR,C16Prot,C16Power,C16SProt,C16SPower,C16Clean,C16Q,C16Rvar,C16thresh,C16SNR,C18Prot,C18Power,C18SProt,C18SPower,C18Clean,C18Q,C18Rvar,C18thresh,C18SNR,QFClean,Multi,Neigh,Harm,LCEvol,Previous,Bin,EPIC_t4,2MASS_t4,RAdeg_t4,DEdeg_t4,pmRA,pmDE,e_pmRA,e_pmDE,plx,e_plx,D,e_D,epsi,sepsi,RUWE,Bp-Rp,Gmag,Ksmag,RVel,e_RVel,Flag,dPM,dCMD-B-R,dCMD-grp,dRV,Multi_t4,AstBin,PhoBin,LitBin,WideBin,Binary,Tail,k2data,Teff,Mass,SpType,Prot_t4,QFClean_t4,Previous_t4,LCEvol_t4,dr3_source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,M_G
211915860,Gaia EDR3 659724195191319936,2MASS J08365626+1857480,129.23442,18.96334,4.8,4.83,0.8,2.38,0.15,1.0,0.0,0.024,0.009,164.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.78,0.86,1.0,0.05,1.0,0.0,0.07,0.012,165.0,1,1,0,0,1,4.81,1,211915860,2MASS J08365626+1857480,129.23442,18.96334,-35.24,-11.907,0.086,0.061,5.984,0.096,167.11,2.68,0.59,147.9,3.926,2.12,14.22,10.91,nan,nan,0,1.19,0.401,0.394,nan,1,0,1,0,1,1,0,1,3667,0.6,M1.5,4.8,1,4.81,1,659724195191319936,129.23422389393318,18.963272666270957,5.983975354256433,0.09595965,62.359287,-35.23989711276684,-11.906876260314693,3.9262412,1292.7592,14.222534,211.39809,42344.25526028376,426.0032,1.3665241,0,0,0,1,2.1229963,1.0813713,1.041625,65.48223,5.521107,2,8.569577,nan,nan,206.35823381998787,31.472426222770597,126.73957227831364,0.3875390750441719,1,nan,nan,nan,nan,nan,nan,8.107483160509902
212003893,Gaia EDR3 664404713111939072,2MASS J08365659+2019101,129.23583,20.31947,2.13,2.13,0.66,16.33,0.14,1.0,0.0,0.015,0.008,125.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.12,0.56,1.06,0.26,1.0,0.0,0.02,0.014,125.0,1,1,0,0,0,2.13,1,212003893,2MASS J08365659+2019101,129.23583,20.31947,-36.081,-14.723,0.117,0.082,5.019,0.117,199.23,4.66,0.687,124.2,4.143,2.38,14.76,11.23,nan,nan,0,1.83,0.931,1.233,nan,1,0,1,0,1,1,0,1,3503,0.6,M2.5,2.13,1,2.13,0,664404713111939072,129.23563328689335,20.319388288522426,5.019285125248165,0.11738599,42.75881,-36.08075305734073,-14.723027068700464,4.142662,957.6048,14.757496,223.26562,28311.679228580175,330.353,1.4338951,0,1,0,0,2.3789253,1.2394104,1.1395149,-41.240818,6.6043277,2,5.335291,nan,nan,204.86466892360204,31.946387857503385,126.39953745933012,1.7003494600430071,0,nan,nan,nan,nan,nan,nan,8.260705214589011
211954140,Gaia EDR3 662784101691882624,2MASS J08370352+1932096,129.26468,19.53601,19.37,9.54,0.38,19.51,0.24,0.0,1.0,0.005,0.008,85.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.37,0.74,-9999.0,-9999.0,1.0,0.0,0.03,0.013,86.0,1,0,0,1,1,21.94,1,211954140,2MASS J08370352+1932096,129.26468,19.53601,-35.967,-12.078,0.135,0.101,5.244,0.146,190.71,5.32,0.919,117.6,3.291,2.41,15.56,12.1,nan,nan,0,0.82,0.066,0.37,nan,0,0,0,0,1,1,0,1,3486,0.5,M2.5,19.37,1,21.94,1,662784101691882624,129.26451262870913,19.53595846052123,5.2437305396805485,0.14638793,35.82078,-35.96677490968543,-12.077692960446633,3.2905092,850.4929,15.5561075,147.34209,13647.771799041813,647.30774,1.4367247,0,1,0,0,2.4052668,1.2594004,1.1458664,34.37995,16.08218,2,3.4616978,nan,nan,205.7408632940496,31.700922950372316,126.62309901960673,0.948985988319021,0,3557.6577,3552.7256,3562.571,0.6782,0.4525,0.2765,9.154309353255895
211929178,Gaia EDR3 659768553613526400,2MASS J08372819+1909443,129.36749,19.16233,1.24,0.84,0.07,0.88,0.02,1.0,1.0,0.001,0.008,1550.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.24,0.06,0.85,0.06,0.0,1.0,0.001,0.011,1536.0,0,0,0,1,0,0.84,1,211929178,2MASS J08372819+1909443,129.36749,19.16233,-36.074,-14.092,0.247,0.181,5.741,0.251,174.18,7.62,1.701,2786.0,10.635,0.56,9.36,8.4,nan,nan,0,1.2,-0.125,0.037,nan,0,0,0,0,1,1,0,1,6593,1.4,F4,1.24,0,0.84,0,659768553613526400,129.36731131591745,19.162281606350412,5.741232682856815,0.251254,22.850315,-36.07426793471729,-14.092230616677433,10.634952,5935.3057,9.359429,2580.8135,1983342.2010594665,2692.7285,1.1838219,0,0,0,0,0.5606861,0.20565796,0.35502815,37.1032,1.2699274,1,118.38993,nan,nan,206.1920309133168,31.660505871956147,126.81116392948385,0.6118211749392468,1,6597.477,6581.1987,6613.095,0.0142,0.0125,0.0067,3.1544551018153832
212021253,Gaia EDR3 664419556518886272,2MASS J08372845+2036286,129.36856,20.60795,7.24,7.24,0.87,3.61,0.05,1.0,0.0,0.034,0.007,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.88,0.32,3.61,0.12,1.0,0.0,0.012,0.011,127.0,1,0,0,0,1,7.22,0,212021253,2MASS J08372845+2036286,129.36856,20.60795,-37.0,-14.401,0.036,0.023,5.648,0.039,177.06,1.21,0.0,0.0,1.019,2.1,14.73,11.49,nan,nan,0,1.86,-0.004,-0.025,nan,0,0,0,0,0,0,0,1,3691,0.5,M1,7.24,1,7.22,1,664419556518886272,129.3684114424142,20.607863082559692,5.647790338373768,0.03848973,146.735,-36.99962982042486,-14.400658335728615,1.0188429,1179.0997,14.732194,157.42197,26261.865005713255,347.69247,1.361321,1,0,0,0,2.0983753,1.0657625,1.0326128,28.156698,9.004394,2,5.8993773,nan,nan,204.59463980543345,32.16159660714361,126.44722298604447,2.01086721525644,0,3884.443,3876.5056,3891.7815,0.6618,0.4594,0.2636,8.491586777480784
211953263,Gaia EDR3 664281396011231744,2MASS J08373242+1931180,129.38512,19.52169,1.8,1.8,0.57,0.9,0.28,1.0,0.0,0.015,0.008,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8,0.5,0.9,0.34,0.0,0.0,0.044,0.013,95.0,1,0,0,1,0,1.81,0,211953263,2MASS J08373242+1931180,129.38512,19.52169,-34.331,-13.573,0.035,0.024,5.36,0.036,186.56,1.27,0.025,0.12,1.035,2.31,15.26,11.79,nan,nan,0,1.71,0.101,0.149,nan,0,0,0,0,0,0,0,1,3527,0.5,M2,1.8,1,1.81,0,664281396011231744,129.38496719173872,19.521606295595998,5.360287750671979,0.036429428,147.1417,-34.33064677990803,-13.572713984314788,1.03541,901.1783,15.258238,169.47385,17203.715165184676,271.211,1.3955559,0,3,0,0,2.3143559,1.2149582,1.0993977,-122.10551,8.996832,2,4.990342,nan,nan,205.8033337423496,31.8022744783453,126.73659134386514,0.96371855111147,0,3559.41,3555.7793,3563.7976,0.6193,0.4169,0.2501,8.904178359200262
211927313,Gaia EDR3 659756493345357056,2MASS J08374235+1908015,129.4265,19.13376,3.07,3.07,0.21,20.43,0.07,1.0,0.0,0.001,0.009,1332.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.37,0.14,3.41,0.11,0.0,2.0,0.003,0.012,1318.0,1,1,0,0,1,3.06,1,211927313,2MASS J08374235+1908015,129.4265,19.13376,-34.974,-12.04,0.037,0.026,5.383,0.035,185.78,1.22,0.24,70.62,1.938,0.64,9.69,8.58,31.67,4.14,0,1.26,0.235,0.259,3.33,1,0,0,1,1,1,0,1,6352,1.4,F6,3.07,1,3.06,1,659756493345357056,129.42634551540039,19.13371822703005,5.382581884102439,0.035369337,152.18216,-34.97424684911495,-12.040460970835046,1.9377162,4583.6045,9.691746,2391.4292,1515864.6426518045,3940.0515,1.1870546,0,0,0,0,0.63597584,0.2404747,0.39550114,34.333702,4.413084,1,93.927536,nan,nan,206.24656474363067,31.702604785263876,126.87234032969535,0.5982634131673975,0,6390.437,6357.1816,6408.262,0.0695,0.0603,0.0325,3.346698984945176
211952707,Gaia EDR3 661279042073291776,2MASS J08374982+1930508,129.45761,19.51412,15.69,15.57,0.6,7.5,0.23,1.0,0.0,0.011,0.008,113.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.81,0.64,7.79,0.1,1.0,0.0,0.03,0.012,106.0,1,0,0,0,1,15.41,0,211952707,2MASS J08374982+1930508,129.45761,19.51412,-35.386,-12.765,0.033,0.021,5.418,0.034,184.56,1.16,0.0,0.0,1.03,2.16,15.01,11.78,nan,nan,0,0.53,-0.052,-0.095,nan,0,0,0,0,0,0,0,1,3633,0.5,M1.5,15.69,1,15.41,1,661279042073291776,129.4574574932498,19.51405260462688,5.418296385734038,0.034081046,158.98268,-35.385992954781,-12.765264275100396,1.0297942,1340.769,15.009888,266.33206,20609.21168219982,372.06064,1.3650242,0,2,0,0,2.1576824,1.1105366,1.0471458,32.321854,12.304906,2,5.586662,nan,nan,205.83976110351068,31.863654800346307,126.8046179201607,0.9736708627215465,0,3787.2114,3785.2576,3789.6448,0.6299,0.434,0.2506,8.679201483560362
211857507,Gaia EDR3 659443819726136704,2MASS J08383067+1807182,129.62782,18.12175,2.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.53,0.61,1.43,0.1,1.0,0.0,0.008,0.007,114.0,nan,nan,nan,nan,nan,nan,0.018,nan,nan,1,0,0,0,0,nan,1,211857507,2MASS J08383067+1807182,129.62782,18.12175,-33.89,-11.649,0.1,0.066,5.551,0.108,180.14,3.5,0.533,59.84,2.585,2.48,14.97,11.29,nan,nan,0,2.37,0.765,1.181,nan,0,0,1,0,1,1,0,1,3417,0.6,M3,2.53,1,nan,0,659443819726136704,129.62763923415696,18.121722432764166,5.5511741795890615,0.10769301,51.54628,-33.889654686857945,-11.649204733012258,2.5853832,1534.3314,14.97085,165.8492,23989.05244941716,175.18057,1.4571277,0,13,0,15,2.482153,1.309166,1.172987,39.06722,8.123221,2,4.761965,nan,nan,207.43640407216085,31.51888790556492,127.31308083027338,-0.3324741578680224,0,nan,nan,nan,nan,nan,nan,8.692774263018006
211988454,Gaia EDR3 664324684984105728,2MASS J08385001+2004035,129.70839,20.06766,8.44,8.44,0.25,22.08,0.16,0.0,1.0,0.001,0.008,855.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.61,0.2,5.07,0.06,1.0,3.0,0.01,0.012,844.0,0,1,0,0,1,8.44,1,211988454,2MASS J08385001+2004035,129.70839,20.06766,-35.005,-13.68,0.024,0.017,5.398,0.024,185.26,0.83,0.085,8.714,1.037,0.76,10.66,9.37,28.34,6.62,0,1.19,0.012,-0.027,6.66,1,0,0,1,0,1,0,1,6014,1.1,F9.5,8.44,0,8.44,1,664324684984105728,129.70819688844887,20.067588056857815,5.397721759335619,0.024260145,222.4934,-35.0049117337833,-13.68025431437681,1.036737,6168.9707,10.658025,1942.958,660482.7860740898,3095.253,1.1951938,0,0,0,0,0.75547886,0.29569626,0.4597826,31.34505,3.2441554,1,54.464764,7.7058196,3.4484348,205.32342692277098,32.27672126558206,126.89252585943885,1.568935234902753,0,5872.0923,5870.5933,5874.062,0.0008,0.0007,0.0004,4.3190772572717115
