EPIC,Gaia,2MASS,RAdeg,DEdeg,Prot,C5Prot,C5Power,C5SProt,C5SPower,C5Clean,C5Q,C5Rvar,C5thresh,C5SNR,C16Prot,C16Power,C16SProt,C16SPower,C16Clean,C16Q,C16Rvar,C16thresh,C16SNR,C18Prot,C18Power,C18SProt,C18SPower,C18Clean,C18Q,C18Rvar,C18thresh,C18SNR,QFClean,Multi,Neigh,Harm,LCEvol,Previous,Bin,EPIC_t4,2MASS_t4,RAdeg_t4,DEdeg_t4,pmRA,pmDE,e_pmRA,e_pmDE,plx,e_plx,D,e_D,epsi,sepsi,RUWE,Bp-Rp,Gmag,Ksmag,RVel,e_RVel,Flag,dPM,dCMD-B-R,dCMD-grp,dRV,Multi_t4,AstBin,PhoBin,LitBin,WideBin,Binary,Tail,k2data,Teff,Mass,SpType,Prot_t4,QFClean_t4,Previous_t4,LCEvol_t4,dr3_source_id,source_id,dr2_source_id,angular_distance,magnitude_difference,proper_motion_propagation,abs_magnitude_difference,dr2_bp_rp,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,flag_bad_gaiamatch,Teff_Curtis20,nbhr_count,flag_nbhr_count,M_G
211742209,Gaia EDR3 655945379886042496,2MASS J08210181+1629541,125.25758,16.49837,13.39,6.7,0.64,13.54,0.3,1.0,1.0,0.008,0.009,194.0,,,,,,,,,,,,,,,,0.017,,,0,0,0,1,0,,1,211742209,2MASS J08210181+1629541,125.25758,16.49837,-30.8,-10.864,0.02,0.013,4.982,0.021,200.71,0.83,0.025,0.363,1.083,1.63,13.85,11.19,,,0,5.49,0.037,-0.001,,0,1,0,0,0,1,0,1,4198,0.6,K6.5,13.39,0,,0,655945379886042496,6.559453798860425e+17,6.559453798860425e+17,0.015518365,-0.0153265,True,0.0153265,0.7457218,125.25744421752017,16.498360884440846,4.982313371066245,0.020737687,240.25406,-30.79993998532236,-10.86374012339393,1.0830193,3526.9675,13.848212,495.71533,50341.50311140047,1279.7778,1.2812501,0,0,0,2,1.6277161,0.77258396,0.8551321,37.53774,2.1599998,2,9.90835,,,207.38115159914463,27.0424484900238,123.65582090221814,-2.9167159758430468,0,,,,,,,False,6051.784,0,False,7.335367440871572
211800683,Gaia EDR3 656098826180222464,2MASS J08241039+1719354,126.04331,17.32651,0.29,,,,,,,,,,,,,,,,,,,0.28,0.05,-9999.0,-9999.0,1.0,0.0,0.055,0.011,15.0,1,0,0,0,0,,1,211800683,2MASS J08241039+1719354,126.04331,17.32651,-32.263,-10.95,0.36,0.246,5.414,0.378,184.72,12.91,1.279,4.072,1.126,3.39,19.26,14.72,,,0,4.13,-0.569,0.372,,0,1,0,0,0,1,0,1,3027,0.2,M5,0.29,1,,0,656098826180222464,6.560988261802225e+17,6.560988261802225e+17,0.5220582,-0.0147686,True,0.0147686,0.86390686,126.04317077935973,17.32643371286124,5.413494493077803,0.3784012,14.30623,-32.26257878177866,-10.95030511427153,1.126223,410.39847,19.260708,8.549764,557.1705236021368,94.39144,1.6110653,0,1,0,0,3.3894424,2.0116596,1.3777828,,,,,,,206.83808904060476,28.0518958872716,124.19537760657228,-1.9368085409806974,0,,,,,,,False,5688.9434,0,False,12.928096351853345
211886651,Gaia EDR3 662428512760038528,2MASS J08242490+1831530,126.10377,18.53141,1.71,,,,,,,,,,,,,,,,,,,1.71,0.07,1.46,0.07,0.0,0.0,0.002,0.014,1232.0,1,0,0,0,0,,1,211886651,2MASS J08242490+1831530,126.10377,18.53141,-30.242,-10.833,0.019,0.013,4.936,0.02,202.6,0.82,0.08,7.728,0.893,0.6,9.84,8.86,36.62,1.99,0,6.02,0.009,0.084,1.62,0,1,0,0,0,1,0,1,6467,1.3,F5,1.71,1,,0,662428512760038528,6.624285127600385e+17,6.624285127600385e+17,0.17647547,0.004257202,True,0.004257202,0.7958374,126.10361862992124,18.531359081020206,4.935793436962561,0.02014126,245.0588,-30.24163542283702,-10.833060620238665,0.8934137,5104.82,9.844191,3062.4211,1293813.9806270194,3676.754,1.1850144,0,0,0,0,0.6002073,0.22423267,0.37597466,34.71676,0.8517452,1,86.96762,57.14229,2.1773865,205.59090402847485,28.551245209961067,123.96892214157269,-0.7519454072280746,0,6442.8955,6439.978,6449.29,0.002,0.0017,0.0009,False,5899.6855,0,False,3.3109754784051795
212085300,Gaia EDR3 676256486390524288,2MASS J08243304+2144219,126.13769,21.73944,1.75,1.45,0.15,0.75,0.12,0.0,0.0,0.001,0.007,1231.0,,,,,,,,,,1.5,0.16,20.56,0.07,1.0,0.0,0.002,0.011,1217.0,1,1,0,1,0,,1,212085300,2MASS J08243304+2144219,126.13769,21.73944,-32.311,-14.749,0.018,0.012,5.269,0.016,189.81,0.58,0.088,9.821,0.957,0.6,9.85,8.86,36.67,1.55,0,4.04,-0.125,-0.045,1.67,1,1,0,0,0,1,0,1,6462,1.3,F5,1.75,1,,0,676256486390524288,6.762564863905243e+17,6.762564863905243e+17,0.19350526,0.0037603378,True,0.0037603378,1.1307583,126.13751338102043,21.73936211704774,5.268459269382103,0.01603142,328.63333,-32.31136215707682,-14.748876894213367,0.9573279,4940.128,9.847782,1840.101,1291380.409328618,3564.595,1.1858913,0,0,0,0,0.60170174,0.22417927,0.37752247,37.03414,0.5559704,1,108.316505,37.13903,2.8665812,202.1653839038366,29.708807771543,123.24729691427463,2.3740402651386856,0,6425.1074,6423.133,6428.9253,0.0012,0.001,0.0005,False,4955.341,0,False,3.4562002692910543
211938090,Gaia EDR3 663335816011746048,2MASS J08243324+1917432,126.13853,19.29534,9.95,10.26,0.24,30.02,0.16,0.0,0.0,0.005,0.009,71.0,,,,,,,,,,9.64,0.22,1.99,0.03,1.0,0.0,0.009,0.01,69.0,1,0,0,0,1,10.11,1,211938090,2MASS J08243324+1917432,126.13853,19.29534,-31.899,-10.313,0.438,0.28,5.787,0.413,167.59,0.03,2.945,600.3,3.31,2.73,16.24,12.21,,,0,4.76,0.324,4.95,,0,1,1,0,1,1,0,1,3245,0.5,M3.5,9.95,1,10.11,1,663335816011746048,6.63335816011746e+17,6.633358117141676e+17,5.1364355,0.15054703,True,0.15054703,1.0274582,126.13832738916886,19.29526714062279,5.78695458042936,0.41344976,13.996754,-31.898798864831043,-10.312929328281335,3.309995,152.5998,16.240559,160.48497,9748.263008844975,683.382,1.8484341,1,0,0,0,2.7315445,1.2665634,1.4649811,,,,,,,204.7925462459376,28.8583207478287,123.82170574329022,-0.0016373322009696763,0,,,,,,,True,5212.6455,0,False,10.052808993104227
211820823,Gaia EDR3 662114460454651648,2MASS J08251373+1736453,126.30725,17.6126,1.14,1.14,0.25,0.57,0.07,1.0,0.0,0.022,0.008,20.0,,,,,,,,,,1.14,0.23,16.42,0.01,1.0,0.0,0.088,0.011,12.0,1,0,0,0,0,1.14,1,211820823,2MASS J08251373+1736453,126.30725,17.6126,-31.658,-12.297,0.232,0.155,5.475,0.183,182.64,6.09,0.648,4.124,1.161,3.02,18.28,14.23,,,0,4.28,-0.684,-0.581,,0,1,0,0,0,1,0,1,3163,0.2,M4,1.14,1,1.14,0,662114460454651648,6.621144604546516e+17,6.621144604546516e+17,0.072964415,-0.0158844,True,0.0158844,0.75805473,126.30706358251243,17.6125190994284,5.475237626823746,0.18257093,29.989645,-31.658113141319014,-12.297473496038105,1.1612488,619.88403,18.277,22.173042,1255.108679124616,96.85866,1.5091826,0,2,0,0,3.0156593,1.739851,1.2758083,,,,,,,206.64365491685825,28.392274914814493,124.37293802027486,-1.5995984019956215,0,3165.0981,3163.4722,3167.4326,0.8058,0.4892,0.3499,False,6014.9272,0,False,11.96901528935374
211912350,Gaia EDR3 662538498282258176,2MASS J08251613+1854388,126.31722,18.9108,0.26,0.26,0.2,18.32,0.03,1.0,0.0,0.02,0.008,16.0,,,,,,,,,,0.26,0.12,22.23,0.04,1.0,0.0,0.109,0.011,11.0,1,0,0,0,0,0.26,1,211912350,2MASS J08251613+1854388,126.31722,18.9108,-32.639,-11.514,0.264,0.186,5.639,0.25,177.35,7.87,0.6,1.63,1.039,3.34,18.72,14.27,,,0,3.54,-0.303,0.238,,0,1,0,0,0,1,0,1,3034,0.2,M5,0.26,1,0.26,0,662538498282258176,6.625384982822582e+17,6.625384982822582e+17,0.07432659,-0.03829193,True,0.03829193,0.7574091,126.3170724867345,18.91082811722541,5.6386429599008885,0.2500782,22.547518,-32.63902046238675,-11.513786335000809,1.0393423,498.62598,18.720665,9.300459,896.3751545165379,110.143486,1.58087,0,1,0,1,3.344349,1.9903545,1.3539944,,,,,,,205.2715380706306,28.877457121259308,124.07625139020575,-0.33559588656018147,0,2956.2864,2939.285,2964.4514,0.6035,0.349,0.2701,False,6016.864,0,False,12.476537957216678
212006725,Gaia EDR3 663842755294579712,2MASS J08252223+2021567,126.34265,20.36577,0.2,0.2,0.36,0.23,0.25,0.0,0.0,0.038,0.01,17.0,,,,,,,,,,0.23,0.25,0.2,0.25,0.0,0.0,0.069,0.013,17.0,1,1,0,0,0,0.2,1,212006725,2MASS J08252223+2021567,126.34265,20.36577,-33.208,-15.689,0.261,0.189,5.532,0.292,180.76,9.53,0.831,2.662,1.084,3.43,18.91,14.33,,,0,3.88,-0.368,0.364,,1,1,0,0,0,1,0,1,3024,0.2,M5,0.2,1,0.2,0,663842755294579712,6.638427552945797e+17,6.638427552945797e+17,0.12204766,-0.0144023895,True,0.0144023895,0.9383421,126.3424833221674,20.365708914587646,5.532179668788697,0.291533,18.97617,-33.208234718370534,-15.688732122186517,1.083742,407.48703,18.9063,11.777098,764.9529098916133,104.695816,1.5919828,0,0,0,1,3.4275417,2.060051,1.3674908,,,,,,,203.72413495401892,29.416774318770738,123.75662713516859,1.083946570772126,0,2817.4226,2813.8735,2821.247,0.0103,0.0058,0.0048,False,5463.753,0,False,12.620780972379894
211998019,Gaia EDR3 663805754152866688,2MASS J08252503+2013177,126.3543,20.2216,18.32,18.32,0.35,0.51,0.16,1.0,0.0,0.002,0.008,93.0,,,,,,,,,,9.99,0.18,20.42,0.13,0.0,1.0,0.015,0.01,89.0,1,1,0,1,0,18.55,1,211998019,2MASS J08252503+2013177,126.3543,20.2216,-32.727,-11.974,0.033,0.025,5.266,0.037,189.9,1.32,0.061,0.674,1.087,2.37,15.42,11.93,,,0,3.31,0.134,0.217,,1,1,0,0,0,1,0,1,3505,0.5,M2.5,18.32,1,18.55,0,663805754152866688,6.638057541528667e+17,6.638057541528667e+17,0.12806576,-0.022166252,True,0.022166252,0.8395443,126.35411555105567,20.221548839225395,5.265900709302501,0.036632888,143.7479,-32.72679343041739,-11.974371523100814,1.0866117,2093.5923,15.41893,254.49492,15093.986195255353,886.699,1.4068642,0,1,0,3,2.3739386,1.2558937,1.1180449,41.026455,10.805495,2,3.4499125,,,203.88353319416038,29.37658672907533,123.80122913707288,0.9464240406999087,0,3695.861,3686.5115,3707.3872,0.7855,0.5275,0.3203,False,5764.321,0,False,9.026293383952599
211752612,Gaia EDR3 653008000212376960,2MASS J08253384+1638408,126.39104,16.64467,1.17,0.59,0.07,34.89,0.04,1.0,1.0,0.026,0.008,23.0,,,,,,,,,,1.17,0.64,-9999.0,-9999.0,1.0,0.0,0.033,0.012,34.0,1,0,0,1,0,1.18,1,211752612,2MASS J08253384+1638408,126.39104,16.64467,-32.135,-9.849,0.097,0.067,5.116,0.099,195.46,3.76,0.0,0.0,0.937,2.97,17.46,13.58,,,0,4.85,0.095,-0.103,,0,1,0,0,0,1,0,1,3188,0.3,M4,1.17,1,1.18,0,653008000212376960,6.53008000212377e+17,6.53008000212377e+17,0.017188612,-0.033391953,True,0.033391953,0.89644814,126.39082526197161,16.64463079502248,5.116169116486842,0.098475434,51.953762,-32.135485134850924,-9.848960465230089,0.9372248,1116.4655,17.455694,34.66175,2602.7879120911152,410.98346,1.4748044,0,1,0,0,2.9710846,1.7246895,1.2463951,,,,,,,207.69591017751165,28.102452326122247,124.67926798819057,-2.5212818091869313,0,3286.8176,3281.9277,3292.116,0.8288,0.5184,0.3516,False,5589.2583,0,False,11.000418657492071
